case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
RN,ETTm2,96,192,M,True,False,7,34273,11329,0.2904148296023252,0.36582913015186075,0.224,0.303,1.2964947750103801,1.2073568651876592,0.25073524995241314,checkpoints/reversal/ols_RN_ETTm2_s96_p192_M.npz
RN,ETTm2,96,336,M,True,False,7,34129,11185,0.3924259853146336,0.4331442911590248,0.281,0.342,1.3965337555680908,1.266503775318786,0.28341141692362726,checkpoints/reversal/ols_RN_ETTm2_s96_p336_M.npz
RN,ETTm2,96,720,M,True,False,7,33745,10801,0.5628065727613996,0.5270562869117548,0.397,0.421,1.4176487978876562,1.251915170811769,0.44137512508314103,checkpoints/reversal/ols_RN_ETTm2_s96_p720_M.npz
NR,ETTm2,96,96,M,False,True,7,34369,11425,0.19858230707823807,0.29755778988711723,0.167,0.26,1.1891156112469345,1.1444530380273739,0.17754845798481256,checkpoints/reversal/ols_NR_ETTm2_s96_p96_M.npz
NR,ETTm2,96,192,M,False,True,7,34273,11329,0.28916555958831497,0.36283486010335314,0.224,0.303,1.2909176767335488,1.1974747858196473,0.216308958013542,checkpoints/reversal/ols_NR_ETTm2_s96_p192_M.npz
NR,ETTm2,96,336,M,False,True,7,34129,11185,0.3905345580414141,0.43019533061480747,0.281,0.342,1.3898026976562778,1.2578810836690275,0.24167450005188584,checkpoints/reversal/ols_NR_ETTm2_s96_p336_M.npz
NR,ETTm2,96,720,M,False,True,7,33745,10801,0.564651082369348,0.5309351277175638,0.397,0.421,1.422294917806922,1.261128569400389,0.35004479193594307,checkpoints/reversal/ols_NR_ETTm2_s96_p720_M.npz
RR,ETTm2,96,96,M,True,True,7,34369,11425,0.19986136772123442,0.2989417098893661,0.167,0.26,1.1967746570133797,1.1497758072667925,0.1704206250142306,checkpoints/reversal/ols_RR_ETTm2_s96_p96_M.npz
RR,ETTm2,96,192,M,True,True,7,34273,11329,0.29136160528769384,0.36457175421504034,0.224,0.303,1.3007214521772046,1.2032071096205952,0.22623554104939103,checkpoints/reversal/ols_RR_ETTm2_s96_p192_M.npz
RR,ETTm2,96,336,M,True,True,7,34129,11185,0.39374944500107206,0.43227791777568536,0.281,0.342,1.4012435765162705,1.2639705198119453,0.26725008396897465,checkpoints/reversal/ols_RR_ETTm2_s96_p336_M.npz
RR,ETTm2,96,720,M,True,True,7,33745,10801,0.5707064955676765,0.5341516907855548,0.397,0.421,1.4375478477775225,1.268768861723408,0.4678433749359101,checkpoints/reversal/ols_RR_ETTm2_s96_p720_M.npz
RN,electricity,96,96,M,True,False,321,18221,5165,0.19448076031221612,0.2772194966008173,0.141,0.237,1.3792961724270647,1.1697025173030267,2.5479531249729916,checkpoints/reversal/ols_RN_electricity_s96_p96_M.npz
RN,electricity,96,192,M,True,False,321,18125,5069,0.1937740137194246,0.28021419679995474,0.154,0.248,1.2582728163599,1.1298959548385272,3.130985707975924,checkpoints/reversal/ols_RN_electricity_s96_p192_M.npz
RN,electricity,96,336,M,True,False,321,17981,4925,0.20655408400816955,0.29587941846437926,0.171,0.265,1.207918619930816,1.116526107412752,4.9094321669545025,checkpoints/reversal/ols_RN_electricity_s96_p336_M.npz
RN,electricity,96,720,M,True,False,321,17597,4541,0.24190935560118398,0.3290706374656569,0.21,0.297,1.1519493123865905,1.1079819443288113,6.834509667009115,checkpoints/reversal/ols_RN_electricity_s96_p720_M.npz
NR,electricity,96,96,M,False,True,321,18221,5165,0.19151207451640118,0.2766755524743667,0.141,0.237,1.3582416632368879,1.1674073944066106,2.0245571250561625,checkpoints/reversal/ols_NR_electricity_s96_p96_M.npz
NR,electricity,96,192,M,False,True,321,18125,5069,0.19021783280311097,0.2791801141208965,0.154,0.248,1.2351807324877335,1.1257262666165182,2.9893383749295026,checkpoints/reversal/ols_NR_electricity_s96_p192_M.npz
NR,electricity,96,336,M,False,True,321,17981,4925,0.20489889611297873,0.29521130939266377,0.171,0.265,1.198239158555431,1.1140049411043915,5.319684167043306,checkpoints/reversal/ols_NR_electricity_s96_p336_M.npz
NR,electricity,96,720,M,False,True,321,17597,4541,0.23666022238327425,0.3230871629582419,0.21,0.297,1.1269534399203536,1.0878355655159662,7.022952334024012,checkpoints/reversal/ols_NR_electricity_s96_p720_M.npz
RR,electricity,96,96,M,True,True,321,18221,5165,0.19151151836584568,0.2765447200801124,0.141,0.237,1.358237718906707,1.1668553589878161,2.4406486250227317,checkpoints/reversal/ols_RR_electricity_s96_p96_M.npz
RR,electricity,96,192,M,True,True,321,18125,5069,0.19023025132848642,0.27914242600184974,0.154,0.248,1.235261372262899,1.1255742983945554,3.0729671249864623,checkpoints/reversal/ols_RR_electricity_s96_p192_M.npz
RR,electricity,96,336,M,True,True,321,17981,4925,0.204891707660944,0.29516714366550434,0.171,0.265,1.198197120824234,1.1138382779830351,4.292861208901741,checkpoints/reversal/ols_RR_electricity_s96_p336_M.npz
RR,electricity,96,720,M,True,True,321,17597,4541,0.23637996193243654,0.32282509994811587,0.21,0.297,1.125618866344936,1.0869531984785046,7.782995917019434,checkpoints/reversal/ols_RR_electricity_s96_p720_M.npz
RN,exchange_rate,96,96,M,True,False,8,5120,1422,0.08250763283188471,0.20677807579468122,0.089,0.208,0.9270520542908395,0.9941253643975059,0.03148116695228964,checkpoints/reversal/ols_RN_exchange_rate_s96_p96_M.npz
RN,exchange_rate,96,192,M,True,False,8,5024,1326,0.1774759108616186,0.31286529561128235,0.18,0.3,0.9859772825645478,1.0428843187042744,0.03615245805121958,checkpoints/reversal/ols_RN_exchange_rate_s96_p192_M.npz
RN,exchange_rate,96,336,M,True,False,8,4880,1182,0.3388239579434019,0.4381231641586926,0.331,0.415,1.0236373351764407,1.0557184678522715,0.046164375031366944,checkpoints/reversal/ols_RN_exchange_rate_s96_p336_M.npz
RN,exchange_rate,96,720,M,True,False,8,4496,798,0.9044981758716063,0.7199264835699793,1.033,0.78,0.8756032680267245,0.9229826712435633,0.06606741610448807,checkpoints/reversal/ols_RN_exchange_rate_s96_p720_M.npz
