case,dataset,pred_len,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear
RR,exchange_rate,720,1.9609136524765456,1.0953951355313212,1.033,0.78,1.898270718757547,1.4043527378606682
RN,traffic,96,0.6481967387316556,0.39535670860272,0.41,0.279,1.5809676554430625,1.4170491347767742
RN,traffic,192,0.5980168431964856,0.3698641549960888,0.423,0.284,1.413751402355758,1.3023385739298905
RN,traffic,336,0.6047808930339744,0.3723321973289808,0.435,0.29,1.390300903526378,1.2839041287206236
RN,traffic,720,0.6453045998816452,0.3936585384859138,0.464,0.307,1.3907426721587182,1.282275369660957
NR,traffic,96,0.6548172086194494,0.3970714131223929,0.41,0.279,1.597115142974267,1.4231950291125195
NR,traffic,192,0.6023170376600553,0.3685749687767425,0.423,0.284,1.4239173467140789,1.2977991858336009
NR,traffic,336,0.6141508529920391,0.3753494778253166,0.435,0.29,1.4118410413610094,1.2943085442252298
NR,traffic,720,0.664711540934359,0.4015074408281461,0.464,0.307,1.4325679761516357,1.307841826801779
RR,traffic,96,0.65466000975808,0.3963342281573914,0.41,0.279,1.5967317311172684,1.4205527890945926
RR,traffic,192,0.6024029247148405,0.3682229432342873,0.423,0.284,1.424120389396786,1.29655965927566
RR,traffic,336,0.6143027170452885,0.3747267045781906,0.435,0.29,1.4121901541271,1.2921610502696228
RR,traffic,720,0.664829196922981,0.4004566658166878,0.464,0.307,1.4328215450926314,1.3044191068947486
RN,weather,96,0.1942468881161027,0.2513892270677259,0.182,0.232,1.0672905940445208,1.0835742546022669
RN,weather,192,0.2343707042745374,0.289852430937258,0.225,0.269,1.0416475745534997,1.0775183306217768
RN,weather,336,0.2797619322727223,0.3274345989650091,0.271,0.301,1.032331853404879,1.0878225879236183
RN,weather,720,0.3422565031222454,0.3763703304431792,0.338,0.348,1.0125932045036847,1.0815239380551127
NR,weather,96,0.1943434650864698,0.2513551742508625,0.182,0.232,1.067821236738845,1.0834274752192352
NR,weather,192,0.2337256266089449,0.2909818211339663,0.225,0.269,1.0387805627064215,1.0817168071894658
NR,weather,336,0.2749141255043434,0.3298627735778339,0.271,0.301,1.0144432675437027,1.095889613215395
NR,weather,720,0.3284954342946988,0.3779209325230208,0.338,0.348,0.9718799831204106,1.085979691158106
RR,weather,96,0.1936322870333997,0.2495028987770713,0.182,0.232,1.0639136650186798,1.0754435292115143
RR,weather,192,0.2327570122780564,0.2886032196196126,0.225,0.269,1.034475610124695,1.0728744223777422
RR,weather,336,0.2736733512229941,0.327061065617157,0.271,0.301,1.0098647646604946,1.0865816133460364
RR,weather,720,0.3267928583390224,0.3741215511428444,0.338,0.348,0.9668427761509536,1.0750619285713925
RN,illness,24,2.2874501164990253,1.0470157095061086,1.683,0.858,1.3591503960184346,1.220298029727399
RN,illness,36,2.355466011335429,1.0802279831097088,1.703,0.859,1.3831274288522777,1.2575413074618262
RN,illness,48,2.4582414386703997,1.1193750933636102,1.719,0.884,1.4300415582724837,1.2662614178321383
RN,illness,60,2.654470007298234,1.1710540626607988,1.819,0.917,1.4593018181958406,1.277049141396727
NR,illness,24,0.6480650432335563,0.5638163550725419,1.683,0.858,0.3850653851655117,0.6571286189656665
NR,illness,36,0.6523722742391049,0.5776524154605897,1.703,0.859,0.3830723865173839,0.6724707979750753
NR,illness,48,0.6513003638669457,0.5863676326226168,1.719,0.884,0.3788832832268444,0.663311801609295
NR,illness,60,0.7009904924048795,0.6126794281636629,1.819,0.917,0.3853713537135126,0.6681345999603739
RR,illness,24,0.661330867893932,0.5612086059463105,1.683,0.858,0.3929476339239049,0.6540892843197093
RR,illness,36,0.6512002886524757,0.5705719919231085,1.703,0.859,0.3823841976820174,0.6642281628906967
RR,illness,48,0.6308531161309939,0.5689495468105507,1.719,0.884,0.3669884328859766,0.6436080846273198
RR,illness,60,0.6613957751166054,0.5830303764427566,1.819,0.917,0.3636040544896126,0.6358019372331042
