dataset,model,base_model,family,output_transformation,seq_len,pred_len,features,mse_NN,mse_RR,mse_NR,mse_RN,mae_NN,mae_RR,mae_NR,mae_RN,RR_over_NN,NR_over_NN,RN_over_NN,RR_over_RN,RR_over_NR,NR_over_RR,NR_over_RN,mismatch_over_matched,interaction,log_RR_over_NN,log_NR_over_NN,log_RN_over_NN,log_mismatch_over_matched,log_interaction,abs_log_interaction,direction_asymmetry_NR_over_RN,abs_log_direction_asymmetry
ETTm1,ols,dlinear_ols,linear,raw,96,336,M,0.4124151215066102,0.419232224250175,0.4191372080359899,0.4125262342583425,0.4119688438154714,0.4130656967003002,0.4130985188523042,0.4120758812502939,1.0165297109346063,1.0162993211908016,1.0002694196840465,1.0162559115879959,1.000226694772889,0.9997733566059837,1.0160255838990044,1.000019355003812,0.9999572865966742,0.016394582320803715,0.01616791323929194,0.00026938339708087214,1.9354816506224508e-05,-4.271431556923333e-05,4.271431556923333e-05,1.0160255838990044,0.01589852984221114
ETTm1,ols,dlinear_ols,linear,raw,96,720,M,0.4710537215784853,0.4835124034151342,0.4842606189434197,0.4705587983107813,0.4483448827202737,0.447020265078995,0.4480617918838175,0.4475337263388072,1.0264485371114367,1.0280369239429392,0.9989493273377704,1.0275281328302732,0.9984549321191593,1.0015474588097446,1.0291181902916817,1.0002653480507526,0.9995050847875049,0.026104821891234923,0.027651084620360245,-0.0010512250056731551,0.000265312852185047,-0.0004950377234522553,0.0004950377234522553,1.0291181902916817,0.028702309626033262
ETTm2,ols,dlinear_ols,linear,raw,96,96,M,0.1979340029975327,0.1998613677212344,0.198582307078238,0.1992053758936126,0.2972914725463918,0.2989417098893661,0.2975577898871172,0.2987458652903643,1.009737410927448,1.0032753547692026,1.0064232162075546,1.0032930427940465,1.0064409597300752,0.9936002607328276,0.9968722289115965,0.9999806741166883,1.0000176302794244,0.009690307869377352,0.0032700024786863195,0.006402675266678506,-1.9326070058949447e-05,1.7630124012813577e-05,1.7630124012813577e-05,0.9968722289115965,0.003132672787992198
ETTm2,ols,dlinear_ols,linear,raw,96,192,M,0.2882235720064894,0.2913616052876938,0.2891655595883149,0.2904148296023252,0.3640000220046231,0.3645717542150403,0.3628348601033531,0.3658291301518607,1.0108874970196182,1.0032682530969546,1.0076026314592563,1.0032600803707754,1.007594423424786,0.9924628171333334,0.9956983256821942,0.9999917387405155,0.999991853897346,0.010828654934030863,0.0032629239659440756,0.007573877103920455,-8.261293608890926e-06,-8.146135833657493e-06,8.146135833657493e-06,0.9956983256821942,0.004310953137976448
ETTm2,ols,dlinear_ols,linear,raw,96,336,M,0.3892003210510681,0.393749445001072,0.3905345580414141,0.3924259853146336,0.4310135027743191,0.4322779177756853,0.4301953306148074,0.4331442911590248,1.0116883869409938,1.0034281497680753,1.0082879280645358,1.003372507774625,1.0082320165871645,0.9918351962130407,0.9951801681234158,1.0000137650004828,0.9999445481039543,0.011620605406283296,0.0034222870576711747,0.008253771782171206,1.3764905746029621e-05,-5.5453433558948236e-05,5.5453433558948236e-05,0.9951801681234158,0.00483148472449995
ETTm2,ols,dlinear_ols,linear,raw,96,720,M,0.5567356044643684,0.5707064955676765,0.564651082369348,0.5628065727613996,0.5237269916239066,0.5341516907855548,0.5309351277175638,0.5270562869117548,1.0250943014804117,1.0142176606660445,1.0109045806453711,1.014036656977043,1.0107241682295538,0.9893896192782856,1.003277341980742,1.000013796804911,0.9998215336845123,0.024784609802802275,0.014117537622993984,0.010845554422303722,1.3796709735944094e-05,-0.0001784822424955461,0.0001784822424955461,1.003277341980742,0.0032719832006903237
electricity,ols,dlinear_ols,linear,raw,96,96,M,0.1945653911502309,0.1915115183658456,0.1915120745164011,0.1944807603122161,0.2774011741833414,0.2765447200801124,0.2766755524743667,0.2772194966008173,0.984304131550162,0.9843069899750454,0.9995650262489414,0.9847324643239582,0.9999970960026573,1.0000029040057759,0.9847353239927223,0.9997822333183182,1.0004322577745015,-0.0158203529056516,-0.015817448904092236,-0.00043506837958227516,-0.0002177903962885522,0.00043216437802296814,0.00043216437802296814,0.9847353239927223,0.015382380524510046
electricity,ols,dlinear_ols,linear,raw,96,192,M,0.1938402293569773,0.1902302513284864,0.1902178328031109,0.1937740137194246,0.2802755338096012,0.2791424260018497,0.2791801141208965,0.2802141967999547,0.981376528285866,0.9813124625064522,0.9996584009533399,0.9817118801282126,1.0000652858104442,0.9999347184515145,0.9816477924565112,0.9997952611125233,1.0004070238960792,-0.018799072174530345,-0.018864355853948803,-0.0003416574049048889,-0.00020475984934395185,0.0004069410843233189,0.0004069410843233189,0.9816477924565112,0.018522698449044018
electricity,ols,dlinear_ols,linear,raw,96,336,M,0.2067783432583612,0.204891707660944,0.2048988961129787,0.2065540840081695,0.2960530579105049,0.2951671436655043,0.2952113093926637,0.2958794184643792,0.9908760483922636,0.9909108124392205,0.9989154606490318,0.9919518592178515,0.9999649170777829,1.0000350841530716,0.99198666100872,0.9994727068493997,1.001050595841283,-0.009165829778434883,-0.00913074624079766,-0.001085127889337255,-0.000527432218522153,0.0010500443517000913,0.0010500443517000913,0.99198666100872,0.008045618351460414
electricity,ols,dlinear_ols,linear,raw,96,720,M,0.2423158813166889,0.2363799619324365,0.2366602223832742,0.2419093556011839,0.3292184011214843,0.3228250999481158,0.3230871629582419,0.3290706374656569,0.9755033828076064,0.9766599741515778,0.998322331523233,0.9771427043199468,0.9988157686660845,1.0011856354005075,0.978301239301536,0.9997362307058898,1.0004942663579393,-0.02480165115706339,-0.02361671806713944,-0.0016790773384817012,-0.0002638040873488563,0.0004941442485576755,0.0004941442485576755,0.978301239301536,0.021937640728657785
