dataset,seq_len,pred_len,features,NR_over_NN_ols,NR_over_NN_revin_ols,RN_over_NN_ols,RN_over_NN_revin_ols,RR_over_NN_ols,RR_over_NN_revin_ols,abs_log_interaction_ols,abs_log_interaction_revin_ols,interaction_ols,interaction_revin_ols,mismatch_over_matched_ols,mismatch_over_matched_revin_ols,revin_minus_ols_mismatch_over_matched,revin_over_ols_mismatch_over_matched,revin_minus_ols_interaction,revin_over_ols_interaction,revin_minus_ols_abs_log_interaction,revin_over_ols_abs_log_interaction,revin_minus_ols_RR_over_NN,revin_over_ols_RR_over_NN,revin_minus_ols_NR_over_NN,revin_over_ols_NR_over_NN,revin_minus_ols_RN_over_NN,revin_over_ols_RN_over_NN
ETTm1,96,336,M,1.0162993211908016,0.9879885926273559,1.0002694196840465,1.226401132288652,1.0165297109346063,1.2101703377884205,4.271431556923333e-05,0.0012387198799714753,0.9999572865966742,0.9987620470168096,1.000019355003812,1.0019090778006774,0.0018897227968655006,1.0018896862219815,-0.0011952395798645599,0.9988047093652045,0.001196005564402242,29.000110699741892,0.19364062685381422,1.190491851611282,-0.02831072856344563,0.9721433164687409,0.22613171260460563,1.2260708046798368
ETTm1,96,720,M,1.0280369239429392,0.9809928134319518,0.9989493273377704,1.671569010363593,1.0264485371114367,1.6297434638523411,0.0004950377234522553,0.006149949019228601,0.9995050847875049,0.9938689232096732,1.0002653480507526,1.0086770288649285,0.00841168081417587,1.0084094493831741,-0.005636161577831644,0.9943610476188524,0.0056549112957763464,12.423192673763463,0.6032949267409045,1.5877498042314493,-0.04704411051098745,0.9542388902428192,0.6726196830258225,1.6733271294334557
ETTm2,96,96,M,1.0032753547692026,1.0085408332367451,1.0064232162075546,1.3357951552983252,1.009737410927448,1.366520733684529,1.7630124012813577e-05,0.014236595951691453,1.0000176302794244,1.0143384189141538,0.9999806741166883,0.9906255859778932,-0.009355088138795153,0.990644731062369,0.014320788634729409,1.0143205361596754,0.01421896582767864,807.515360716935,0.35678332275708113,1.3533426798848367,0.00526547846754255,1.005248288460902,0.32937193909077056,1.3272698143152177
ETTm2,96,192,M,1.0032682530969546,0.997604602646259,1.0076026314592563,1.8314808888961713,1.0108874970196182,1.8694043525221593,8.146135833657493e-06,0.02289325446124323,0.999991853897346,1.023157316238816,0.9999917387405155,0.9859487001390065,-0.014043038601509017,0.9859568453843467,0.023165462341469878,1.0231656510512415,0.022885108325409572,2810.320737183743,0.8585168555025411,1.8492704262677016,-0.005663650450695501,0.9943547994933433,0.823878257436915,1.8176618755389085
ETTm2,96,336,M,1.0034281497680753,0.9976606698905681,1.0082879280645358,1.7850042057163131,1.0116883869409938,1.8035759571003243,5.5453433558948236e-05,0.012692636214959295,0.9999445481039543,1.0127735296098357,1.0000137650004828,0.9925412823431862,-0.0074724826572966085,0.992527620200015,0.01282898150588141,1.0128296929366805,0.012637182781400347,228.88819321650732,0.7918875701593304,1.782738618314808,-0.005767479877507142,0.9942522243582261,0.7767162776517773,1.7703318229176135
ETTm2,96,720,M,1.0142176606660445,1.0043883520957977,1.0109045806453711,0.9641697180804191,1.0250943014804117,0.9762494647451971,0.0001784822424955461,0.00807206630676076,0.9998215336845123,1.0081047332714688,1.000013796804911,0.9961080851855045,-0.003905711619406449,0.9960943422661913,0.008283199586956447,1.008284678122936,0.007893584064265213,45.22615916237265,-0.04884483673521456,0.9523508845335749,-0.009829308570246775,0.9903084821419972,-0.04673486256495207,0.9537692642216379
electricity,96,96,M,0.9843069899750454,0.9950069250733972,0.9995650262489414,0.9999081981320154,0.984304131550162,0.9952499109320095,0.00043216437802296814,0.00033598146224006383,1.0004322577745015,1.0003360379103332,0.9997822333183182,0.9998322076223319,4.997430401376679e-05,1.0000499851891225,-9.621986416830097e-05,0.9999038217096454,-9.618291578290431e-05,0.7774390470984341,0.010945779381847487,1.011120322500942,0.010699935098351765,1.0108705263777746,0.0003431718830739783,1.0003433212187924
electricity,96,192,M,0.9813124625064522,0.9998391315989928,0.9996584009533399,1.0110218604399224,0.981376528285866,1.0121095788160797,0.0004069410843233189,0.0012361634117352839,1.0004070238960792,1.001236927776653,0.9997952611125233,0.9993794638272637,-0.00041579728525953374,0.9995841175674339,0.0008299038805739123,1.0008295662272961,0.000829222327411965,3.037696264536267,0.03073305053021369,1.0313162681645687,0.018526669092540637,1.018879480084478,0.011363459486582461,1.011367342559964
electricity,96,336,M,0.9909108124392205,1.0215980150639055,0.9989154606490318,1.034727712846923,0.9908760483922636,1.061890118691069,0.0010500443517000913,0.004544055576891724,1.001050595841283,1.0045543954531597,0.9994727068493997,0.9973013155600297,-0.0021713912893700504,0.9978274631468278,0.0035037996118767456,1.0035001223978417,0.0034940112251916323,4.3274891860849465,0.07101407029880535,1.0716679653464514,0.03068720262468494,1.0309686827910833,0.03581225219789119,1.0358511341636685
electricity,96,720,M,0.9766599741515778,0.9981476581468525,0.998322331523233,1.1234328361957782,0.9755033828076064,1.1248445064975592,0.0004941442485576755,0.0031098392276601872,1.0004942663579393,1.003114679794165,0.9997362307058898,0.998463881877028,-0.0012723488288618467,0.9987273154760397,0.002620413436225766,1.0026191188938691,0.0026156949791025117,6.293383433556675,0.14934112368995278,1.1530913437328454,0.021487683995274676,1.0220011923944574,0.12511050467254514,1.125320751346564
