case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint,model,base_model,family,output_transformation,last_value_mse,last_value_mae,log_mse_relative_to_last_value,skill_vs_last_value,log_mae_relative_to_last_value
NN,traffic,96,720,M,False,False,862,11465,2789,0.6456079473866364,0.3949643513422158,0.464,0.307,1.391396438333268,1.286528831733602,12.7134328330867,checkpoints/full/ols_traffic_s96_p720_M.npz,ols,dlinear_ols,linear,raw,2.8095773261282466,1.0967762917945094,-1.4705969063075488,0.7702117178329027,-1.0213350011562563
NN,weather,96,96,M,False,False,21,36696,10444,0.195037645364608,0.2533440101144976,0.182,0.232,1.071635414091253,1.0920000435969723,0.2824741670629009,checkpoints/full/ols_weather_s96_p96_M.npz,ols,dlinear_ols,linear,raw,0.2591330203313892,0.254220276014315,-0.2841489287861651,0.2473454555687793,-0.0034528306830790595
NN,weather,96,192,M,False,False,21,36600,10348,0.2354719921656459,0.2923500575944353,0.225,0.269,1.0465421874028706,1.0868031880834024,0.3415364590473473,checkpoints/full/ols_weather_s96_p192_M.npz,ols,dlinear_ols,linear,raw,0.3092152840046858,0.2917442116158218,-0.27244576914498847,0.23848527434990052,0.002074480876871638
NN,weather,96,336,M,False,False,21,36456,10204,0.2812729100756499,0.3303264939738943,0.271,0.301,1.0379074172533207,1.097430212537855,0.4620510831009596,checkpoints/full/ols_weather_s96_p336_M.npz,ols,dlinear_ols,linear,raw,0.3764121635300358,0.3377075921891566,-0.2913593143770353,0.25275286686317255,-0.022098868161926327
NN,weather,96,720,M,False,False,21,36072,9820,0.3450693811500002,0.3806315498267627,0.338,0.348,1.0209153288461543,1.0937688213412722,0.9226147499866784,checkpoints/full/ols_weather_s96_p720_M.npz,ols,dlinear_ols,linear,raw,0.4651866051375233,0.3935038636313216,-0.29869312486340177,0.2582129894991555,-0.033259040040761245
NN,illness,104,24,M,False,False,7,549,170,2.1952276006802394,1.0237821211113034,1.683,0.858,1.3043538922639568,1.1932192553744796,0.0057023330591619,checkpoints/full/ols_illness_s104_p24_M.npz,ols,dlinear_ols,linear,raw,6.213324146402461,1.622230997974994,-1.0404103103383873,0.6466903144025916,-0.46029862944822675
NN,illness,104,36,M,False,False,7,537,158,2.221240641577469,1.0468768526077767,1.703,0.859,1.304310417837621,1.218715777191824,0.0044861249625682,checkpoints/full/ols_illness_s104_p36_M.npz,ols,dlinear_ols,linear,raw,7.713821968534773,1.905885224752752,-1.24494789316757,0.7120440877896759,-0.5991352798707299
NN,illness,104,48,M,False,False,7,525,146,2.2623476904067825,1.0686957001628437,1.719,0.884,1.3160835895327414,1.208931787514529,0.0044353749835863,checkpoints/full/ols_illness_s104_p48_M.npz,ols,dlinear_ols,linear,raw,7.8512745101044334,1.952148908599977,-1.2442728014220898,0.7118496254977219,-0.6024918371118232
NN,illness,104,60,M,False,False,7,513,134,2.385154406727298,1.1037811236802175,1.819,0.917,1.3112448635114338,1.2036871577755917,0.0046662909444421,checkpoints/full/ols_illness_s104_p60_M.npz,ols,dlinear_ols,linear,raw,6.8849038632361,1.7884297345248592,-1.0600673058530996,0.6535675073890999,-0.4825963209041512
RN,ETTh1,96,96,M,True,False,7,8449,2785,0.3807556644828804,0.3932840289915889,0.375,0.399,1.0153484386210143,0.9856742581242828,0.049931582994759,checkpoints/reversal/ols_RN_ETTh1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.29437059478451,0.7131813544413377,-1.2236219599550437,0.7058372107516322,-0.5952036712137135
RN,ETTh1,96,192,M,True,False,7,8353,2689,0.4302212216532098,0.4238965023147442,0.405,0.416,1.0622746213659502,1.0189819767181352,0.0520765419350937,checkpoints/reversal/ols_RN_ETTh1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.3248802896757077,0.7331008428313128,-1.1247778415694116,0.6752754003469132,-0.5477939407892816
RN,ETTh1,96,336,M,True,False,7,8209,2545,0.4714422614365709,0.4479407427927041,0.439,0.443,1.0739003677370635,1.011152918267955,0.0641845830250531,checkpoints/reversal/ols_RN_ETTh1_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.3299273453322635,0.7459721343475545,-1.0370829547654021,0.6455127694823151,-0.5100272929701312
RN,ETTh1,96,720,M,True,False,7,7825,2161,0.4802374207357408,0.480889107996215,0.472,0.49,1.0174521625757222,0.9814063428494184,0.0936939169187098,checkpoints/reversal/ols_RN_ETTh1_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.3351206768325183,0.7550452793740796,-1.022496353232752,0.6403041095318283,-0.45114102131180417
NR,ETTh1,96,96,M,False,True,7,8449,2785,0.3800433139060087,0.3919174718322504,0.375,0.399,1.01344883708269,0.9822493028377204,0.0434611670207232,checkpoints/reversal/ols_NR_ETTh1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.3039855579190065,0.7174139674890206,-1.2328954370218477,0.7085525130259042,-0.6046017479203226
NR,ETTh1,96,192,M,False,True,7,8353,2689,0.4326878007009845,0.42142150500108,0.405,0.416,1.0683649400024309,1.013032463944904,0.0513419999042525,checkpoints/reversal/ols_NR_ETTh1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.3192809497952158,0.7317726855611987,-1.1148256787556663,0.6720275535183404,-0.5518363945393929
NR,ETTh1,96,336,M,False,True,7,8209,2545,0.4803552513727301,0.4449316903970243,0.439,0.443,1.0942033060882237,1.0043604749368495,0.0607626249548047,checkpoints/reversal/ols_NR_ETTh1_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.3207068770170445,0.7416716891449354,-1.0113964479519475,0.6362892783161218,-0.5109859121327178
NR,ETTh1,96,720,M,False,True,7,7825,2161,0.503505632036233,0.4727230721230731,0.472,0.49,1.0667492204157478,0.9647409635164756,0.1043956659268587,checkpoints/reversal/ols_NR_ETTh1_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.340621549628209,0.7560459024302172,-0.9792937305410515,0.624423736754143,-0.46959234599841837
RR,ETTh1,96,96,M,True,True,7,8449,2785,0.3793783089051643,0.3920820966340917,0.375,0.399,1.0116754904137717,0.9826618963260444,0.0497212500777095,checkpoints/reversal/ols_RR_ETTh1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.3039855579190065,0.7174139674890206,-1.234646783443507,0.7090624918341861,-0.6041817864538058
RR,ETTh1,96,192,M,True,True,7,8353,2689,0.4303737570398181,0.4208314512417548,0.405,0.416,1.062651251950168,1.0116140654849877,0.0584357499610632,checkpoints/reversal/ols_RR_ETTh1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.3192809497952158,0.7317726855611987,-1.1201880985866541,0.6737815723734792,-0.5532375267087324
RR,ETTh1,96,336,M,True,True,7,8209,2545,0.4755604386416044,0.4429130796159751,0.439,0.443,1.0832811814159555,0.9998037914581832,0.0697232499951496,checkpoints/reversal/ols_RR_ETTh1_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.3207068770170445,0.7416716891449354,-1.0214284057777543,0.6399197680292937,-0.5155331355382091
RR,ETTh1,96,720,M,True,True,7,7825,2161,0.4946958765769658,0.4666486882998535,0.472,0.49,1.0480844842732326,0.9523442618364358,0.097873791004531,checkpoints/reversal/ols_RR_ETTh1_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.340621549628209,0.7560459024302172,-0.9969454454094245,0.6309951330305272,-0.48252539071519923
RN,ETTh2,96,96,M,True,False,7,8449,2785,0.3428101083265554,0.3949276776631331,0.289,0.353,1.1861941464586694,1.1187752908304056,0.0444358329987153,checkpoints/reversal/ols_RN_ETTh2_s96_p96_M.npz,ols,dlinear_ols,linear,raw,0.4316573908288565,0.4216213778056135,-0.23045552298470465,0.20582824339390793,-0.0654050486981194
RN,ETTh2,96,192,M,True,False,7,8353,2689,0.481550343348584,0.4767321928688138,0.383,0.418,1.2573116014323342,1.1405076384421384,0.050683332956396,checkpoints/reversal/ols_RN_ETTh2_s96_p192_M.npz,ols,dlinear_ols,linear,raw,0.5337222253820949,0.4725376925324175,-0.10286474542026784,0.0977510014617824,0.008837376387479234
RN,ETTh2,96,336,M,True,False,7,8209,2545,0.6289175046434637,0.5558555769817503,0.448,0.465,1.403833715722017,1.1953883375951615,0.0637255840701982,checkpoints/reversal/ols_RN_ETTh2_s96_p336_M.npz,ols,dlinear_ols,linear,raw,0.5972773239778436,0.5108653124194764,0.05161856010066777,-0.05297401959762649,0.0844025278960198
RN,ETTh2,96,720,M,True,False,7,7825,2161,0.9396686507423396,0.6972136261366219,0.605,0.551,1.5531713235410574,1.2653604830065732,0.0906530419597402,checkpoints/reversal/ols_RN_ETTh2_s96_p720_M.npz,ols,dlinear_ols,linear,raw,0.5944721534188736,0.5189911461013851,0.45785343921584026,-0.5806773207764293,0.2952050340552161
NR,ETTh2,96,96,M,False,True,7,8449,2785,0.3436265067262419,0.3974299004068499,0.289,0.353,1.189019054416062,1.12586374052932,0.0418684999458491,checkpoints/reversal/ols_NR_ETTh2_s96_p96_M.npz,ols,dlinear_ols,linear,raw,0.4332666967041569,0.4227312854964394,-0.23179813484620604,0.2068937923450025,-0.06171815094524643
NR,ETTh2,96,192,M,False,True,7,8353,2689,0.4681574688375992,0.4765496493300096,0.383,0.418,1.2223432606725828,1.1400709314115065,0.0500678749522194,checkpoints/reversal/ols_NR_ETTh2_s96_p192_M.npz,ols,dlinear_ols,linear,raw,0.5298878986323559,0.4710725741197806,-0.12386076096103209,0.11649714959349577,0.0115597462054351
NR,ETTh2,96,336,M,False,True,7,8209,2545,0.578093636259079,0.5437078322447643,0.448,0.465,1.290387580935444,1.1692641553650844,0.0604525830131024,checkpoints/reversal/ols_NR_ETTh2_s96_p336_M.npz,ols,dlinear_ols,linear,raw,0.6132736026383379,0.5183873552292267,-0.059075314189834215,0.05736422736591418,0.047689276679411495
NR,ETTh2,96,720,M,False,True,7,7825,2161,0.8369902848937434,0.6631119235646167,0.605,0.551,1.3834550163532948,1.203469915725257,0.0869581670267507,checkpoints/reversal/ols_NR_ETTh2_s96_p720_M.npz,ols,dlinear_ols,linear,raw,0.7059561259254034,0.5756071560579062,0.17025937238504749,-0.18561232654022763,0.1415183824802161
RR,ETTh2,96,96,M,True,True,7,8449,2785,0.345909164925231,0.3989568915617149,0.289,0.353,1.1969175256928408,1.1301894945091076,0.0434045000001788,checkpoints/reversal/ols_RR_ETTh2_s96_p96_M.npz,ols,dlinear_ols,linear,raw,0.4332666967041569,0.4227312854964394,-0.22517725464699398,0.20162530940746493,-0.05788334845591642
RR,ETTh2,96,192,M,True,True,7,8353,2689,0.4804778281215179,0.4832010528768941,0.383,0.418,1.254511300578376,1.1559833800882633,0.0538405410479754,checkpoints/reversal/ols_RR_ETTh2_s96_p192_M.npz,ols,dlinear_ols,linear,raw,0.5298878986323559,0.4710725741197806,-0.09788438816173106,0.0932462708402394,0.02542065825879648
RR,ETTh2,96,336,M,True,True,7,8209,2545,0.6200279227829898,0.5633532706136664,0.448,0.465,1.3839908990691736,1.211512409921863,0.0639527080347761,checkpoints/reversal/ols_RR_ETTh2_s96_p336_M.npz,ols,dlinear_ols,linear,raw,0.6132736026383379,0.5183873552292267,0.010953343581981507,-0.011013551073443262,0.08318415742298639
RR,ETTh2,96,720,M,True,True,7,7825,2161,0.9640571992090924,0.7124231493448465,0.605,0.551,1.5934829738993266,1.2929639734026253,0.0925138329621404,checkpoints/reversal/ols_RR_ETTh2_s96_p720_M.npz,ols,dlinear_ols,linear,raw,0.7059561259254034,0.5756071560579062,0.31159753714881316,-0.36560497714409235,0.213246638475652
RN,ETTm1,96,96,M,True,False,7,34369,11425,0.3448019857916967,0.3717919332787814,0.299,0.343,1.1531838989688854,1.083941496439596,0.1728984999936074,checkpoints/reversal/ols_RN_ETTm1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.2138966104780098,0.6647846126513508,-1.2586205056122417,0.7159544043409758,-0.5811287187892841
RN,ETTm1,96,192,M,True,False,7,34273,11329,0.3809772292417238,0.3900958520154347,0.335,0.365,1.137245460423056,1.0687557589463963,0.2017816249281168,checkpoints/reversal/ols_RN_ETTm1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.261194998634244,0.6903626795111496,-1.1970753545309638,0.6979236124038817,-0.5708245986554605
RN,ETTm1,96,336,M,True,False,7,34129,11185,0.4125262342583425,0.4120758812502939,0.369,0.386,1.1179572744128523,1.067554096503352,0.2429826670559123,checkpoints/reversal/ols_RN_ETTm1_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.286579133188017,0.7072381965501472,-1.1374423383210184,0.6793619423656103,-0.5401600106409584
RN,ETTm1,96,720,M,True,False,7,33745,10801,0.4705587983107813,0.4475337263388072,0.425,0.421,1.1071971724959562,1.063025478239447,0.3597485839854926,checkpoints/reversal/ols_RN_ETTm1_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.3223119269664718,0.7294675571790642,-1.033216022326719,0.644139337538689,-0.4885629932974344
NR,ETTm1,96,96,M,False,True,7,34369,11425,0.3467075546825424,0.3720516828205151,0.299,0.343,1.1595570390720482,1.0846987837332802,0.1656407499685883,checkpoints/reversal/ols_NR_ETTm1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.2178743202654845,0.6662944616053731,-1.2563806149019112,0.7153174601735888,-0.5826989304341558
NR,ETTm1,96,192,M,False,True,7,34273,11329,0.3841789914454893,0.3917482160242351,0.335,0.365,1.146802959538774,1.0732827836280414,0.2062140409834683,checkpoints/reversal/ols_NR_ETTm1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.2612430119781577,0.6905574338177154,-1.188744463558118,0.695396535166577,-0.5668798191710782
NR,ETTm1,96,336,M,False,True,7,34129,11185,0.4191372080359899,0.4130985188523042,0.369,0.386,1.1358731925094578,1.070203416715814,0.2497606250690296,checkpoints/reversal/ols_NR_ETTm1_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.2804343678261882,0.7051268438467903,-1.1167563174150208,0.6726601389592775,-0.5346915980281963
NR,ETTm1,96,720,M,False,True,7,33745,10801,0.4842606189434197,0.4480617918838175,0.425,0.421,1.1394367504551053,1.0642797906979038,0.3986827919725328,checkpoints/reversal/ols_NR_ETTm1_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.3103914183110017,0.7238698474060361,-0.9954579334837521,0.630445825440771,-0.47968045623333716
RR,ETTm1,96,96,M,True,True,7,34369,11425,0.3470090945339764,0.3724262759688146,0.299,0.343,1.1605655335584495,1.0857908920373602,0.1960288749542087,checkpoints/reversal/ols_RR_ETTm1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.2178743202654845,0.6662944616053731,-1.2555112689787145,0.7150698649608345,-0.5816926060010702
RR,ETTm1,96,192,M,True,True,7,34273,11329,0.3843457080948239,0.3919946573641324,0.335,0.365,1.1473006211785788,1.0739579653811848,0.2369361669989302,checkpoints/reversal/ols_RR_ETTm1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.2612430119781577,0.6905574338177154,-1.1883106020256273,0.695264350767733,-0.5662509360095533
