dataset,seq_len,pred_len,features,case,last_value_mse,last_value_mae
illness,104,36,M,RR,3.8293750077449205,1.3658587889884666
illness,104,48,M,NN,7.8512745101044334,1.952148908599977
illness,104,48,M,NR,3.8073911455103135,1.3609486299538385
illness,104,48,M,RN,7.8512745101044334,1.952148908599977
illness,104,48,M,RR,3.8073911455103135,1.3609486299538385
illness,104,60,M,NN,6.8849038632361,1.7884297345248592
illness,104,60,M,NR,3.555170744524058,1.2885433054850393
illness,104,60,M,RN,6.8849038632361,1.7884297345248592
illness,104,60,M,RR,3.555170744524058,1.2885433054850393
traffic,96,96,M,NN,2.714452418782965,1.0772232192006952
traffic,96,96,M,NR,2.72953654933593,1.0805259946875791
traffic,96,96,M,RN,2.714452418782965,1.0772232192006952
traffic,96,96,M,RR,2.72953654933593,1.0805259946875791
traffic,96,192,M,NN,2.7470782117095016,1.0850772686915366
traffic,96,192,M,NR,2.736976839629787,1.0819361819898694
traffic,96,192,M,RN,2.7470782117095016,1.0850772686915366
traffic,96,192,M,RR,2.736976839629787,1.0819361819898694
traffic,96,336,M,NN,2.788541949245972,1.094132305824746
traffic,96,336,M,NR,2.772185682367222,1.0904205867978354
traffic,96,336,M,RN,2.788541949245972,1.094132305824746
traffic,96,336,M,RR,2.772185682367222,1.0904205867978354
traffic,96,720,M,NN,2.8095773261282466,1.0967762917945094
traffic,96,720,M,NR,2.796803183317618,1.094672786428829
traffic,96,720,M,RN,2.8095773261282466,1.0967762917945094
traffic,96,720,M,RR,2.796803183317618,1.094672786428829
weather,96,96,M,NN,0.25913302033138924,0.254220276014315
weather,96,96,M,NR,0.26054371605259724,0.25536505448069813
weather,96,96,M,RN,0.25913302033138924,0.254220276014315
weather,96,96,M,RR,0.26054371605259724,0.25536505448069813
weather,96,192,M,NN,0.3092152840046858,0.29174421161582187
weather,96,192,M,NR,0.3097240178088002,0.29194811491939787
weather,96,192,M,RN,0.3092152840046858,0.29174421161582187
weather,96,192,M,RR,0.3097240178088002,0.29194811491939787
weather,96,336,M,NN,0.37641216353003587,0.33770759218915664
weather,96,336,M,NR,0.37363711487609896,0.33589229106026824
weather,96,336,M,RN,0.37641216353003587,0.33770759218915664
weather,96,336,M,RR,0.37363711487609896,0.33589229106026824
weather,96,720,M,NN,0.46518660513752336,0.39350386363132167
weather,96,720,M,NR,0.46411275539759383,0.3901181786138592
weather,96,720,M,RN,0.46518660513752336,0.39350386363132167
weather,96,720,M,RR,0.46411275539759383,0.3901181786138592
