case,model_name,seasonal_pattern,seq_len,pred_len,train_reversed,test_reversed,series_count,train_windows,mse,mae,smape,mase,owa,naive_smape,naive_mase,seconds,checkpoint
NR,revin_ols,Daily,420,14,False,True,4227,8355241,34885381.94014074,2078.595770815601,77.96175013538779,47.41542275601424,26.05546932655372,2.4308050764559326,2.366211481144108,165.28521000011824,checkpoints/long_input/revin_ols_m4_NR_Daily_s420.npz
NR,revin_ols,Hourly,480,48,False,True,414,135322,1651090.5368892374,296.5040191680526,12.505092207094451,1.3147281451406483,0.9100866997157561,14.83219803183893,1.345583799200641,3.8925976660102606,checkpoints/long_input/revin_ols_m4_NR_Hourly_s480.npz
RN,revin_ols,Yearly,27,6,True,False,23000,129134,62912748.093342684,4536.734126679536,80.27379994703067,21.212568966043982,5.124709099423837,16.34217348809131,3.9743602651835848,3.158532625064254,checkpoints/long_input/revin_ols_m4_RN_Yearly_s27.npz
RN,revin_ols,Quarterly,36,8,True,False,24000,1208270,2076930.9630936843,640.3591881817608,12.110077984046514,1.4364883942533366,0.9318495498378792,12.521366833774172,1.6022471761870838,13.974321417044848,checkpoints/long_input/revin_ols_m4_RN_Quarterly_s36.npz
RN,revin_ols,Monthly,81,18,True,False,48000,6030691,163481741.55615076,7105.9986437151365,118.0411653405482,12.95867930102529,8.834978216264512,15.988281562780067,1.2597170382819993,64.29519874998368,checkpoints/long_input/revin_ols_m4_RN_Monthly_s81.npz
RN,revin_ols,Weekly,390,13,True,False,359,245170,342721.2358443491,306.6259076108842,7.873426303042832,2.6349204200958334,0.9040799286616001,9.161286913956424,2.777294993197484,4.551558332983404,checkpoints/long_input/revin_ols_m4_RN_Weekly_s390.npz
RN,revin_ols,Daily,420,14,True,False,4227,8355241,511719.64105358225,189.5080974791794,3.326293714075023,3.5171016029279567,1.0825455081952269,3.0452517800571,3.2784242959709133,146.9368770411238,checkpoints/long_input/revin_ols_m4_RN_Daily_s420.npz
RN,revin_ols,Hourly,480,48,True,False,414,135322,1488417.9361290536,287.439620416014,14.489212189098447,1.2333709012673875,1.0375637470199766,13.912272895203037,1.193210207420035,3.8307722499594092,checkpoints/long_input/revin_ols_m4_RN_Hourly_s480.npz
RR,revin_ols,Yearly,27,6,True,True,23000,129134,79229581.86741997,5098.064335101593,131.94074146563628,24.647592967245107,7.162779059292621,29.93671643602316,2.4850781984566717,3.1170131671242416,checkpoints/long_input/revin_ols_m4_RR_Yearly_s27.npz
RR,revin_ols,Quarterly,36,8,True,True,24000,1208270,1957071.800591162,595.9962774189639,19.414533442643965,1.357693010332685,0.8706607584001269,19.117859843495566,1.87060717977738,14.224976291880012,checkpoints/long_input/revin_ols_m4_RR_Quarterly_s36.npz
RR,revin_ols,Monthly,81,18,True,True,48000,6030691,66211609.596579,4190.562481001091,100.25613391978202,6.943271873204617,2.894649642932171,42.877812696809976,2.011891074447854,77.19442724995315,checkpoints/long_input/revin_ols_m4_RR_Monthly_s81.npz
RR,revin_ols,Weekly,390,13,True,True,359,245170,1123769.327584671,517.6070425973928,58.961350913321674,10.253291275320278,2.275690340820373,16.822595181825758,9.797788488851985,4.791065624915063,checkpoints/long_input/revin_ols_m4_RR_Weekly_s390.npz
RR,revin_ols,Daily,420,14,True,True,4227,8355241,135538.37036418545,162.55123044603994,58.94691525166749,3.023438648174455,12.763855336015217,2.4308050764559326,2.366211481144108,132.48774579213932,checkpoints/long_input/revin_ols_m4_RR_Daily_s420.npz
RR,revin_ols,Hourly,480,48,True,True,414,135322,1592589.6332740528,290.8852550152741,12.920827031691697,1.0967239460354217,0.8430940139011137,14.83219803183893,1.345583799200641,3.5426379579585046,checkpoints/long_input/revin_ols_m4_RR_Hourly_s480.npz
