case,model_name,seasonal_pattern,seq_len,pred_len,frequency,series_count,mse,mae,smape,mase,owa,naive_smape,naive_mase,checkpoint
RN,ols,Daily,140,14,1,4227,499734.4079676718,190.1532329044888,3.1819041568269966,3.459163737521391,1.0500019449796294,3.0452517800571,3.2784242959709133,checkpoints/m4_reversal/ols_m4_RN_Daily_s140.npz
RN,ols,Hourly,480,48,24,414,4292670.372026676,400.63775888120506,24.76496895314673,3.981211052251241,2.5583176864653954,13.912272895203037,1.193210207420035,checkpoints/m4_reversal/ols_m4_RN_Hourly_s480.npz
RR,ols,Yearly,9,6,1,23000,1864809.4537520376,695.4950440560884,15.530075306606273,2.576803276944211,0.7529743187099309,19.42854926827774,3.6467347905728182,checkpoints/m4_reversal/ols_m4_RR_Yearly_s9.npz
RR,ols,Quarterly,12,8,4,24000,1653079.6840978311,590.1740646513837,11.380973380644223,1.3365956523187068,0.9047540596479811,12.682663669074588,1.4653348081890543,checkpoints/m4_reversal/ols_m4_RR_Quarterly_s12.npz
RR,ols,Monthly,27,18,12,48000,1501391.110838665,544.4599171084928,12.7199506133978,1.1007628842912835,0.8809105342862309,15.345046368483752,1.1799463898199907,checkpoints/m4_reversal/ols_m4_RR_Monthly_s27.npz
RR,ols,Weekly,130,13,1,359,223011.01748817804,265.6525108481721,40.668134755242896,2.1974817962016178,4.473591848352013,5.156093172616785,2.0735060513928527,checkpoints/m4_reversal/ols_m4_RR_Weekly_s130.npz
RR,ols,Daily,140,14,1,4227,156406.8497247866,154.97771120405156,7.374961061507453,2.9143506116778397,1.8241622481969855,2.792181240025279,2.8939935232929406,checkpoints/m4_reversal/ols_m4_RR_Daily_s140.npz
RR,ols,Hourly,480,48,24,414,1612791.9924225009,337.05235504609743,22.804156880931785,2.337673254185366,1.6373847597882905,14.83219803183893,1.345583799200641,checkpoints/m4_reversal/ols_m4_RR_Hourly_s480.npz
NN,revin_ols,Yearly,9,6,1,23000,21545239340.570545,61005.01021967831,193.42265353213824,198.33251145624115,30.869400072811853,16.34217348809131,3.9743602651835848,checkpoints/m4_reversal/revin_ols_m4_NN_Yearly_s9.npz
NN,revin_ols,Quarterly,12,8,4,24000,1646229474.320998,15610.852340320405,76.2220426479232,29.142519699962953,12.13794365014344,12.521366833774172,1.6022471761870838,checkpoints/m4_reversal/revin_ols_m4_NN_Quarterly_s12.npz
NN,revin_ols,Monthly,27,18,12,48000,1603079012.1351988,18019.299891769508,151.13455835551972,30.701633998143418,16.912341308753177,15.988281562780067,1.2597170382819993,checkpoints/m4_reversal/revin_ols_m4_NN_Monthly_s27.npz
NN,revin_ols,Weekly,130,13,1,359,275579.2463485548,278.48167576520973,6.905383649000189,2.203241714710383,0.7735309209951311,9.161286913956424,2.777294993197484,checkpoints/m4_reversal/revin_ols_m4_NN_Weekly_s130.npz
NN,revin_ols,Daily,140,14,1,4227,25637177.809375368,2173.147923628002,47.08550761604126,44.65690958541752,14.541698786350999,3.0452517800571,3.2784242959709133,checkpoints/m4_reversal/revin_ols_m4_NN_Daily_s140.npz
NN,revin_ols,Hourly,480,48,24,414,847441.3606744079,239.0093364670315,13.392201196869452,1.1048093603402147,0.9442656049976175,13.912272895203037,1.193210207420035,checkpoints/m4_reversal/revin_ols_m4_NN_Hourly_s480.npz
NR,revin_ols,Yearly,9,6,1,23000,170469208666.0349,212236.14769404818,197.89167269779966,872.8804331380705,124.77253112289958,19.42854926827774,3.6467347905728182,checkpoints/m4_reversal/revin_ols_m4_NR_Yearly_s9.npz
NR,revin_ols,Quarterly,12,8,4,24000,2743634501.2885265,23604.444122320507,103.20162743583677,57.39093588727242,23.65148481817091,12.682663669074588,1.4653348081890543,checkpoints/m4_reversal/revin_ols_m4_NR_Quarterly_s12.npz
NR,revin_ols,Monthly,27,18,12,48000,2281590328.850313,20573.523443992133,162.18625456677,39.44042527131969,21.99744921596961,15.345046368483752,1.1799463898199907,checkpoints/m4_reversal/revin_ols_m4_NR_Monthly_s27.npz
