source,model,dataset,case,lr,seq_len,pred_len,mae,mse,result_dir
deep_ltsf,DLinear,ETTh1,NR,0p005,96,96,0.41456618905067444,0.39987173676490784,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p005_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p005_0
deep_ltsf,DLinear,ETTh1,NR,0p01,96,336,0.48696184158325195,0.5303298830986023,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p01_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p01_0
deep_ltsf,DLinear,ETTh1,NR,0p01,96,96,0.3946625292301178,0.38219285011291504,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NR_lr0p01_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p01_0
deep_ltsf,DLinear,ETTh1,RN,0p0001,96,336,0.5402526259422302,0.6161567568778992,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p0001_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
deep_ltsf,DLinear,ETTh1,RN,0p0001,96,96,0.5038979053497314,0.5687590837478638,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p0001_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
deep_ltsf,DLinear,ETTh1,RN,0p0003,96,336,0.49061864614486694,0.5249615907669067,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p0003_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0003_0
deep_ltsf,DLinear,ETTh1,RN,0p0003,96,96,0.44733235239982605,0.4537366032600403,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p0003_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0003_0
deep_ltsf,DLinear,ETTh1,RN,0p001,96,336,0.46875157952308655,0.48988044261932373,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p001_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p001_0
deep_ltsf,DLinear,ETTh1,RN,0p001,96,96,0.4139799177646637,0.3987446129322052,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p001_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p001_0
deep_ltsf,DLinear,ETTh1,RN,0p003,96,336,0.4551738500595093,0.4771714508533478,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p003_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p003_0
deep_ltsf,DLinear,ETTh1,RN,0p003,96,96,0.3987465798854828,0.3852643072605133,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p003_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p003_0
deep_ltsf,DLinear,ETTh1,RN,0p005,336,336,0.4778732359409332,0.47606852650642395,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p005_s336_p336_DLinear_ETTh1_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p005_0
deep_ltsf,DLinear,ETTh1,RN,0p005,336,96,0.3930964171886444,0.36994823813438416,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p005_s336_p96_DLinear_ETTh1_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p005_0
deep_ltsf,DLinear,ETTh1,RN,0p005,96,336,0.4589252769947052,0.4799388349056244,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p005_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p005_0
deep_ltsf,DLinear,ETTh1,RN,0p005,96,96,0.39581045508384705,0.38206246495246887,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p005_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p005_0
deep_ltsf,DLinear,ETTh1,RN,0p01,96,336,0.48859813809394836,0.5157501101493835,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p01_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p01_0
deep_ltsf,DLinear,ETTh1,RN,0p01,96,96,0.3948010802268982,0.38177093863487244,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RN_lr0p01_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p01_0
deep_ltsf,DLinear,ETTh1,RR,0p0001,96,336,0.5291546583175659,0.6198638677597046,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_RR_lr0p0001_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
