family,metric,subgroup,comparison,n_blocks,median_delta_NN_minus_other,mean_delta_NN_minus_other,NN_better_rate,other_better_rate,p_value,p_holm,significant_holm_0.05,p_label_holm
deep_ltsf,mae,model=TimesNet,NN_vs_RN,30,-0.03164812922477722,-0.03865723709265391,0.8,0.2,5.144625902175903e-06,2.0578503608703613e-05,True,***
deep_ltsf,mae,model=TimesNet,NN_vs_RR,30,0.0041091591119766235,0.035376303891340895,0.26666666666666666,0.7333333333333333,0.0023674946278333664,0.004734989255666733,True,**
deep_ltsf,mae,model=iTransformer,NN_vs_NR,38,-0.00042489171028137207,0.01896859901516061,0.5263157894736842,0.47368421052631576,0.9657047467626398,0.9657047467626398,False,ns
deep_ltsf,mae,model=iTransformer,NN_vs_RN,38,-0.002795502543449402,-0.003701567257705488,0.7105263157894737,0.2894736842105263,0.0022788419882999733,0.007329617037612479,True,**
deep_ltsf,mae,model=iTransformer,NN_vs_RR,38,0.0038424134254455566,0.025651302776838605,0.2894736842105263,0.7105263157894737,0.0014659234075224958,0.007329617037612479,True,**
deep_ltsf,mse,ALL,NN_vs_NR,242,-0.0009012743830680847,-1102421.2827135148,0.5330578512396694,0.4669421487603306,0.2609351431490472,0.2609351431490472,False,ns
deep_ltsf,mse,ALL,NN_vs_RN,242,-0.00234425812959671,-1.769033997296548,0.6363636363636364,0.36363636363636365,4.239647468006643e-08,1.6958589872026573e-07,True,***
deep_ltsf,mse,ALL,NN_vs_RR,242,0.0031673312187194824,-74.3878067784504,0.3884297520661157,0.6115702479338843,6.877649861381262e-08,2.0632949584143786e-07,True,***
deep_ltsf,mse,model=DLinear,NN_vs_NR,50,-0.000814296305179596,0.08048267334699631,0.52,0.48,0.8258163298101913,1.0,False,ns
deep_ltsf,mse,model=DLinear,NN_vs_RN,50,0.00022148340940475464,-0.036663600653409956,0.44,0.56,0.44326672141018975,1.0,False,ns
deep_ltsf,mse,model=DLinear,NN_vs_RR,50,-0.000788465142250061,0.037203742116689684,0.54,0.46,0.6666519727454681,1.0,False,ns
deep_ltsf,mse,model=GRU,NN_vs_NR,30,-0.02211262285709381,0.05954481959342957,0.6666666666666666,0.3333333333333333,0.03841841779649258,0.07683683559298515,False,ns
deep_ltsf,mse,model=GRU,NN_vs_RN,30,-0.030936866998672485,-0.14574612180391947,0.6666666666666666,0.3333333333333333,0.004338232800364494,0.017352931201457977,True,*
deep_ltsf,mse,model=GRU,NN_vs_RR,30,0.010940007865428925,0.20276019622882208,0.3,0.7,0.005382779985666275,0.017352931201457977,True,*
deep_ltsf,mse,model=PatchTST,NN_vs_NR,30,0.0006649866700172424,0.09967302680015563,0.4,0.6,0.18396909348666668,0.36793818697333336,False,ns
deep_ltsf,mse,model=PatchTST,NN_vs_RN,30,-0.0022426918148994446,-0.04055594156185786,0.6333333333333333,0.36666666666666664,0.0635564886033535,0.1906694658100605,False,ns
deep_ltsf,mse,model=PatchTST,NN_vs_RR,30,0.006322413682937622,0.13139315247535704,0.36666666666666664,0.6333333333333333,0.012047622352838516,0.06023811176419258,False,ns
deep_ltsf,mse,model=TimeFilter,NN_vs_NR,26,-7.687509059906006e-05,0.0641236720749965,0.5,0.5,0.437446653842926,1.0,False,ns
deep_ltsf,mse,model=TimeFilter,NN_vs_RN,26,-0.000749979168176651,-0.15243589792114037,0.6538461538461539,0.34615384615384615,0.35332122445106506,1.0,False,ns
deep_ltsf,mse,model=TimeFilter,NN_vs_RR,26,-0.00046672672033309937,0.149248295965103,0.5,0.5,0.5153007805347443,1.0,False,ns
deep_ltsf,mse,model=TimeMixer,NN_vs_NR,38,0.0010369569063186646,-7020683.386965094,0.47368421052631576,0.5263157894736842,0.6462372204041458,0.7611186062858906,False,ns
deep_ltsf,mse,model=TimeMixer,NN_vs_RN,38,-0.001685597002506256,-10.885569505001369,0.631578947368421,0.3684210526315789,0.3805593031429453,0.7611186062858906,False,ns
deep_ltsf,mse,model=TimeMixer,NN_vs_RR,38,0.002187177538871765,-474.4358614932157,0.4473684210526316,0.5526315789473685,0.06954077348927967,0.2781630939571187,False,ns
