source,model,dataset,case,lr,seq_len,pred_len,mse,mae,result_dir
shallow_ltsf,OLS,traffic,RN,,336,336,0.4357958074916019,0.2945216495157484,results/long_input/ols_results.csv
shallow_ltsf,OLS,traffic,RR,,336,96,0.4026810421426969,0.274062124636672,results/long_input/ols_results.csv
shallow_ltsf,OLS,traffic,RR,,336,336,0.4273505341313346,0.2894534418256788,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,NN,,336,96,0.1738408598048478,0.2336126603120524,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,NN,,336,336,0.260326730932712,0.3094208448446635,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,NR,,336,96,0.1729674834459131,0.2331834733645434,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,NR,,336,336,0.2502488548248541,0.3102942849176159,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,RN,,336,96,0.1730211853283595,0.2316596610264834,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,RN,,336,336,0.2588172807443113,0.3061028114887679,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,RR,,336,96,0.1723106942374574,0.2312160955409371,results/long_input/ols_results.csv
shallow_ltsf,OLS,weather,RR,,336,336,0.2494067499340181,0.3070439407983003,results/long_input/ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NN,,96,96,0.3877805307048282,0.3951896230633527,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NN,,96,336,0.4863167475362365,0.4512429967841456,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RN,,96,96,0.3849447390529718,0.394371059277312,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RN,,96,336,0.4715157974478554,0.4406437233971702,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NR,,96,96,0.3861475104045938,0.3941205070624773,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NR,,96,336,0.4896081699092814,0.447700782037045,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RR,,96,96,0.384686281552737,0.3941213803777332,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RR,,96,336,0.4840750748225708,0.4488102946573011,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,NN,,96,96,0.3836778179515689,0.4033278817240718,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,NN,,96,336,2.140319257108673,1.020558171699907,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RN,,96,96,0.3426978072420585,0.3743160086989507,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RN,,96,336,0.5059719946488119,0.4716764488008424,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,NR,,96,96,0.3868333122904128,0.4074589327133692,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,NR,,96,336,2.5591705471444985,1.110123823833273,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RR,,96,96,0.3414356086924678,0.3752784190941909,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RR,,96,336,0.5122490794618839,0.4871420422118033,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NN,,96,96,0.554379438188006,0.4829419128772528,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NN,,96,336,1.6147451182894392,0.8927433788962155,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RN,,96,96,0.6308674700157745,0.5183826059758597,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RN,,96,336,1.9803252414277417,0.99691864321959,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NR,,96,96,0.5569451125354166,0.4815538439635479,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NR,,96,336,1.5953497568706765,0.8859064796891055,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RR,,96,96,0.6337182629632185,0.5203293420535068,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RR,,96,336,1.9541166452425336,0.9887361306634672,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NN,,96,96,0.1877804780116398,0.2661072143998608,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NN,,96,336,0.3482448279244892,0.3715551942969416,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RN,,96,96,0.2508362527875521,0.3258578610567557,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RN,,96,336,0.621618482464167,0.5484009368752105,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NR,,96,96,0.1893842797594535,0.2681796296861021,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NR,,96,336,0.3474301683130715,0.3737195817757265,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RR,,96,96,0.2566059165840976,0.3263206531393314,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RR,,96,336,0.6280859988291483,0.5429096628941322,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NN,,96,96,0.2024668743560796,0.2841571718454435,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NN,,96,336,0.2211476053772879,0.3080983132350046,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RN,,96,96,0.2024482875188087,0.2841754527418573,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RN,,96,336,0.228827555913615,0.3184329738957995,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NR,,96,96,0.2014559420822646,0.285160320669957,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NR,,96,336,0.2259239546895732,0.3126264185415716,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RR,,96,96,0.2015051386695706,0.2851822515205788,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RR,,96,336,0.2348344569223339,0.3236795221631175,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NN,,96,96,0.087426774807812,0.2066104999454276,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NN,,96,336,0.3316646785483212,0.4213934725364593,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,RN,,96,96,0.0845726407117489,0.2004159812723334,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,RN,,96,336,0.3131098893283102,0.4032638142372558,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NR,,96,96,0.0914012835243041,0.2072467575064931,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NR,,96,336,0.3766873682087887,0.434186811057599,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,RR,,96,96,0.0806508916737034,0.1955604083237092,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,RR,,96,336,0.319705059704009,0.4069371151579105,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,NN,,96,96,0.6628450386313758,0.3856493782984092,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,NN,,96,336,0.6222315624580077,0.3661174792883762,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,RN,,96,96,0.6607063403596816,0.3827689293395526,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,RN,,96,336,0.6191658141103293,0.3623932533214005,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,NR,,96,96,0.66795106619036,0.38689793484742,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,NR,,96,336,0.6301505165133358,0.3676649068058989,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,RR,,96,96,0.6664588797561981,0.3847699726518303,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,traffic,RR,,96,336,0.6282621237131671,0.3653198087451033,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,NN,,96,96,0.5738931798999866,0.4134418010145401,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,NN,,96,336,1.055237778449016,0.5982329396752418,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,RN,,96,96,0.4699913205448044,0.3693541812274784,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,RN,,96,336,0.846040886392218,0.5337201015536255,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,NR,,96,96,0.5689352634936843,0.4105600663528392,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,NR,,96,336,1.0100610645972967,0.5840068146349557,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,RR,,96,96,0.466489742263951,0.3665086968822096,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,weather,RR,,96,336,0.8105464841605284,0.5210320892365637,results/revin_ols/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NN,,336,96,0.3713105402887792,0.3929001535451106,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NN,,336,336,0.4374602488995869,0.4342796764697145,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NR,,336,96,0.3526338539886132,0.3844986414078262,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,NR,,336,336,0.4105882710509581,0.4157986696530007,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RN,,336,96,0.3714071363991281,0.393897471538586,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RN,,336,336,0.4273271600846958,0.4257955706789066,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RR,,336,96,0.3529612909367123,0.3887947022936094,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh1,RR,,336,336,0.417354789257698,0.4245338510294176,results/long_input/revin_ols_results.csv
