block_definition,metric,subgroup,family,case,n_blocks,median,mean,mean_rank,wins_best_count,wins_best_rate
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,RN,38,0.40983594954013824,0.42602705681010294,3.210526315789474,2,0.05263157894736842
model+dataset+seq_len+pred_len+lr,mae,model=iTransformer,deep_ltsf,RR,38,0.39617665112018585,0.3966741867755589,1.763157894736842,19,0.5
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,NN,80,0.37377065287938704,0.5000438958992,2.65,19,0.2375
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,NR,80,0.3830951977054058,0.5185099520565809,2.5375,16,0.2
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,RN,80,0.37783074901025954,0.47188430767395284,2.525,16,0.2
model+dataset+seq_len+pred_len,mse,ALL,shallow_ltsf,RR,80,0.3820321039028364,0.4837928361937413,2.2875,29,0.3625
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,NN,16,0.6887624467183673,0.7923886411167126,2.25,5,0.3125
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,NR,16,0.7015212642944724,0.8204626223122478,3.0,0,0.0
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,RN,16,0.7210911499434044,0.7664527450300669,2.6875,4,0.25
model+dataset+seq_len+pred_len,mse,model=KNN,shallow_ltsf,RR,16,0.7190071258561905,0.7825555774242916,2.0625,7,0.4375
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,NN,16,0.31036604781575494,0.2994935792341871,2.9375,4,0.25
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,NR,16,0.3077487505452814,0.3111137910817257,1.8125,6,0.375
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,RN,16,0.3180387220209986,0.304911704971826,3.0625,0,0.0
model+dataset+seq_len+pred_len,mse,model=OLS,shallow_ltsf,RR,16,0.30883971344038097,0.3196863598763573,2.1875,6,0.375
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,NN,32,0.3799542917107819,0.527914411379161,2.9375,3,0.09375
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,NR,32,0.38141743930669125,0.5456975966339186,2.625,9,0.28125
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,RN,32,0.3773815723549681,0.46520920807598487,2.28125,9,0.28125
model+dataset+seq_len+pred_len,mse,model=RevIN-OLS,shallow_ltsf,RR,32,0.3671612889492461,0.46933986178437825,2.15625,11,0.34375
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,NN,16,0.34252716827482327,0.35250843638677826,2.1875,7,0.4375
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,NR,16,0.36337530394716444,0.36957815362109414,2.625,1,0.0625
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,RN,16,0.34380575165869587,0.35763867221590134,2.3125,3,0.1875
model+dataset+seq_len+pred_len,mse,model=Ridge,shallow_ltsf,RR,16,0.3631935955295936,0.37804252009930134,2.875,5,0.3125
