dataset,architecture,capacity,condition,seed,run_id,status,duration_seconds,epochs_completed,best_val_mse,parameter_count,train_pairs,val_pairs,test_pairs,target_train_mean,target_train_std,mse,mae,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor,n_pairs
ETTh2,mlp,32,info0,1,ETTh2__mlp32__info0__seed1,completed,10.439157724380493,18,0.4384539723396301,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.4465123414993286,0.5096467137336731,0.2203625738620758,0.6726621389389038,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info0,2,ETTh2__mlp32__info0__seed2,completed,10.83122205734253,18,0.4410839080810547,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.4188692569732666,0.4881764054298401,0.19364358484745026,0.6440949440002441,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info100,0,ETTh2__mlp32__info100__seed0,completed,12.696030139923096,18,0.24282707273960114,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.22502775490283966,0.37389156222343445,0.19297832250595093,0.2570772171020508,0.08996979892253876,0.35129430890083313,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info100,1,ETTh2__mlp32__info100__seed1,completed,12.800660371780396,18,0.24917307496070862,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.21949414908885956,0.37128889560699463,0.17567402124404907,0.26331424713134766,0.089879110455513,0.3152742087841034,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info100,2,ETTh2__mlp32__info100__seed2,completed,12.98435091972351,18,0.2514376938343048,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.24453067779541016,0.3888353109359741,0.20263701677322388,0.2864243984222412,0.10271140933036804,0.30972111225128174,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info50,0,ETTh2__mlp32__info50__seed0,completed,12.012310981750488,18,0.3428035378456116,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.3559323251247406,0.4573283791542053,0.2223956286907196,0.4894689917564392,0.26850107312202454,0.16639454662799835,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info50,1,ETTh2__mlp32__info50__seed1,completed,11.572220802307129,18,0.3504085838794708,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.39268407225608826,0.48374584317207336,0.24852506816387177,0.5368430614471436,0.27421486377716064,0.1381630003452301,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,32,info50,2,ETTh2__mlp32__info50__seed2,completed,12.229252338409424,18,0.35215094685554504,5584,8449,2000,2785,26.87202262878418,11.584718704223633,0.3620545566082001,0.46313565969467163,0.22228121757507324,0.5018278360366821,0.2778644263744354,0.14051511883735657,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info0,0,ETTh2__mlp512__info0__seed0,completed,4.475620269775391,7,0.4290389120578766,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.3790349066257477,0.45866790413856506,0.1562386453151703,0.6018311381340027,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info0,1,ETTh2__mlp512__info0__seed1,completed,4.352488040924072,7,0.42366161942481995,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.47113966941833496,0.5220634341239929,0.24324588477611542,0.6990334987640381,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info0,2,ETTh2__mlp512__info0__seed2,completed,3.002105474472046,5,0.42842066287994385,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.5179808139801025,0.5574359893798828,0.2888152003288269,0.7471463680267334,0.4379199147224426,0.0,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info100,0,ETTh2__mlp512__info100__seed0,completed,7.717084169387817,11,0.23380407691001892,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.1760798543691635,0.32752159237861633,0.15305154025554657,0.19910815358161926,0.06440267711877823,0.48576292395591736,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info100,1,ETTh2__mlp512__info100__seed1,completed,7.469053268432617,10,0.24583302438259125,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.1820736825466156,0.3343496322631836,0.1542864292860031,0.2098609358072281,0.05889786407351494,0.4287313222885132,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info100,2,ETTh2__mlp512__info100__seed2,completed,7.247077941894531,10,0.22700630128383636,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.19388137757778168,0.34627631306648254,0.16921918094158173,0.21854354441165924,0.05703827366232872,0.34970471262931824,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info50,0,ETTh2__mlp512__info50__seed0,completed,6.6886420249938965,10,0.331743985414505,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.4147968888282776,0.4865439236164093,0.2882215082645416,0.5413722395896912,0.2538818120956421,0.16602443158626556,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info50,1,ETTh2__mlp512__info50__seed1,completed,8.91955280303955,13,0.3399229049682617,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.32109761238098145,0.42818138003349304,0.18684829771518707,0.4553469717502594,0.2585503160953522,0.11575283110141754,0.4379199147224426,0.10947997868061066,2785
ETTh2,mlp,512,info50,2,ETTh2__mlp512__info50__seed2,completed,5.487446546554565,8,0.33711087703704834,210784,8449,2000,2785,26.87202262878418,11.584718704223633,0.2792011499404907,0.39642468094825745,0.1428830921649933,0.41551923751831055,0.2655244469642639,0.1395747810602188,0.4379199147224426,0.10947997868061066,2785
ETTm1,gru,64,info0,0,ETTm1__gru64__info0__seed0,completed,12.498671054840088,18,0.2858152389526367,23776,12000,2000,4000,17.124948501586914,9.173035621643066,0.2827971875667572,0.3546163737773895,0.05698699504137039,0.5086075067520142,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,gru,64,info0,1,ETTm1__gru64__info0__seed1,completed,12.939984798431396,18,0.2852115035057068,23776,12000,2000,4000,17.124948501586914,9.173035621643066,0.2948056757450104,0.370790034532547,0.06903314590454102,0.5205782651901245,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,gru,64,info0,2,ETTm1__gru64__info0__seed2,completed,13.291774988174438,18,0.28539133071899414,23776,12000,2000,4000,17.124948501586914,9.173035621643066,0.2821255326271057,0.3532181680202484,0.0563107393682003,0.5079402923583984,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,gru,64,info100,0,ETTm1__gru64__info100__seed0,completed,15.482842922210693,18,0.08409588783979416,23776,12000,2000,4000,17.124948501586914,9.173035621643066,0.08180423825979233,0.21447303891181946,0.05742383375763893,0.10618463158607483,0.051311906427145004,0.4001540243625641,0.4473574757575989,0.11183936893939972,4000
