model,dataset,seq_len,pred_len,selected_for_reversal,NN,NR,RN,RR,RN_over_NN,NR_over_NN,RR_over_NN,RN_over_NR,interaction,channel_group
GRU,ETTm2,336,336,False,0.3196827059146017,0.34285596106201405,0.3228373236488551,0.3628201326355338,1.009867964941138,1.0724882976735148,1.1349382557230219,0.9416121062875786,1.0478885074125333,unselected
GRU,ETTm2,336,336,True,0.3285301129023234,0.34486816823482513,0.3473730484644572,0.37871486445267993,1.0573552767984349,1.0497307695424536,1.152755408346014,1.0072632978637983,1.038576051762762,selected
GRU,electricity,96,96,False,0.24460734290458397,0.4085831504245723,0.4321104917467011,0.9060339873992138,1.766547506773981,1.6703633896385184,3.704034296928846,1.0575827497969037,1.2552745256600852,unselected
GRU,electricity,96,96,True,0.2599453724085606,1.9807429682893058,0.7976614462102845,1.3027535463390194,3.0685733653168725,7.61984316141677,5.0116435398259735,0.4027082054463609,0.2143372380587544,selected
GRU,electricity,96,336,False,0.8313233910695367,0.8503902408277025,0.879129901713466,0.8997765749878024,1.0575065145014433,1.0229355386399455,1.0823424249258733,1.0337958498415865,1.000537483696698,unselected
GRU,electricity,96,336,True,0.8480173276113285,0.8831576229059628,0.9048557890347617,0.9419188327448212,1.0670251179696224,1.0414381807428588,1.1107306443819867,1.0245688488283697,0.9995410055766472,selected
GRU,electricity,336,96,False,0.23984931268214435,0.5007243739522022,0.35523725055759736,0.9362264900288967,1.4810851304309078,2.0876623257860962,3.9033945086580784,0.7094466917072972,1.262415072342104,unselected
GRU,electricity,336,96,True,0.25663900488540314,1.7774123772035266,0.8661426087683111,1.0699195310054648,3.3749453211723184,6.925729695675813,4.168966956068176,0.48730537711853206,0.1783594704832985,selected
GRU,electricity,336,336,False,0.8210144866697536,0.840146462554517,0.8475649948260799,1.2680837922955153,1.0323386597769084,1.0233028481170503,1.5445327858211004,1.0088300464290554,1.4620787234951707,unselected
GRU,electricity,336,336,True,0.8409624437858506,0.8820650869305744,0.8684722918351401,0.9634365658221441,1.0327123384077004,1.0488757178735446,1.1456356617840608,0.9845898048830674,1.0576528083477938,selected
GRU,exchange_rate,96,96,False,0.09986296622082587,0.10204555001109834,0.08332111453637478,0.08463741838932032,0.8343544928570189,1.0218557877145984,0.8475355939474353,0.8165090445130913,0.9940717416616791,unselected
GRU,exchange_rate,96,96,True,0.138583168387413,0.14837278611958024,0.12735156714916224,0.1405264567583799,0.9189540737959424,1.07064074119593,1.0140225425178215,0.8583215998014887,1.0306472216006495,selected
GRU,exchange_rate,96,336,False,0.2924412274733186,0.32063615042716265,0.28433644678443665,0.28329681046307087,0.9722857794063205,1.096412271270529,0.9687307528789455,0.886788487217158,0.9087308364025699,unselected
GRU,exchange_rate,96,336,True,0.46857551485300064,0.38914869725704193,0.3807311058044433,0.4117692932486534,0.8125288106952931,0.8304930260368467,0.8787682672190666,0.9783692159014511,1.3022657148343328,selected
GRU,exchange_rate,336,96,False,0.13991558179259297,0.14708648901432747,0.15807362832129,0.15330349374562496,1.1297785871741863,1.0512516699702859,1.0956856397372372,1.0746984946108291,0.9225415425510746,unselected
GRU,exchange_rate,336,96,True,0.19140177406370634,0.2903429940342903,0.17891883291304106,0.19906307011842722,0.9347814762338073,1.5169294822609758,1.0400272990791135,0.6162326510000453,0.733447865626112,selected
GRU,exchange_rate,336,336,False,0.3958359216339886,0.40503785386681557,0.3818412274122238,0.35654815286397934,0.9646452141988643,1.0232468346855481,0.9007473384228709,0.9427297319666836,0.912546415724174,unselected
GRU,exchange_rate,336,336,True,0.4577928520739078,0.5466693490743637,0.45860613882541656,0.5527139343321323,1.001776538772557,1.1941412946878152,1.2073450509945929,0.8389095521853231,1.0092641170632157,selected
GRU,illness,96,96,False,2.6019924879074097,2.701717972755432,2.7868685722351074,3.054217129945755,1.071051736385442,1.0383265844584448,1.1737993649635923,1.0315172051036963,1.0554786359260788,unselected
GRU,illness,96,96,True,5.254116415977478,3.6256123781204224,6.668467124303182,4.7613998254140215,1.269189069359929,0.6900517786578034,0.9062227496396668,1.8392664269753585,1.0347298018114244,selected
GRU,illness,336,96,False,3.1891198456287384,3.2166066765785217,3.2431235313415527,3.222192645072937,1.0169337272748893,1.008618939481832,1.0103705100608027,1.0082437355353737,0.9850559343606655,unselected
GRU,illness,336,96,True,6.069765011469523,1.8096086184183757,8.281081438064575,0.9075998067855835,1.3643166452764668,0.29813487260197236,0.14952799738878994,4.5761726341148625,0.36761613191033554,selected
GRU,weather,96,96,False,0.1116777186345478,0.1482907189003361,0.13959968369454143,0.12470991285094479,1.2500227028398117,1.3278451665510829,1.1166946672598437,0.9413919140034935,0.6727738528831677,unselected
GRU,weather,96,96,True,0.22708654395537448,0.2715170497074723,0.2695197610533796,0.23213928872719403,1.1868592315462947,1.195654506771784,1.0222503045922988,0.9926439659820827,0.7203645480000579,selected
