model,seasonal_pattern,smape_RN_vs_NN,smape_NR_vs_NN,smape_RR_vs_NN,smape_RN_vs_NR,smape_train_main,smape_test_main,smape_interaction,smape_abs_log_interaction,mase_RN_vs_NN,mase_NR_vs_NN,mase_RR_vs_NN,mase_RN_vs_NR,mase_train_main,mase_test_main,mase_interaction,mase_abs_log_interaction,owa_naive2_RN_vs_NN,owa_naive2_NR_vs_NN,owa_naive2_RR_vs_NN,owa_naive2_RN_vs_NR,owa_naive2_train_main,owa_naive2_test_main,owa_naive2_interaction,owa_naive2_abs_log_interaction
GRU,Weekly,6.862797179867131,1.0,6.863544586343993,6.862797179867131,6.863170872931394,1.0000544520046957,1.000108906974412,0.00010890104447801432,16.142586256770183,1.0,16.144973093703154,16.142586256770183,16.143779631125327,1.000073927085546,1.0001478596363063,0.0001478487061476398,12.17396227019232,1.0,12.175647983104202,12.17396227019232,12.174805097472968,1.0000692319609625,1.0001384687149892,0.00013845912908161046
GRU,Yearly,7.855257586944359,1.0085296338610126,7.855257586944359,7.788821788876565,7.821969154275039,1.0042557611789005,0.9915425054707039,0.008493462076620186,6.8210895962522455,0.9931738949024677,6.8210895962522455,6.867971088710597,6.844490203117035,0.996581103022964,1.0068730210616366,0.0068495095211110425,7.357607568306101,1.001140327822049,7.357607568306101,7.349227040241559,7.353416110385781,1.0005700014601921,0.9988609710443593,0.0011396781421298505
PatchTST,Daily,16.897861365453252,1.0,16.897861365453252,16.897861365453252,16.897861365453252,1.0,1.0,0.0,16.701699529408767,1.0,16.701699529408767,16.701699529408767,16.701699529408767,1.0,1.0,0.0,16.799624641644318,1.0,16.799624641644318,16.799624641644318,16.799624641644318,1.0,1.0,0.0
PatchTST,Hourly,1.7772985655868214,1.4410090601613665,1.7731626643110538,1.2333708473614986,1.478839794498071,1.1990228224233566,0.6923432723889417,0.367673387995222,3.0126128607066955,1.901324870806401,3.209071636782918,1.5844808569873534,2.2549307255841824,1.4231353541699368,0.5602472805772104,0.5793770202580656,2.560954917208236,1.7330233355476454,2.6840718888485724,1.4777382766164309,1.9915711805862468,1.3477157708510714,0.6047666023945357,0.50291267655005
PatchTST,Monthly,4.74675427611994,1.0029584328326304,4.74675427611994,4.732752745010379,4.739748340386481,1.0014781239910489,0.9970502936754069,0.0029540652821672853,7.464496089196425,1.0032381254351437,7.464496089196425,7.440403130571598,7.4524398736384665,1.0016177541533215,0.9967723261775572,0.0032328939973025237,6.112779620570485,1.0030990154228714,6.112779620570485,6.093894547382794,6.103329779648741,1.0015483090809307,0.996910558803046,0.003094223372448661
PatchTST,Quarterly,7.9886111990752235,1.0,7.9886111990752235,7.9886111990752235,7.9886111990752235,1.0,1.0,0.0,9.198029017104592,1.0,9.198029017104592,9.198029017104592,9.198029017104592,1.0,1.0,0.0,8.577281523549189,1.0,8.577281523549189,8.577281523549189,8.577281523549189,1.0,1.0,0.0
PatchTST,Weekly,6.873918827035497,1.0,6.873918827035497,6.873918827035497,6.873918827035497,1.0,1.0,0.0,20.04954379868466,1.0,20.04954379868466,20.04954379868466,20.04954379868466,1.0,1.0,0.0,13.70939786870886,1.0,13.70939786870886,13.70939786870886,13.70939786870886,1.0,1.0,0.0
PatchTST,Yearly,4.106286687457318,1.0,4.106286687457318,4.106286687457318,4.106286687457318,1.0,1.0,0.0,3.595047473952124,1.0,3.595047473952124,3.595047473952124,3.595047473952124,1.0,1.0,0.0,3.8544320646070345,1.0,3.8544320646070345,3.8544320646070345,3.8544320646070345,1.0,1.0,0.0
TimeFilter,Daily,13.19658745063333,1.0,13.19658745063333,13.19658745063333,13.19658745063333,1.0,1.0,0.0,13.009790226973866,1.0,13.009790226973866,13.009790226973866,13.009790226973866,1.0,1.0,0.0,13.102579016214403,1.0,13.102579016214403,13.102579016214403,13.102579016214403,1.0,1.0,0.0
TimeFilter,Hourly,1.1994822050752147,1.0,1.199497229699691,1.1994822050752147,1.1994897173639285,1.0000062629430282,1.0000125259252808,1.2525846832034916e-05,1.520076032844753,1.0,1.525829790646829,1.520076032844753,1.5229501945115513,1.0018908012525003,1.003785177634377,0.0037780318758156117,1.4236644633373117,1.0,1.4276924228715726,1.4236644633373117,1.4256770205829241,1.0014136457693794,1.0028292899331201,0.002825295025750869
TimeFilter,Monthly,4.6338888244233765,1.0003181130234753,4.6338888244233765,4.632415192820396,4.633151950033529,1.0001590438642622,0.999681988140239,0.00031806243625536677,6.964657817539478,1.00111359334467,6.964657817539478,6.956910648142242,6.960783155041357,1.0005566417473175,0.9988876453660472,0.0011129737595359914,5.82596526316773,1.0007249630164097,5.82596526316773,5.821744713559421,5.823854606034353,1.000362415835586,0.9992755621742216,0.0007247003576597403
TimeFilter,Quarterly,7.108685978914868,1.0,7.108685978914868,7.108685978914868,7.108685978914868,1.0,1.0,0.0,7.750622224414488,1.0,7.750622224414488,7.750622224414488,7.750622224414488,1.0,1.0,0.0,7.429255345874717,1.0,7.429255345874717,7.429255345874717,7.429255345874717,1.0,1.0,0.0
TimeFilter,Weekly,6.206509955345807,1.0,6.206509955345807,6.206509955345807,6.206509955345807,1.0,1.0,0.0,14.802268968170454,1.0,14.802268968170454,14.802268968170454,14.802268968170454,1.0,1.0,0.0,11.087330806195633,1.0,11.087330806195633,11.087330806195633,11.087330806195633,1.0,1.0,0.0
TimeFilter,Yearly,7.33244470093574,1.0,7.33244470093574,7.33244470093574,7.33244470093574,1.0,1.0,0.0,6.36772572510208,1.0,6.36772572510208,6.36772572510208,6.36772572510208,1.0,1.0,0.0,6.869737212713856,1.0,6.869737212713856,6.869737212713856,6.869737212713856,1.0,1.0,0.0
TimeMixer,Daily,16.2642303145304,1.0000508820976033,16.2642303145304,16.26340279848185,16.26381655124304,1.0000254407251863,0.9999491204912528,5.088080315327038e-05,15.974189449569545,1.0010460764255875,15.974189449569545,15.957496688472343,15.965840887423871,1.0005229014998045,0.9989550167068008,0.001045529668909599,16.118618075828433,1.000550509879574,16.118618075828433,16.109749499571457,16.114183177588014,1.0002752170675697,0.999449793014807,0.0005503584046002044
TimeMixer,Hourly,1.7351102060425307,1.076816347626719,1.7351102214043626,1.6113334552049454,1.6720768966219555,1.0376976231833304,0.9286634727059064,0.07400885261371117,3.3185613283252713,1.233040503275572,3.318561328758547,2.6913644113956625,2.9885544762066245,1.1104235693808733,0.8110033672649529,0.20948307288403298,2.7210190269854495,1.174086652299288,2.72101903305227,2.317562355092536,2.51120116249022,1.0835527928610804,0.8517258928642534,0.16049052590675641
TimeMixer,Monthly,4.8326299938035815,1.019390739596336,4.8326299938035815,4.740704232527395,4.786446434032609,1.009648819935098,0.9809781089398415,0.019205134711791444,7.5899167024095835,1.0305500840143862,7.5899167024095835,7.36491784353067,7.4765709354280725,1.0151601272776558,0.9703555562332478,0.030092721830999175,6.217372979601129,1.0249950983526317,6.217372979601129,6.065758743230741,6.141097989036009,1.0124204158118462,0.975614421578402,0.024687830483943796
TimeMixer,Quarterly,7.967850059417389,1.0056192787464848,7.967850059417389,7.92332667821305,7.945557182714326,1.002805703387493,0.994412121102641,0.005603549496851173,9.115161735136112,1.0163535333305216,9.115161735136112,8.96849515076348,9.04153105508094,1.0081436074937546,0.9839096015370438,0.016221254506702414,8.527282614609259,1.010853332924715,8.527282614609259,8.435726862508494,8.481381197438363,1.005412021474139,0.9892631971709359,0.01079485822339365
TimeMixer,Weekly,6.113676097589282,1.0,6.113676097589282,6.113676097589282,6.113676097589282,1.0,1.0,0.0,15.797097314527203,1.0,15.797097314527203,15.797097314527203,15.797097314527203,1.0,1.0,0.0,11.423825121958338,1.0,11.423825121958338,11.423825121958338,11.423825121958338,1.0,1.0,0.0
TimeMixer,Yearly,8.00998006881076,1.0000980596156754,8.00998006881076,8.009194690257562,8.009587369907893,1.0000490286059356,0.9999019499990699,9.805480814568094e-05,6.97742285485212,1.000984435204762,6.97742285485212,6.970560789414087,6.973990978141131,1.0004920965228872,0.9990165329548197,0.0009839509662010093,7.514480420269134,1.0005234101792384,7.514480420269134,7.510549322302168,7.512514614155853,1.0002616708538012,0.9994768636356598,0.0005232732479093154
TimesNet,Daily,11.647735133381913,0.9999999958048696,11.6477351157649,11.647735182245679,11.647735149005289,0.9999999971461928,1.0000000026826465,2.6826465457473948e-09,11.189236073964675,0.999999990918464,11.189236072063917,11.189236175580126,11.18923612382202,0.9999999953742951,1.0000000089116623,8.911662257286498e-09,11.41420541945033,0.9999999933160513,11.414205409838159,11.414205495742294,11.414205452790226,0.9999999962369639,1.0000000058418252,5.841825228703579e-09
TimesNet,Hourly,1.1841620761715494,1.0000000257576718,1.1841620732038896,1.184162045670292,1.1841620594370907,1.0000000116257726,0.9999999717362025,2.8263797924051396e-08,1.466171490147878,1.0000000343930948,1.4661714825329595,1.4661714397217047,1.466171461127332,1.0000000145996757,0.9999999604131634,3.958683737011699e-08,1.3830191795372417,1.000000031846884,1.3830191732925976,1.3830191354923915,1.3830191543924943,1.000000013665829,0.9999999636378911,3.63621095405745e-08
TimesNet,Monthly,4.564128243536165,0.9999870193014943,4.5643185287524926,4.564187489877894,4.564253008844931,1.000014355012186,1.0000546728783264,5.4671383819049635e-05,6.868399984842171,0.9999579444507984,6.868574477767092,6.868688851324107,6.868631664307538,0.9999916742455791,1.0000674635645252,6.746128896132501e-05,5.743207330262937,0.9999721419119093,5.74338953467864,5.74336732949594,5.743378432076558,1.0000019331134475,1.0000595849505398,5.9583175427162504e-05
TimesNet,Quarterly,6.80353856657245,1.0000254141132618,6.803538343722525,6.803365665066876,6.803452003846855,1.0000126905981876,0.9999745537784284,2.5446545332222925e-05,7.534096010639893,1.000025269552089,7.534095939999853,7.533905632219087,7.534000785508576,1.0000126300081438,0.9999747217106347,2.5278608866612362e-05,7.166738188181524,1.0000253422440837,7.166738041003366,7.166556571555649,7.1666473057051245,1.000012660773493,0.9999746378623674,2.536245925705147e-05
TimesNet,Weekly,6.706362198202412,1.0000000046782278,6.706362194668973,6.706362166828522,6.706362180748748,1.0000000020756745,0.9999999947948938,5.2051062484644435e-09,15.779419175786899,1.000000002258833,15.779419174678925,15.779419140143828,15.779419157411375,1.0000000010943082,0.9999999976709506,2.329049400499011e-09,11.901376367768897,1.0000000032929404,11.90137636562422,11.901376328578376,11.901376347101298,1.000000001556368,0.9999999965268556,3.473144444746192e-09
TimesNet,Yearly,6.757541052688231,1.0000005590291332,6.757541051264895,6.757537275028025,6.757539163146196,1.0000002794092129,0.9999994407605499,5.592396064564004e-07,5.887606416187423,1.0000008079935145,5.887606412968634,5.887601659043466,5.88760403600557,1.0000004037233226,0.9999991914604327,8.085398941668306e-07,6.336082302409406,1.0000006796453413,6.336082300116224,6.336077996123515,6.336080148119503,1.0000003396416506,0.9999993199931966,6.80007034626571e-07
iTransformer,Daily,14.128619694050354,1.0,14.128619694050354,14.128619694050354,14.128619694050354,1.0,1.0,0.0,13.822846026643484,1.0,13.822846026643484,13.822846026643484,13.822846026643484,1.0,1.0,0.0,13.974297783419978,1.0,13.974297783419978,13.974297783419978,13.974297783419978,1.0,1.0,0.0
iTransformer,Hourly,1.1947237268554851,1.0044629834870822,1.1960488720175941,1.1894153856301362,1.1927275172239868,1.0027846718933233,0.9966610825605215,0.0033445040632956763,1.4981157968493204,1.0074778286949337,1.506489123117807,1.4869962932980363,1.4967109747609886,1.0065330905710639,0.9981254273905829,0.001876331819506283,1.4067090135188798,1.0065695079774724,1.4129588447227874,1.3975279425515468,1.4052222127391267,1.0055056288703124,0.9978872459916527,0.0021149890216743297
iTransformer,Monthly,4.648266661284275,1.0018051461829103,4.648266661284275,4.639890979792981,4.64407693232631,1.0009021661395834,0.9981981064982663,0.001803518864610115,7.071293542226237,1.003693733990388,7.071293542226237,7.0452701882603925,7.058269871964711,1.001845164678848,0.9963198594697779,0.0036869289072886642,5.8794944228272925,1.002764806084733,5.8794944228272925,5.86328358070684,5.871383407019227,1.001381448841915,0.9972428169916254,0.0027609910386803527
iTransformer,Quarterly,7.696162617021836,1.0003506076270055,7.696162617021836,7.693465229434295,7.694813805033202,1.0001752884504822,0.9996495152556191,0.00035054617851385547,8.73129254938772,1.0008788320683892,8.73129254938772,8.72362594715273,8.727458406433113,1.0004393195333685,0.9991219395992489,0.0008784461215921232,8.203077727571198,1.0006092852506803,8.203077727571198,8.198082756663707,8.200579861813038,1.0003045962359067,0.9993910857517901,0.0006090997117821234
iTransformer,Weekly,6.726434273471313,1.0,6.726477681493016,6.726434273471313,6.726455977447149,1.0000032266688341,1.0000064533480797,6.45332725693242e-06,16.549129336842736,1.0,16.550341186159653,16.549129336842736,16.549735250409032,1.0000366130177583,1.0000732273760298,7.322469503635242e-05,12.234675533582704,1.0,12.235374164688377,12.234675533582704,12.235024844148981,1.0000285508647384,1.0000571025446285,5.7100914340300615e-05
iTransformer,Yearly,7.871094927218573,1.0238937916992281,7.871094927218573,7.6874134710358035,7.778712051188271,1.0118763717466814,0.9766637986352329,0.023612802194401507,6.863518992207947,1.025298226200738,6.863518992207947,6.694168405655833,6.778314834031922,1.0125701092767543,0.9753259826709338,0.024983522662896534,7.389517152562698,1.0245650507263504,7.389517152562698,7.212345519031718,7.300393888215457,1.0122080076379314,0.9760239228256563,0.024268181777575497
