model,case,seasonal_pattern,frequency,horizon,series_count,lr_tag,target_mode,mse,mae,smape,mase,owa_naive2,owa_context,naive2_smape,naive2_mase,context_naive_smape,context_naive_mase
DLinear,RN,Weekly,1,13,359,0p005,corrected_target_order,40377785.693192996,3811.0580899586034,80.82159716389491,77.1416327461043,18.29894716123447,0.9761791592120386,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
DLinear,RN,Daily,1,14,4227,0p005,corrected_target_order,30951320.324762616,3256.7906940741086,52.73163392373755,56.692381560182184,17.304293872383113,0.9776982223402793,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
DLinear,RN,Hourly,24,48,414,0p005,corrected_target_order,121774304.56346403,1680.4410379845342,41.741843996426546,18.086478542802194,4.911165433207951,0.9293458527069658,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
DLinear,RR,Yearly,1,6,23000,0p005,corrected_target_order,43803044.57967125,4692.74222254691,113.6803803076619,22.36316033430986,6.2915580951858185,1.0809236250717476,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
DLinear,RR,Quarterly,4,8,24000,0p005,corrected_target_order,31205084.85294232,3742.2669106598987,84.0018206323614,11.541248989735527,7.27997546135947,1.0527769313507975,11.96423231426962,1.5308986751077838,79.51958255994295,11.000178859604093
DLinear,RR,Monthly,12,18,48000,0p005,corrected_target_order,19084751.988089804,2744.845168009327,63.28744115107172,7.407167914951894,4.953201112702585,1.0293115898668113,15.550790003469528,1.2690727646806907,61.642684180483265,7.177898179217246
DLinear,RR,Weekly,1,13,359,0p005,corrected_target_order,40368824.72044307,3809.042122088879,80.78188114926273,77.14351483519722,18.297118395964908,0.9759549807866575,9.161286913982,2.777294993197484,84.04982421357096,77.86053376970602
DLinear,RR,Daily,1,14,4227,0p005,corrected_target_order,30951128.42572678,3256.4948209671143,52.724831474503816,56.68975106449025,17.302775795072957,0.9776126079166503,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
DLinear,RR,Hourly,24,48,414,0p005,corrected_target_order,87286845.35924044,1420.3472080211181,34.9170890279301,14.123009188354823,0.8440963495578716,0.987032492151042,42.743468896500396,16.209237115149428,36.839002452974555,13.761956020447949
GRU,NN,Yearly,1,6,23000,0p001,corrected_target_order,3591120.8661647835,851.7534346778424,13.718836340578596,3.0946706855429857,0.8090666131531528,0.8090666131513509,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
GRU,NN,Quarterly,4,8,24000,0p001,corrected_target_order,2177928.7567408704,613.5073905922187,10.879916929285733,1.3035886812798387,0.9693048130318542,0.8412541627707668,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
GRU,NN,Monthly,12,18,48000,0p001,corrected_target_order,2002629.4465134775,594.5921963744394,13.825965997003713,1.0850214427047633,0.9893611486960958,0.8630388913995355,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
GRU,NN,Weekly,1,13,359,0p001,corrected_target_order,735475.873442677,471.32906601345616,11.777950042897306,4.778428396692854,1.5030775207686797,1.5030775207686797,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
GRU,NN,Daily,1,14,4227,0p001,corrected_target_order,452549.22958890157,192.43520415775862,3.238607029348823,3.5001564486337036,1.0655638839524515,1.065563883953311,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
GRU,NN,Hourly,24,48,414,0p001,corrected_target_order,44853727.75739706,1143.8253513302889,33.544772269394116,10.576467834091716,3.12038571898454,5.637520240498533,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
GRU,NR,Yearly,1,6,23000,0p001,corrected_target_order,3925289.5882743243,973.5791304294853,15.601098841607577,3.732430511029906,0.9468899991806304,0.9468899991785144,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
GRU,NR,Quarterly,4,8,24000,0p001,corrected_target_order,2098587.934303298,631.8144274576148,11.224153539538891,1.3979135203453974,0.9256375074584786,0.8122875339746398,11.96423231426962,1.5308986751077838,13.50497592468908,1.7617887436505335
GRU,NR,Monthly,12,18,48000,0p001,corrected_target_order,2044669.86302852,608.0701437222948,14.075818997678798,1.1251882022669566,0.8958868344839617,0.7757336204781866,15.550790003469528,1.2690727646806907,17.662953110153197,1.4911939068277227
GRU,NR,Weekly,1,13,359,0p001,corrected_target_order,735606.6659739845,473.3733712926506,11.864864603658486,4.79123865174266,1.5101273456534685,1.5101273456534685,9.161286913982,2.777294993197484,9.161286913982,2.777294993197484
GRU,NR,Daily,1,14,4227,0p001,corrected_target_order,440537.7774266796,191.8799934426576,3.2249823334953898,3.4919523607973377,1.0620756204162323,1.062075620417085,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
GRU,NR,Hourly,24,48,414,0p001,corrected_target_order,44508567.95926918,1138.5613767611462,33.509110000550834,10.559737257740789,0.7177113862656482,0.7423883829576896,42.743468896500396,16.209237115149428,41.95339841711752,15.391978324543457
GRU,RN,Yearly,1,6,23000,0p001,corrected_target_order,42450594.0884523,4529.735424830892,107.764993248378,21.109026016984064,5.952794636199421,1.0225054207776911,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
GRU,RN,Quarterly,4,8,24000,0p001,corrected_target_order,30595449.027356338,3676.4440005666565,82.2710825555926,11.202163825491011,7.819925560664007,1.0265304398051454,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
GRU,RN,Monthly,12,18,48000,0p001,corrected_target_order,18429725.803284794,2679.545134301236,62.471942465065624,7.317414538532863,5.605836830017735,1.0139234270191726,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
GRU,RN,Weekly,1,13,359,0p001,corrected_target_order,40362214.1022364,3808.008380181444,80.82968233901158,77.13619256541445,18.29840902701212,0.9761923213069132,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
