model,case,dataset,seq_len,pred_len,features,mse,mae
RevIN-OLS,NN,traffic,96,720,M,0.6624479812428113,0.3895436904417834
RevIN-OLS,RN,traffic,96,96,M,0.6607063403596816,0.3827689293395526
RevIN-OLS,RN,traffic,96,192,M,0.6120241874639759,0.3599198024349429
RevIN-OLS,RN,traffic,96,336,M,0.6191658141103293,0.3623932533214005
RevIN-OLS,RN,traffic,96,720,M,0.6572136825127052,0.3826880626687258
RevIN-OLS,NR,traffic,96,96,M,0.66795106619036,0.38689793484742
RevIN-OLS,NR,traffic,96,192,M,0.6160829406411491,0.3593326976560939
RevIN-OLS,NR,traffic,96,336,M,0.6301505165133358,0.3676649068058989
RevIN-OLS,NR,traffic,96,720,M,0.6877220375199763,0.3977330889104523
RevIN-OLS,RR,traffic,96,96,M,0.6664588797561981,0.3847699726518303
RevIN-OLS,RR,traffic,96,192,M,0.614275442268271,0.3579689703038641
RevIN-OLS,RR,traffic,96,336,M,0.6282621237131671,0.3653198087451033
RevIN-OLS,RR,traffic,96,720,M,0.6830981418711702,0.3920738477589087
RevIN-OLS,NN,weather,96,96,M,0.5738931798999866,0.4134418010145401
RevIN-OLS,NN,weather,96,192,M,0.8135634919385747,0.5106220360908225
RevIN-OLS,NN,weather,96,336,M,1.055237778449016,0.5982329396752418
RevIN-OLS,NN,weather,96,720,M,1.255182331081302,0.6838956195834777
RevIN-OLS,RN,weather,96,96,M,0.4699913205448044,0.3693541812274784
RevIN-OLS,RN,weather,96,192,M,0.63354510928876,0.4450174225954502
RevIN-OLS,RN,weather,96,336,M,0.846040886392218,0.5337201015536255
RevIN-OLS,RN,weather,96,720,M,1.1519426719226886,0.6527990506180118
RevIN-OLS,NR,weather,96,96,M,0.5689352634936843,0.4105600663528392
RevIN-OLS,NR,weather,96,192,M,0.7950940767821306,0.5026082480609766
RevIN-OLS,NR,weather,96,336,M,1.0100610645972967,0.5840068146349557
RevIN-OLS,NR,weather,96,720,M,1.1991169202838827,0.6513729269638612
RevIN-OLS,RR,weather,96,96,M,0.466489742263951,0.3665086968822096
RevIN-OLS,RR,weather,96,192,M,0.6210470809626031,0.4377523552424023
RevIN-OLS,RR,weather,96,336,M,0.8105464841605284,0.5210320892365637
RevIN-OLS,RR,weather,96,720,M,1.0984084866696833,0.6210633199228546
RevIN-OLS,NN,illness,104,24,M,2.0041221562967184,0.8834315353971625
RevIN-OLS,NN,illness,104,36,M,1.8303462060284357,0.8765634410511124
RevIN-OLS,NN,illness,104,48,M,1.7507855288495469,0.8747196265983883
RevIN-OLS,NN,illness,104,60,M,1.66033396369807,0.8712941037188072
RevIN-OLS,RN,illness,104,24,M,2.096033523902503,0.9864895652645296
RevIN-OLS,RN,illness,104,36,M,2.0771716260469573,1.0029133009252162
RevIN-OLS,RN,illness,104,48,M,2.1045839272431692,1.0252667940230418
RevIN-OLS,RN,illness,104,60,M,2.2001713828221336,1.0601838731819857
RevIN-OLS,NR,illness,104,24,M,1.4131043905956808,0.8555414017047708
RevIN-OLS,NR,illness,104,36,M,1.5426222879833806,0.9179386971087002
RevIN-OLS,NR,illness,104,48,M,1.5906611922978726,0.9492497939395426
RevIN-OLS,NR,illness,104,60,M,1.7272783008207475,1.004904036988581
RevIN-OLS,RR,illness,104,24,M,1.0011597340620764,0.6702657479250428
RevIN-OLS,RR,illness,104,36,M,0.9863345599525444,0.6837392034098585
RevIN-OLS,RR,illness,104,48,M,0.93074919923476,0.6788741062184956
RevIN-OLS,RR,illness,104,60,M,0.9389677377635764,0.696809285986876
Ridge,NN,ETTh1,96,96,M,0.3814795908648893,0.392966871042071
Ridge,NN,ETTh1,96,192,M,0.4318266698007352,0.4243393031409109
Ridge,NN,ETTh1,96,336,M,0.4753885140549104,0.4506265230542902
Ridge,NN,ETTh1,96,720,M,0.500000671490576,0.4969454655265487
Ridge,NR,ETTh1,96,96,M,0.3800428850062178,0.3919174312865301
Ridge,NR,ETTh1,96,192,M,0.432687407715604,0.4214215910804293
Ridge,NR,ETTh1,96,336,M,0.4803548442154671,0.4449317960165181
Ridge,NR,ETTh1,96,720,M,0.5035053399863049,0.4727232211326134
Ridge,RN,ETTh1,96,96,M,0.3807551818374263,0.3932841021758434
Ridge,RN,ETTh1,96,192,M,0.4302207730588471,0.4238966313922691
Ridge,RN,ETTh1,96,336,M,0.4714419006677665,0.4479409572649123
Ridge,RN,ETTh1,96,720,M,0.4802372070757105,0.4808893785827403
Ridge,RR,ETTh1,96,96,M,0.3793779262529357,0.3920820496365159
Ridge,RR,ETTh1,96,192,M,0.4303734319023741,0.4208315167794044
Ridge,RR,ETTh1,96,336,M,0.4755601251995671,0.4429131398657677
Ridge,RR,ETTh1,96,720,M,0.4946956786637653,0.4666487456476289
Ridge,NN,ETTh2,96,96,M,0.3405427984420034,0.3933639452513311
Ridge,NN,ETTh2,96,192,M,0.4689827630237609,0.4697772631691346
Ridge,NN,ETTh2,96,336,M,0.5845319265439517,0.5348069687327556
Ridge,NN,ETTh2,96,720,M,0.8104611876874086,0.6480301671752153
Ridge,NR,ETTh2,96,96,M,0.3436257809845998,0.3974297295075832
Ridge,NR,ETTh2,96,192,M,0.4681572054129492,0.4765497549377556
Ridge,NR,ETTh2,96,336,M,0.5780935654554684,0.5437080436888811
Ridge,NR,ETTh2,96,720,M,0.836990402615432,0.6631121793165884
Ridge,RN,ETTh2,96,96,M,0.3428093522438636,0.3949273637690366
Ridge,RN,ETTh2,96,192,M,0.4815501153313603,0.4767322213984907
Ridge,RN,ETTh2,96,336,M,0.6289175300643388,0.5558557660757806
Ridge,RN,ETTh2,96,720,M,0.9396690455520946,0.6972139364117637
Ridge,RR,ETTh2,96,96,M,0.345908452413833,0.3989567311003832
Ridge,RR,ETTh2,96,192,M,0.4804776126798424,0.4832011831898047
Ridge,RR,ETTh2,96,336,M,0.6200279290324398,0.5633535121372075
Ridge,RR,ETTh2,96,720,M,0.9640573718024577,0.7124234299075419
Ridge,NN,ETTm1,96,96,M,0.3445115381076431,0.371400001780884
Ridge,NN,ETTm1,96,192,M,0.380861383047718,0.3897868901394942
Ridge,NN,ETTm1,96,336,M,0.412415205646331,0.4119689243480052
Ridge,NN,ETTm1,96,720,M,0.4710537547096403,0.448344945626686
Ridge,NR,ETTm1,96,96,M,0.346707722888111,0.3720517921652281
Ridge,NR,ETTm1,96,192,M,0.3841791162233408,0.3917483239585906
Ridge,NR,ETTm1,96,336,M,0.4191373127280948,0.413098613975861
Ridge,NR,ETTm1,96,720,M,0.4842606764601675,0.4480618657611751
Ridge,RN,ETTm1,96,96,M,0.3448021510735281,0.3717920257489236
Ridge,RN,ETTm1,96,192,M,0.3809773449563743,0.3900959449378765
Ridge,RN,ETTm1,96,336,M,0.4125263244107937,0.4120759651224684
Ridge,RN,ETTm1,96,720,M,0.4705588444309164,0.4475337944983948
Ridge,RR,ETTm1,96,96,M,0.3470092648062515,0.3724263867000639
Ridge,RR,ETTm1,96,192,M,0.3843458368835274,0.3919947670474716
Ridge,RR,ETTm1,96,336,M,0.419232334448942,0.4130657934458805
Ridge,RR,ETTm1,96,720,M,0.4835124722542859,0.4470203417960572
Ridge,NN,ETTm2,96,96,M,0.1979337819526053,0.2972914062631611
Ridge,NN,ETTm2,96,192,M,0.2882234142676217,0.3639999965338638
Ridge,NN,ETTm2,96,336,M,0.3892002377928844,0.4310135151142842
Ridge,NN,ETTm2,96,720,M,0.5567356033353995,0.5237270354164971
Ridge,NR,ETTm2,96,96,M,0.1985820880034316,0.2975577262101166
Ridge,NR,ETTm2,96,192,M,0.2891654028551195,0.3628348319985343
Ridge,NR,ETTm2,96,336,M,0.3905344749409997,0.4301953419040897
Ridge,NR,ETTm2,96,720,M,0.5646510828507609,0.5309351795104902
Ridge,RN,ETTm2,96,96,M,0.1992051606339043,0.298745806352043
Ridge,RN,ETTm2,96,192,M,0.2904146784613397,0.3658291108730389
Ridge,RN,ETTm2,96,336,M,0.3924259076086446,0.4331443075142893
Ridge,RN,ETTm2,96,720,M,0.5628065794250431,0.5270563356781233
Ridge,RR,ETTm2,96,96,M,0.1998611544169874,0.2989416531177109
Ridge,RR,ETTm2,96,192,M,0.2913614551220997,0.3645717315633722
Ridge,RR,ETTm2,96,336,M,0.393749367446234,0.4322779328029457
Ridge,RR,ETTm2,96,720,M,0.5707065037110256,0.5341517467588529
Ridge,NN,electricity,96,96,M,0.1945653926619688,0.2774011855374746
Ridge,NN,electricity,96,192,M,0.1938402311011897,0.2802755460840604
Ridge,NN,electricity,96,336,M,0.2067783456122248,0.2960530697663719
Ridge,NN,electricity,96,720,M,0.242315884084969,0.3292184119209304
Ridge,NR,electricity,96,96,M,0.1915120754179226,0.2766755635894415
Ridge,NR,electricity,96,192,M,0.1902178336374426,0.2791801261253342
Ridge,NR,electricity,96,336,M,0.2048988971902485,0.2952113209398371
Ridge,NR,electricity,96,720,M,0.2366602237804461,0.3230871737206502
Ridge,RN,electricity,96,96,M,0.194480761593769,0.2772195078122144
Ridge,RN,electricity,96,192,M,0.1937740152602498,0.2802142089704619
Ridge,RN,electricity,96,336,M,0.2065540860443329,0.2958794301901618
Ridge,RN,electricity,96,720,M,0.2419093578242908,0.3290706480588532
Ridge,RR,electricity,96,96,M,0.1915115190196296,0.2765447310509409
