model,dataset,seq_len,pred_len,lr_tag,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction,formal_lr
DLinear,ETTh2,336,336,0p005,0.4631212055683136,0.4260081648826599,0.4975718855857849,0.4568769335746765,1.0743880427051393,0.9198632231920565,0.9865169810439267,1.1679867350026885,1.073423843462686,0.9190377007665376,0.9982059245850385,0.001795686695719942,True
DLinear,ETTm1,96,96,0p005,0.34456783533096313,0.34684062004089355,0.3430735766887665,0.3452014923095703,0.9956633832616402,1.0065960443108317,1.0018389905082072,0.989138978728377,0.9954687317648687,1.0063992554864527,0.9996090396153409,0.0003910368295955972,True
DLinear,ETTm1,96,336,0p005,0.4225228726863861,0.4288645386695862,0.41592395305633545,0.42230984568595886,0.9843821008124485,1.0150090477774139,0.9994958213763131,0.9698259369884142,0.9845491209087984,1.015181264347398,1.0003393687580477,0.00033931118549595477,True
DLinear,ETTm1,336,96,0p005,0.3027873933315277,0.2984265983104706,0.29995477199554443,0.29566338658332825,0.9906448504846377,0.9855978316234507,0.9764719175728719,1.0051207690391055,0.9906927902916903,0.98564552719251,1.0000967873945812,9.678271098351959e-05,True
DLinear,ETTm1,336,336,0p005,0.36894792318344116,0.3674629032611847,0.37303295731544495,0.37202897667884827,1.011072115806362,0.995974987717933,1.008350917031386,1.015158139787246,1.0117488034024777,0.9966415711492175,1.0013390024931959,0.0013381068287995476,True
DLinear,ETTm2,96,96,0p005,0.1880241483449936,0.1885557770729065,0.18844673037528992,0.18897566199302673,1.0022474880701013,1.002827449200501,1.0050605927824083,0.9994216740568261,1.002237167624081,1.0028171227824454,0.9999794055001252,2.0594711944417312e-05,True
DLinear,ETTm2,96,336,0p005,0.3364989161491394,0.3375958800315857,0.36193767189979553,0.3631354570388794,1.0755983289389897,1.0032599328847767,1.0791578801933925,1.0721033439920309,1.0756248286696843,1.0032846503999706,1.0000492750061454,4.9273792172140826e-05,True
DLinear,ETTm2,336,96,0p005,0.16898198425769806,0.171001136302948,0.1712111085653305,0.17352314293384552,1.0131914909001958,1.0119489190171345,1.0268736261803044,1.0012278998076978,1.013969685990869,1.0127261597340809,1.0015367163051954,0.0015355367649518969,True
DLinear,ETTm2,336,336,0p005,0.3088371455669403,0.3104977309703827,0.29172176122665405,0.292824923992157,0.9445811989070579,1.0053768966177756,0.9481531875144447,0.9395294462054552,0.9438314675742611,1.004578910630402,0.9984131934958165,0.0015880668150471508,True
DLinear,electricity,96,96,0p005,0.19552311301231384,0.19253157079219818,0.19546769559383392,0.19250357151031494,0.9997165684525674,0.9846998026267756,0.9845566007236765,1.0152500952937467,0.9997855683629363,0.9847677660878862,1.0001380437090175,0.00013803418186145421,True
DLinear,electricity,96,336,0p005,0.20791342854499817,0.2060059905052185,0.20764806866645813,0.20597904920578003,0.9987237001457911,0.9908258064275688,0.990696227017393,1.0079710214116226,0.9992962963282525,0.9913938745270459,1.0011469845465106,0.001146327262284222,True
DLinear,electricity,336,96,0p005,0.14069248735904694,0.12962882220745087,0.14057038724422455,0.12957876920700073,0.9991321490072829,0.921362786604507,0.9210070248905045,1.0844068845990393,0.9993729827023251,0.9215848745481218,1.0004821438703695,0.00048202767636027437,True
DLinear,electricity,336,336,0p005,0.16984054446220398,0.16163089871406555,0.16963060200214386,0.16172046959400177,0.9987638849090781,0.9516626270003192,0.9521900092000162,1.0494936509771577,0.9996586263216551,0.952515172808237,1.0017925001146033,0.001790895503497115,True
DLinear,exchange_rate,96,96,0p005,0.08156974613666534,0.10650944709777832,0.08438796550035477,0.11082347482442856,1.0345498116295184,1.3057469483762763,1.3586345437283855,0.7923049813870925,1.0375224898191746,1.309498885142409,1.0057550617803295,0.0057385646765867404,True
DLinear,exchange_rate,96,336,0p005,0.27928295731544495,0.4640868902206421,0.3513047993183136,0.6319664716720581,1.2578812638449732,1.661708593612694,2.2628178881615884,0.7569806575473222,1.308781636825029,1.728949906151613,1.0825677597243222,0.07933577452377416,True
DLinear,exchange_rate,336,96,0p005,0.0997546911239624,0.11989898979663849,0.10734862089157104,0.12660200893878937,1.0761260416131395,1.2019383594466082,1.26913338623308,0.8953254825052804,1.0659678519508422,1.1905925529652905,0.9812099239426441,0.018968852561461004,True
DLinear,exchange_rate,336,336,0p005,0.36497625708580017,0.7272779941558838,0.34220415353775024,0.7230477333068848,0.9376066165786325,1.9926720712271215,1.9810815615244464,0.47052730357245304,0.9654806913145402,2.051912150440964,1.060341742343727,0.05859125460224516,True
DLinear,illness,96,96,0p005,3.4688315391540527,0.7522214651107788,3.4218251705169678,0.7710159420967102,0.9864489329889602,0.21685154110834215,0.22226964134578256,4.548959753512271,1.0055325220546434,0.22104669562711948,1.0390657469248752,0.03832198915728449,True
DLinear,illness,336,96,0p005,3.916935920715332,2.1467630863189697,5.434110641479492,3.850196361541748,1.3873371307251525,0.5480720465620781,0.9829612838901394,2.531304304657716,1.5773947284123226,0.6231549187941742,1.2927565604499225,0.25677680708303624,True
DLinear,weather,96,96,0p005,0.19737105071544647,0.19684307277202606,0.2029055505990982,0.19150501489639282,1.0280410924681702,0.9973249473947342,0.9702791478396149,1.0307985327687574,1.0000811576913122,0.9702004086143416,0.9463451068052703,0.0551479701078499,True
DLinear,weather,96,336,0p005,0.2942708432674408,0.27823606133461,0.2806474268436432,0.2738189399242401,0.9537044979634075,0.9455101234128792,0.930499729038349,1.0086666174667174,0.968795135331928,0.960471099722793,1.031896731811988,0.031398595978772426,True
DLinear,weather,336,96,0p005,0.17500102519989014,0.17289459705352783,0.17304538190364838,0.1727963387966156,0.9888249609166119,0.9879633382492685,0.9874018657847502,1.0008721200817736,0.994114177939678,0.9932479464593903,1.0107265961581384,0.010669474344261007,True
DLinear,weather,336,336,0p005,0.26749658584594727,0.2550147473812103,0.27404898405075073,0.2494676560163498,1.0244952591977268,0.9533383260752146,0.9326012712551762,1.0746397487400483,1.0011045878509957,0.9315722678457892,0.9548584532045068,0.04619216602634706,True
GRU,ETTh1,96,96,0p001,0.4432505965232849,0.6094034314155579,0.509505569934845,0.4230039715766907,1.1494752041649638,1.374850786881106,0.9543223966185218,0.8360726961306005,0.8932429115972115,1.0683794791185006,0.6038651163501944,0.5044044232873462,True
GRU,ETTh1,96,336,0p001,0.7130923867225647,0.7245311141014099,0.7154309749603271,0.7175888419151306,1.003279502461821,1.0160410173938592,1.0063055717271532,0.9874399608740487,0.9968281368288103,1.009507591678234,0.9871807934249166,0.012902081627127549,True
GRU,ETTh1,336,96,0p001,0.47397828102111816,0.579643726348877,0.6522915959358215,0.45725393295288086,1.3762056660709283,1.2229330953733106,0.9647149484735733,1.1253319345739268,1.0419330781188167,0.9258895496583535,0.5732089573118548,0.556504956297715,True
GRU,ETTh1,336,336,0p001,0.7138274908065796,0.6907813549041748,0.7071843147277832,0.6828442811965942,0.9906935833035934,0.9677146983000555,0.9565956621046126,1.023745516156677,0.9896011923267498,0.9666476450533222,0.9977959103979245,0.0022065221826368243,True
