model,seasonal_pattern,seq_len,pred_len,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction
OLS-default,Yearly,9,6,1.005948959819108,1.3920652007060754,1.2754881998497465,0.7529743187099309,1.2679452445371657,1.3838328347756328,0.7485213950072899,0.9162560770880563,0.8281529309287379,0.9038444072978832,0.4265992504380893,0.8519102300066994
OLS-long,Daily,420,14,1.0587091116406038,12.73070355957082,1.0966267131327527,12.691712894513238,1.0358149382821413,12.024741659059668,11.987913162328246,0.08614030701455767,1.0161901988637816,11.79691870255403,0.9624665917678074,0.038255923274227326
OLS-long,Hourly,480,48,1.8024245519736344,1.9678754386191164,2.5583176864653954,1.6373847597882905,1.4193757423377675,1.0917935158308376,0.9084345627645677,1.3000404579776654,1.0867390142160116,0.8359270725362932,0.5862134246795562,0.5340713497741988
OLS-long,Monthly,81,18,0.9680807360501408,1.0163283714512992,0.9586717958908798,0.93325180988069,0.9902808311240131,1.049838441779157,0.9640227050570637,0.9432697372424163,0.9535897669831088,1.0109406984378217,0.927270447799694,0.07551001076639859
OLS-long,Quarterly,36,8,1.027697903872408,1.34648911578523,1.1188493064876468,0.8719943938796291,1.0886947441186527,1.3101993404011079,0.8484929185842633,0.8309382477519466,0.8396697082772147,1.0105079535680186,0.5948462380638101,0.5194523302557617
OLS-long,Weekly,390,13,0.9091182896929156,2.269100073841207,1.2095664936981108,2.3176533138930826,1.330483070697743,2.495934907004972,2.549341862515983,0.5330600036738429,1.1657410443999352,2.186885221861821,0.7676892686221077,0.2643702258546771
OLS-long,Yearly,27,6,1.0227169083439085,2.3907935260422275,1.076058679501287,2.0267155365894536,1.052156927026615,2.337688471303025,1.9816974962028602,0.45008432044845725,0.9444209712373363,2.098320088769876,0.8056941435467696,0.21605108300190987
RevIN-OLS-default,Daily,140,14,14.541698786351,22.41144308281949,13.627338561882585,12.152521953997724,0.9371214988081967,1.5411846588278335,0.8357016695603828,0.6080527037694079,0.7128468697559098,1.1723438862073425,0.5786296597095982,0.5470926265897246
RevIN-OLS-default,Hourly,480,48,0.9442656049976176,0.910086699715756,1.0375637470199766,0.8430940139011137,1.0988049776763757,0.9638037167710373,0.8928568502749191,1.1400713221542904,1.00892045761172,0.8849625791000983,0.8430874413897673,0.17068459991849178
RevIN-OLS-default,Monthly,27,18,16.912341308753177,21.99744921596961,13.71223183679965,13.169414278306784,0.8107825868972219,1.3006743900434754,0.7786866429600023,0.6233555400980266,0.6967055568096551,1.1176696315237589,0.7383966593388905,0.3032741199926636
RevIN-OLS-default,Quarterly,12,8,12.13794365014344,23.65148481817091,2.7163899857733593,2.1480536671307573,0.22379326054469353,1.9485578035198252,0.1769701465952491,0.11485071684321557,0.14256629404004756,1.241318277835975,0.40582585594265264,0.9018311376452051
RevIN-OLS-default,Weekly,130,13,0.7735309209951311,4.542982395659585,0.8294779972265078,4.47305736060602,1.072326877585452,5.873045630567858,5.782648423222083,0.18258446214077345,1.027531874008391,5.627707100378339,0.9181977451489127,0.08534250289981427
RevIN-OLS-default,Yearly,9,6,30.869400072811853,124.77253112289958,16.58893324791387,6.916648159962178,0.5373908533624058,4.041948687975724,0.22406163202549564,0.13295340808285722,0.17259709614705782,1.2981772986179823,0.10315408444817409,2.2715314430779645
RevIN-OLS-long,Daily,420,14,13.006686571161705,26.05546932655372,1.0825455081952269,12.763855336015215,0.08322992195379228,2.0032365033169666,0.9813302770219056,0.04154772629990511,0.20192087994934105,4.859974249657127,5.8857726906971,1.7725380304276248
RevIN-OLS-long,Hourly,480,48,0.9442656049976176,0.910086699715756,1.0375637470199766,0.8430940139011137,1.0988049776763757,0.9638037167710373,0.8928568502749191,1.1400713221542904,1.00892045761172,0.8849625791000983,0.8430874413897673,0.17068459991849178
RevIN-OLS-long,Monthly,81,18,37.37020039793003,32.14225442516641,8.834978216264512,2.894649642932171,0.23641773718596087,0.8601038817802755,0.07745876693485723,0.2748711431189155,0.1459149745981058,0.5308486476333373,0.3809251218958059,0.9651524536272794
RevIN-OLS-long,Quarterly,36,8,0.8631217146335433,1.0672723077001975,0.9318495498378792,0.8706607584001269,1.0796270491624878,1.236525845202876,1.0087346241425341,0.8731132093606617,0.9384772373788876,1.0748631761808858,0.7556139598714093,0.2802246683118298
RevIN-OLS-long,Weekly,390,13,0.8122815894912641,2.2461654860652547,0.9040799286616,2.275690340820373,1.1130129506293867,2.765254703694613,2.8016027572970708,0.4024992522903253,1.0619053700902847,2.6382791124400042,0.9102720309112166,0.09401178907615511
RevIN-OLS-long,Yearly,27,6,157.23051021079254,1265.7582955980872,5.124709099423837,7.162779059292621,0.03259360471802418,8.05033510290806,0.045555910552537,0.004048726456896216,0.013580994820780033,3.3543868585262056,0.17361945099327683,1.7508894381402997
Ridge-default,Daily,140,14,1.0134133164463002,1.833991049726672,1.0500019457239285,1.824162248204118,1.0361043502032639,1.8097167463299793,1.8000180366692258,0.572522938909879,1.01516088205006,1.7731357349331578,0.959981258634408,0.04084151696664187
Ridge-default,Hourly,480,48,1.8024245434942243,1.967875462625667,2.558317740795637,1.637384779817045,1.419375779158011,1.091793534286154,0.9084345781503679,1.30004046972676,1.0867390283295413,0.8359270758378391,0.5862134094918136,0.5340713756824127
Ridge-default,Monthly,27,18,0.9711086539038202,1.0157742878304188,0.963482507359962,0.8809105342861085,0.9921469688142502,1.0459944762587012,0.9071184061071657,0.9485202755209071,0.9275883788032571,0.9779320513668992,0.8740948837355701,0.13456634659258665
Ridge-default,Quarterly,12,8,1.018585321241291,1.3826322593055105,1.1828915923497003,0.904754059648092,1.1613083044512942,1.3574044613371972,0.8882457274620064,0.8555359419603453,0.8717374290097104,1.0189372371805228,0.563477168088951,0.5736284643552139
Ridge-default,Weekly,130,13,0.9256664981333862,4.63897402051609,1.107408822455473,4.473591848348095,1.1963367202859472,5.011496073230065,4.832833269184018,0.23871847903392068,1.0740980436832288,4.499434011267327,0.8060852694754546,0.215565748677371
Ridge-default,Yearly,9,6,1.0059489598201825,1.392065200708565,1.2754881998516034,0.7529743187104982,1.2679452445376573,1.3838328347766296,0.7485213950070543,0.9162560770877517,0.8281529309284699,0.9038444072978913,0.4265992504374823,0.8519102300081222
