model,case,seasonal_pattern,seq_len,pred_len,smape,mase,owa
RevIN-OLS-long,NR,Hourly,480,48,12.505092207094451,1.3147281451406485,0.910086699715756
RevIN-OLS-long,RN,Yearly,27,6,80.27379994703067,21.212568966043985,5.124709099423837
RevIN-OLS-long,RN,Quarterly,36,8,12.110077984046514,1.4364883942533366,0.9318495498378792
RevIN-OLS-long,RN,Monthly,81,18,118.0411653405482,12.95867930102529,8.834978216264512
RevIN-OLS-long,RN,Weekly,390,13,7.873426303042832,2.6349204200958334,0.9040799286616
RevIN-OLS-long,RN,Daily,420,14,3.326293714075023,3.5171016029279567,1.0825455081952269
RevIN-OLS-long,RN,Hourly,480,48,14.489212189098447,1.2333709012673877,1.0375637470199766
RevIN-OLS-long,RR,Yearly,27,6,131.94074146563628,24.647592967245107,7.162779059292621
RevIN-OLS-long,RR,Quarterly,36,8,19.414533442643965,1.357693010332685,0.8706607584001269
RevIN-OLS-long,RR,Monthly,81,18,100.25613391978202,6.943271873204617,2.894649642932171
RevIN-OLS-long,RR,Weekly,390,13,58.961350913321674,10.253291275320278,2.275690340820373
RevIN-OLS-long,RR,Daily,420,14,58.94691525166749,3.023438648174455,12.763855336015215
RevIN-OLS-long,RR,Hourly,480,48,12.920827031691696,1.0967239460354217,0.8430940139011137
