model,dataset,seq_len,pred_len,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction
OLS,illness,104,48,2.2623476904067825,0.6513003638669457,2.4582414386703997,0.6308531161309939,1.0865887012391073,0.2878869444465622,0.2788488784487247,3.7743590746290363,1.0259024294849257,0.2718083810257923,0.8914187136826024,0.11494102510399674
OLS,illness,104,60,2.385154406727298,0.7009904924048795,2.654470007298234,0.6613957751166054,1.11291327714941,0.29389732187892936,0.27729683799553895,3.7867418118490823,1.0247202207096573,0.27060736422620846,0.8477893666283925,0.16512306245365874
OLS,illness,336,24,4.60935490940739,4.833865971266934,3.5045378005551933,1.3776302125524618,0.7603098197977036,1.0487076969059883,0.2988770098264313,0.7249968909743416,0.46549425657882226,0.6420637969264017,0.3748413164318364,0.981252498749338
OLS,illness,336,36,5.440831021492317,6.234645777136875,4.140067403279224,1.9107857024322772,0.7609255620924765,1.1458995422774279,0.35119372295965645,0.6640421206384013,0.48291554597985914,0.7272363167498931,0.40277084415305503,0.9093875036943058
OLS,illness,336,48,5.617617831086587,6.06053813613576,4.376342535832151,2.2664684839213503,0.7790388501714183,1.0788448624251645,0.403457221916956,0.7221046114268884,0.5397576497463611,0.7474784694696697,0.48004215844214065,0.7338813488492437
OLS,illness,336,60,5.772332860729407,6.152041305778122,4.33454585002591,2.646417504447339,0.7509175154320857,1.0657807604325737,0.4584658522469424,0.7045703425227033,0.5683497537191261,0.8066614778081043,0.5728578691520468,0.5571176398911734
OLS,traffic,96,96,0.648631942461111,0.6548172086194494,0.6481967387316556,0.65466000975808,0.9993290436363585,1.0095358642605075,1.0092935097739661,0.989889590864981,0.9995444659707902,1.0097534868483389,1.0004311804100432,0.00043108747848274716
OLS,traffic,96,192,0.598342341433408,0.6023170376600553,0.5980168431964856,0.6024029247148405,0.9994559999946809,1.0066428463296202,1.006786387992708,0.9928605797367521,0.99979923827412,1.0069885527525,1.0006869681461947,0.0006867322915880098
OLS,traffic,96,336,0.6051667731221522,0.6141508529920391,0.6047808930339744,0.6143027170452885,0.9993623574437391,1.0148456264767092,1.0150965722655303,0.9847432273155434,0.9998047182373686,1.0152948408316385,1.0008854820162025,0.0008850902082775451
OLS,traffic,96,720,0.6456079473866364,0.664711540934359,0.6453045998816452,0.664829196922981,0.999530136662321,1.0295900842377363,1.0297723248515613,0.9708039655435586,0.9998535175578998,1.0299231905156836,1.0006471704972102,0.0006469611726915288
OLS,traffic,336,96,0.4100457696112512,0.4023142824112402,0.4097960856551056,0.4026810421426969,0.999391082716492,0.9811448190104706,0.9820392550920924,1.0185969118446996,1.0001510648632408,0.9818909258736579,1.001521468666837,0.0015203124060460475
OLS,traffic,336,192,0.4227057467765787,0.4092652022135504,0.4224642619612414,0.4096569126734594,0.9994287165074552,0.9682035442727673,0.9691302183549062,1.0322506278967833,1.0001926196541338,0.9689435807775016,1.0015292638181115,0.001528095684969631
OLS,traffic,336,336,0.4359670384716637,0.4270858825840777,0.4357958074916019,0.4273505341313346,0.9996072387016641,0.9796288363479956,0.9802358812020852,1.020393848784757,1.0001133253470398,0.9801248082180517,1.0010128273144498,0.001012314750928429
OLS,traffic,336,720,0.4657294595934278,0.4662161930989163,0.4656106600065969,0.4668140931332206,0.9997449171737286,1.0010450992426234,1.002328891843646,0.9987011753317823,1.000513389392292,1.0018145708699178,1.001537927436232,0.001536746036948181
OLS,weather,96,96,0.195037645364608,0.1943434650864698,0.1942468881161027,0.1936322870333997,0.9959456173344021,0.9964407882547983,0.9927944252578467,0.9995030603662226,0.9961430953230278,0.9966383644268546,1.000396603114354,0.0003965244881271702
OLS,weather,96,192,0.2354719921656459,0.2337256266089449,0.2343707042745374,0.2327570122780564,0.9953230620721389,0.9925835529710365,0.9884700517347319,1.0027599783342194,0.995589377033295,0.9928491349317351,1.000535204296508,0.0005350611257700585
OLS,weather,96,336,0.2812729100756499,0.2749141255043434,0.2797619322727223,0.2736733512229941,0.9946280720652364,0.9773928297268433,0.9729815471720619,1.0176338948007322,0.995057285495638,0.9778146056057665,1.0008632493934875,0.0008628770080220721
OLS,weather,96,720,0.3450693811500002,0.3284954342946988,0.3422565031222454,0.3267928583390224,0.9918483696861762,0.9519692335493054,0.9470352230323412,1.0418912027106024,0.9933315999878739,0.9533928277766479,1.002993077114408,0.0029886067769234895
OLS,weather,336,96,0.1738408598048478,0.1729674834459131,0.1730211853283595,0.1723106942374574,0.9952849147351867,0.994976000694456,0.9911978946197795,1.0003104738611936,0.9957437600393633,0.9954347035833755,1.000922250635159,0.0009218256233334576
OLS,weather,336,192,0.2150596271045161,0.2105922923291707,0.2140224062202869,0.2098672752407102,0.9951770543909428,0.9792274596794761,0.9758562221384189,1.0162879365297695,0.9958669119650427,0.9799062609810595,1.001386882215544,0.0013859213826762455
OLS,weather,336,336,0.260326730932712,0.2502488548248541,0.2588172807443113,0.2494067499340181,0.9942017088180205,0.961287586289159,0.9580527863597823,1.034239620898382,0.9954175759777301,0.9624632008519171,1.00244741208206,0.0024444220466823046
