model,dataset,seq_len,pred_len,mse_RN_vs_NN,mse_NR_vs_NN,mse_RR_vs_NN,mse_RN_vs_NR,mse_train_main,mse_test_main,mse_interaction,mse_abs_log_interaction,mae_RN_vs_NN,mae_NR_vs_NN,mae_RR_vs_NN,mae_RN_vs_NR,mae_train_main,mae_test_main,mae_interaction,mae_abs_log_interaction
GRU,ETTm1,336,336,1.3317232824347773,1.3245238681960116,0.946606732591579,1.0054354733890687,0.9755777715264395,0.9703037115231409,0.5366557755634869,0.622398403858744,1.1518967309727008,1.1675113904748828,0.9644136616132464,0.9866256897966275,0.9754564542502451,0.9886793586849693,0.7171147935145374,0.3325193486668235
GRU,ETTm2,96,96,1.0850832510786979,1.0910664050697119,0.9631107247510976,0.9945162329595956,0.9786875139197636,0.9840840013312534,0.8135082758658593,0.20639917921454584,1.0956740596113366,1.1080431504491115,0.9944218423816642,0.9888369953527878,0.9916254871340634,1.0028199711321284,0.8190918445693003,0.1995590590852908
GRU,ETTm2,96,336,1.0086151881709575,1.0313409410085914,1.0064737317246881,0.9779648495138674,0.9921168941136902,1.014470913353233,0.967552819190606,0.03298526208970739,1.0082523217272072,1.0305575797457291,1.0190037876589992,0.9783561263757573,0.9984731335675904,1.0205620495947165,0.980695778120487,0.01949298155847293
GRU,ETTm2,336,96,0.9197391798354592,0.9708043419332079,0.9388063510438504,0.9473991206136756,0.9430929495047015,0.9954547444521746,1.0514282016123015,0.050149431957979114,1.0098106377024458,1.045157272235229,0.9980869395114731,0.9661805591638961,0.9820041737749269,1.0163774922409163,0.9456856184176756,0.05584509241724063
GRU,ETTm2,336,336,1.0118584301752684,1.0515881386844268,1.0492790805790808,0.9622193261338402,1.004806752485839,1.0442595832315213,0.9861104957323887,0.01398686602096293,1.0049179979102583,1.0418343323765051,1.038237776958009,0.9645660223329003,1.0007241791603416,1.0374864508911366,0.991670827394343,0.008364053987544065
GRU,electricity,96,96,2.8392013731839874,2.80027223962084,0.8858051809858604,1.0139019103258398,0.9476917036558303,0.9346976211448982,0.11141451257989923,2.1944976854685607,2.0029890268470947,1.997905133123018,0.9264228310813735,1.0025446121739174,0.9637324410309834,0.9612863401073259,0.2315025699997023,1.4631643040068765
GRU,electricity,96,336,2.165582335299787,2.1679517115086293,2.066861517274221,0.9989070899521125,1.436872514718825,1.4384446052812665,0.4402375414209577,0.8204408308797057,1.6690090231528636,1.6804028014626065,1.626468357310896,0.9932196147853206,1.2709997149129661,1.2796764139496846,0.579927277940455,0.5448525661640446
GRU,electricity,336,96,3.857294777232401,3.7865061099072674,0.9536327681611603,1.0186949829923468,0.9856271691379442,0.9675390431812395,0.06529195527352333,2.728886446712893,2.1249666199500994,2.123441496251541,0.9905319042246671,1.0007182320309982,0.9956120408904298,0.99489747365729,0.21952099169294448,1.516307416903142
GRU,electricity,336,336,1.0534178755971262,1.0295874350746967,0.9825428905790472,1.023145620964868,1.0026387464616136,0.9799570324271968,0.9059153114397175,0.0988094525403394,1.0364428437010067,1.0337967217394788,0.9995160449164602,1.0025596153536602,1.0010366734197393,0.9984809462593569,0.9328445148820917,0.06951674273843839
GRU,exchange_rate,96,96,0.9126264684386689,0.9951272871579507,1.0006864946743679,0.9170952100460421,0.9579795358062858,1.044580241301436,1.1018598116040417,0.09699948993799422,0.9514871597534097,0.9995501181800122,0.992123313920839,0.9519154091901706,0.971811437645217,1.0209010467347857,1.0431773491405105,0.042271199090749396
