model,dataset,seq_len,pred_len,NN,NR,RN,RR,best_case,worst_case
PatchTST,ETTm2,96,96,0.17795579135417938,0.18354441225528717,0.18337659537792206,0.1848432421684265,NN,RR
PatchTST,ETTm2,96,336,0.31170162558555603,0.31373167037963867,0.30660316348075867,0.3056351840496063,RR,NR
PatchTST,ETTm2,336,96,0.1789667308330536,0.17889651656150818,0.17902728915214539,0.18420164287090302,NR,RR
PatchTST,ETTm2,336,336,0.30531182885169983,0.28706759214401245,0.2992832064628601,0.289379358291626,NR,NN
PatchTST,electricity,96,96,0.18963778018951416,0.1939794272184372,0.19481737911701202,0.18108826875686646,RR,RN
PatchTST,electricity,96,336,0.20975854992866516,0.2139279544353485,0.2141202688217163,0.20627805590629578,RR,RN
PatchTST,electricity,336,96,0.13793069124221802,0.12932561337947845,0.14006614685058594,0.1263912320137024,RR,RN
PatchTST,electricity,336,336,0.17201727628707886,0.16600416600704193,0.17436720430850983,0.16151238977909088,RR,RN
PatchTST,exchange_rate,96,96,0.0853920429944992,0.08434149622917175,0.08366426080465317,0.0849626436829567,RN,NN
PatchTST,exchange_rate,96,336,0.35012245178222656,0.30042874813079834,0.2990376353263855,0.343544065952301,RN,NN
PatchTST,exchange_rate,336,96,0.10868393629789352,0.11571646481752396,0.10083721578121185,0.11735507845878601,RN,RR
PatchTST,exchange_rate,336,336,0.317153662443161,0.3897562325000763,0.43898096680641174,0.38487473130226135,NN,RN
PatchTST,illness,96,96,2.1048831939697266,1.7791246175765991,3.0780246257781982,1.4227362871170044,RR,RN
PatchTST,illness,336,96,3.671217679977417,1.1145418882369995,3.7552859783172607,0.6150744557380676,RR,RN
PatchTST,weather,96,96,0.17494110763072968,0.1761154681444168,0.17638929188251495,0.17760008573532104,NN,RR
PatchTST,weather,96,336,0.277164489030838,0.276885062456131,0.27842870354652405,0.2794255316257477,NR,RR
PatchTST,weather,336,96,0.15112921595573425,0.151940256357193,0.15108047425746918,0.15337665379047394,RN,RR
PatchTST,weather,336,336,0.24946771562099457,0.24939322471618652,0.24867521226406097,0.25011950731277466,RN,RR
TimeFilter,ETTh1,96,96,0.4032827317714691,0.40302175283432007,0.4025246500968933,0.4006439745426178,RR,NN
TimeFilter,ETTh1,96,336,0.49430176615715027,0.5055320858955383,0.4889468848705292,0.49695903062820435,RN,NR
TimeFilter,ETTh1,336,96,0.3867223560810089,0.3701428472995758,0.38756951689720154,0.3678790032863617,RR,RN
TimeFilter,ETTh1,336,336,0.4378657937049866,0.4161912798881531,0.4350472092628479,0.4156242907047272,RR,NN
TimeFilter,ETTh2,96,96,0.30066978931427,0.3010845184326172,0.3035523593425751,0.3037618100643158,NN,RR
TimeFilter,ETTh2,96,336,0.429828017950058,0.4497932493686676,0.4262162446975708,0.4421011507511139,RN,NR
TimeFilter,ETTh2,336,96,0.2842293977737427,0.24651239812374115,0.2830241024494171,0.2547384798526764,NR,NN
TimeFilter,ETTh2,336,336,0.38595911860466003,0.3060525059700012,0.3697821795940399,0.3192639946937561,NR,NN
TimeFilter,ETTm1,96,96,0.334661602973938,0.3401712477207184,0.3401171863079071,0.3360893726348877,NN,NR
TimeFilter,ETTm1,96,336,0.40863344073295593,0.41610977053642273,0.40916091203689575,0.4109853208065033,NN,NR
TimeFilter,ETTm1,336,96,0.2966996729373932,0.29139089584350586,0.2946210503578186,0.28697988390922546,RR,NN
TimeFilter,ETTm1,336,336,0.3708702027797699,0.36850908398628235,0.3759276568889618,0.3661140501499176,RR,RN
TimeFilter,ETTm2,96,96,0.1727904975414276,0.1854325532913208,0.17617446184158325,0.18234780430793762,NN,NR
TimeFilter,ETTm2,96,336,0.2997467517852783,0.3105798661708832,0.3024846017360687,0.3050040006637573,NN,NR
TimeFilter,ETTm2,336,96,0.16861273348331451,0.1710987538099289,0.17375074326992035,0.1773364543914795,NN,RR
TimeFilter,ETTm2,336,336,0.2795788049697876,0.27905741333961487,0.28705480694770813,0.2861083745956421,NR,RN
TimeFilter,exchange_rate,96,96,0.08344017714262009,0.08696919679641724,0.08365411311388016,0.0884234830737114,NN,RR
TimeFilter,exchange_rate,96,336,0.35605868697166443,0.29956069588661194,0.30803099274635315,0.32765617966651917,NR,NN
TimeFilter,exchange_rate,336,96,0.08864886313676834,0.09111755341291428,0.08931408822536469,0.09580528736114502,NN,RR
TimeFilter,exchange_rate,336,336,0.36711227893829346,0.32733047008514404,0.3182463049888611,0.3656989336013794,RN,NN
TimeFilter,illness,96,96,2.7723891735076904,2.5620875358581543,4.010530471801758,1.3456095457077026,RR,RN
TimeFilter,illness,336,96,2.948430061340332,1.6713446378707886,5.756621360778809,0.6053669452667236,RR,RN
TimeFilter,weather,96,96,0.16583001613616943,0.16652975976467133,0.1666647493839264,0.16533569991588593,RR,RN
TimeFilter,weather,96,336,0.27049893140792847,0.2693527042865753,0.27146536111831665,0.26950371265411377,NR,RN
TimeFilter,weather,336,96,0.147502601146698,0.15076802670955658,0.14788813889026642,0.1491856724023819,NN,NR
TimeFilter,weather,336,336,0.24099969863891602,0.24240688979625702,0.25032636523246765,0.25038501620292664,NN,RR
TimeMixer,ETTh1,96,96,0.37776997685432434,0.372872531414032,0.38066548109054565,0.36989787220954895,RR,RN
TimeMixer,ETTh1,96,336,0.5004640221595764,0.5115031599998474,0.48401492834091187,0.4860379099845886,RN,NR
TimeMixer,ETTh1,336,96,0.3981485366821289,0.3824380338191986,0.3884471356868744,0.3617173731327057,RR,NN
TimeMixer,ETTh1,336,336,0.4641295075416565,0.4301283061504364,0.4488578736782074,0.42289820313453674,RR,NN
TimeMixer,ETTh2,96,96,0.2990766167640686,0.29376205801963806,0.3028884530067444,0.293734073638916,RR,RN
TimeMixer,ETTh2,96,336,0.42481744289398193,0.4376211166381836,0.41812628507614136,0.42660441994667053,RN,NR
TimeMixer,ETTh2,336,96,0.290111243724823,0.2579707205295563,0.29052427411079407,0.25308942794799805,RR,RN
TimeMixer,ETTh2,336,336,0.3865886926651001,0.36104297637939453,0.3890453279018402,0.3394683003425598,RR,RN
TimeMixer,ETTm1,96,96,0.3269138038158417,0.34708985686302185,0.34529897570610046,0.3274633288383484,NN,NR
TimeMixer,ETTm1,96,336,0.3942314088344574,0.41419243812561035,0.40921011567115784,0.39110028743743896,RR,NR
TimeMixer,ETTm1,336,96,0.2972772419452667,0.2914772629737854,0.3037448227405548,0.2908039391040802,RR,RN
TimeMixer,ETTm1,336,336,0.375050812959671,0.3592587113380432,0.3730195164680481,0.3574794828891754,RR,NN
TimeMixer,ETTm2,96,96,0.17794442176818848,0.18042334914207458,0.17485462129116058,0.17607378959655762,RN,NR
TimeMixer,ETTm2,96,336,0.3003210425376892,0.3118823766708374,0.3031507730484009,0.3011108338832855,NN,NR
TimeMixer,ETTm2,336,96,0.17944130301475525,0.17546452581882477,0.18542622029781342,0.18310628831386566,NR,RN
TimeMixer,ETTm2,336,336,0.2962425947189331,0.279182493686676,0.32600536942481995,0.3297901451587677,NR,RR
TimeMixer,electricity,96,96,0.16387124359607697,0.16560032963752747,0.16816288232803345,0.15350297093391418,RR,RN
TimeMixer,electricity,96,336,0.19535017013549805,0.1963319331407547,0.19476842880249023,0.1856171041727066,RR,NR
