model,dataset,seq_len,pred_len,NN,NR,RN,RR,best_case,worst_case
iTransformer,ETTm1,96,96,0.347892165184021,0.36652469635009766,0.3800284266471863,0.344156414270401,RR,RN
iTransformer,ETTm1,96,336,0.4212447702884674,0.44963234663009644,0.44622915983200073,0.42078909277915955,RR,NR
iTransformer,ETTm1,336,96,0.3016139268875122,0.3024347126483917,0.31031376123428345,0.29527556896209717,RR,RN
iTransformer,ETTm1,336,336,0.37930646538734436,0.3777536153793335,0.3935808539390564,0.37743455171585083,RR,RN
iTransformer,ETTm2,96,96,0.1869664341211319,0.19369441270828247,0.18860289454460144,0.1883576512336731,NN,NR
iTransformer,ETTm2,96,336,0.3135724365711212,0.317707359790802,0.3126460313796997,0.3137957453727722,RN,NR
iTransformer,ETTm2,336,96,0.17352892458438873,0.1793467253446579,0.17547009885311127,0.1738891750574112,NN,NR
iTransformer,ETTm2,336,336,0.28604593873023987,0.28576669096946716,0.28467121720314026,0.2793276607990265,RR,NN
iTransformer,electricity,96,96,0.21001192927360535,0.20977245271205902,0.2137235701084137,0.2069961577653885,RR,RN
iTransformer,electricity,96,336,0.2399751991033554,0.24223382771015167,0.24295301735401154,0.23989462852478027,RR,RN
iTransformer,electricity,336,96,0.16365642845630646,0.15386974811553955,0.1654956340789795,0.1522943675518036,RR,RN
iTransformer,electricity,336,336,0.21067996323108673,0.20433679223060608,0.21274712681770325,0.2033022791147232,RR,RN
iTransformer,exchange_rate,96,96,0.08745570480823517,0.08695457130670547,0.08876633644104004,0.08704908192157745,NR,RN
iTransformer,exchange_rate,96,336,0.3328513205051422,0.30984267592430115,0.3159504532814026,0.32687440514564514,NR,NN
iTransformer,exchange_rate,336,96,0.10339677333831787,0.1012098416686058,0.11006806045770645,0.10449172556400299,NR,RN
iTransformer,exchange_rate,336,336,0.36903655529022217,0.35395896434783936,0.3762320280075073,0.3573596775531769,NR,RN
iTransformer,illness,96,96,3.660853385925293,2.653823137283325,3.88618803024292,2.408642530441284,RR,RN
iTransformer,illness,336,96,4.565611362457275,1.207853078842163,4.736973285675049,1.1309809684753418,RR,RN
iTransformer,weather,96,96,0.1877196878194809,0.18933984637260437,0.19105370342731476,0.19185376167297363,NN,RR
iTransformer,weather,96,336,0.2898588478565216,0.2897258400917053,0.29117125272750854,0.2913586497306824,NR,RR
iTransformer,weather,336,96,0.15975525975227356,0.16480395197868347,0.16182368993759155,0.16672909259796143,NN,RR
iTransformer,weather,336,336,0.2531251907348633,0.2572839558124542,0.25710293650627136,0.2605959177017212,NN,RR
