model,seasonal_pattern,smape_RN_vs_NN,smape_NR_vs_NN,smape_RR_vs_NN,smape_RN_vs_NR,smape_train_main,smape_test_main,smape_interaction,smape_abs_log_interaction,mase_RN_vs_NN,mase_NR_vs_NN,mase_RR_vs_NN,mase_RN_vs_NR,mase_train_main,mase_test_main,mase_interaction,mase_abs_log_interaction,owa_context_RN_vs_NN,owa_context_NR_vs_NN,owa_context_RR_vs_NN,owa_context_RN_vs_NR,owa_context_train_main,owa_context_test_main,owa_context_interaction,owa_context_abs_log_interaction
TimeFilter,Monthly,4.6338888244233765,1.0689406893005151,4.6322574931436735,4.335028941087146,4.481179565175403,1.033713875056992,0.9351762603152569,0.06702025375376885,6.964657817539478,1.1209380809709795,6.95967873198706,6.21324044188645,6.575876927081209,1.0583651137577184,0.8914721602769262,0.114881070122881,1.2089837609656136,0.9573714338043064,1.2113407446093936,1.2628157873496133,1.236810501310762,0.9794069045545978,1.0465630395451255,0.04551149954653497
TimeFilter,Quarterly,7.108685978914868,1.0410790312162705,7.103615819835102,6.828190527101426,6.964541783144521,1.019968871035732,0.9598567790522521,0.04097119413720186,7.750622224414488,1.0541318053498894,7.748458245028841,7.352612059591435,7.547940615534793,1.026565872693984,0.9483831093947787,0.05299673452900391,1.1241229899239793,0.9620122972816898,1.1235093405194054,1.1685120794197306,1.1457897868884241,0.9805545077954265,1.0389203039596435,0.03818200461272293
TimeFilter,Weekly,6.206509955345807,1.0025336165012224,6.2132762013184495,6.190824779528218,6.202040331147099,1.0018116409393412,0.9985602166664547,0.0014408208175234422,14.802268968170454,0.9995405197858517,14.80450700117942,14.809073444408028,14.806790046756214,0.9998458109036743,1.0006109562034435,0.0006107696456841521,0.5921779892502272,1.0008340843441208,0.5925420573408755,0.591684474493393,0.5921131106578961,1.0007244336854877,0.9997808934493242,0.00021913055802292376
TimeFilter,Yearly,7.33244470093574,1.0900166675810004,7.3376451538258225,6.726910623493615,7.025644677657515,1.0444088038156143,0.9180678317801737,0.08548400026336342,6.36772572510208,1.1250155696232582,6.366341474050428,5.6601223103378775,6.002855271660493,1.060552218226209,0.8886833582796364,0.11801428432770557,1.1796435223605335,1.1068031665098705,1.179940038182476,1.065811481259449,1.1214248257875314,1.0521793445707355,0.9037301218471766,0.10122450094090643
TimeMixer,Daily,16.2642303145304,1.0032305237451953,16.264851590924003,16.211857523845893,16.238332939022964,1.001633089554243,0.9968179548693508,0.0031871186017908715,15.974189449569545,1.0034972777691387,15.973913921121394,15.918517970553491,15.94619189065043,1.0017384734023687,0.9964977223163943,0.003508425015397734,0.9106921047024538,1.0033644450483685,0.9107016701527559,0.907638405164489,0.9091687475260486,1.001686070524178,0.9966573047614418,0.0033482945255758796
TimeMixer,Hourly,1.7351102060425307,1.540720549036182,1.513839989315485,1.1261680173785908,1.3056945199378938,1.1594136041771024,0.566277145283839,0.5686716646428093,3.3185613283252713,2.500299423368465,2.81345472833159,1.327265565599509,1.9324082336006645,1.4559318675067263,0.3390767895759037,1.081528679329978,0.2984935933853567,0.28426064505107407,0.33741330674292014,1.0500700627472557,0.5952374418526587,0.566854977557748,3.9765866907493104,1.3804238359442524
TimeMixer,Monthly,4.8326299938035815,1.1076829374875818,4.8277603432186345,4.362827872716744,4.589410352996429,1.0519347741625644,0.901875713386438,0.1032785584506411,7.5899167024095835,1.2092375621510651,7.579817282189831,6.276613413255357,6.8975055508072955,1.0989215197228333,0.8258669716812314,0.19132156966467756,1.2883945043309555,1.0118218164748665,1.2900869953998408,1.2733412972055234,1.2816867980245443,1.0065540172437162,0.9896146013047279,0.01043970325853795
TimeMixer,Quarterly,7.967850059417389,1.0744659893827035,7.967299837596726,7.415637291595461,7.6865210458961695,1.0365287221649468,0.9306306152432503,0.07189284172109975,9.115161735136112,1.1276990156000892,9.113990348642675,8.082973922155643,8.583014989784006,1.0618635012860476,0.8866474799488918,0.12030780526401706,1.2898219533395872,1.010331030300835,1.289633776524303,1.2766330189378934,1.2831169321026425,1.0050789170173144,0.9896302067112869,0.010423934207133997
TimeMixer,Weekly,6.113676097589282,1.0028460856029058,6.1216428108106165,6.0963254335422485,6.108971006855886,1.002074294335414,0.9984613904507705,0.0015397944244314476,15.797097314527203,0.9978624892699991,15.798277832704779,15.83093611032899,15.814598541309106,0.9989679972867035,1.0022169796170537,0.0022145257438644546,0.6099547183113031,1.0001132044638776,0.6103699819388163,0.6098856765302648,0.6101277811807297,1.000396967267443,1.0005675418710722,0.0005673808800943762
TimeMixer,Yearly,8.00998006881076,1.2062717194746682,8.020543416760033,6.640278421099941,7.29785183295789,1.0990279880085245,0.8300938811271172,0.18621647479621609,6.97742285485212,1.340225583242728,6.97720591499732,5.206155547314635,6.026974305496895,1.1576631260288877,0.7461198478934313,0.2928690376692076,1.2906150781434773,1.2705529927257473,1.29145448272445,1.0157900422356176,1.1453587226507016,1.1275545880819235,0.7875707639468542,0.2388020533392929
TimesNet,Daily,11.647735133381913,1.007743266852366,11.647779111687061,11.558236622868252,11.60292149002919,1.0038660626719242,0.9923199773086108,0.0077096659370610434,11.189236073964675,1.0070430484427244,11.18840408670742,11.110980897259093,11.149625288691173,1.0034780359888489,0.9929323731579861,0.007092720823100449,0.6449044776358059,1.0073866209628404,0.6448816560700602,0.6401757420794598,0.6425243907651147,1.0036687561419084,0.9926324130957843,0.007394861621084337
TimesNet,Hourly,1.1841620761715494,0.9746164311118338,1.1300171558774834,1.215003193431356,1.171739925505383,0.9643924656660442,0.9791295546261161,0.021091311574553007,1.466171490147878,0.9595430997387404,1.3833363630993922,1.5279891966781687,1.4538648555446751,0.9514889625563853,0.9832830123131494,0.016858293544642,0.14941752550885723,0.1280908558563438,0.1861654134830839,1.1664964256030241,0.4660056752861776,0.39949173015705935,9.727009319737157,2.2749064820175278
