dataset,condition,base_start,mse
ETTm1,target_history,47126,0.03357171436798473
ETTm1,target_history,47129,0.018163387120878928
ETTm1,target_history,47132,0.014405855286011043
ETTm1,target_history,47135,0.011631717388436975
ETTm1,target_history,47138,0.007395683851247204
ETTm1,target_history,47140,0.009547599083421374
ETTm1,target_history,47143,0.006545423545893092
ETTm1,target_history,47146,0.004218871328163266
ETTm1,target_history,47149,0.004517616358447098
ETTm1,target_history,47152,0.005272902111737007
ETTm1,target_history,47155,0.005242484993514565
ETTm1,target_history,47158,0.005934254911410817
ETTm1,target_history,47160,0.006560515286422122
ETTm1,target_history,47163,0.009756985184082126
ETTm1,target_history,47166,0.013957125827144817
ETTm1,target_history,47169,0.014704858356788716
ETTm1,target_history,47172,0.01768496207927891
ETTm1,target_history,47175,0.01619545627963016
ETTm1,target_history,47178,0.01799623373777785
ETTm1,target_history,47180,0.024175902671733907
ETTm1,target_history,47183,0.031073241122819662
ETTm1,target_history,47186,0.029774657110728645
ETTm1,target_history,47189,0.01549539190247462
ETTm1,target_history,47192,0.02090316730070393
ETTm1,target_history,47195,0.028745508966098537
ETTm1,target_history,47198,0.03668557897664199
ETTm1,target_history,47200,0.03458813194553587
ETTm1,target_history,47203,0.03603864889236101
ETTm1,target_history,47206,0.04198731960362856
ETTm1,target_history,47209,0.04900459884595668
ETTm1,target_history,47212,0.05989591269805827
ETTm1,target_history,47215,0.06015047695996894
ETTm1,target_history,47218,0.06745697240305185
ETTm1,target_history,47220,0.07507862374862397
ETTm1,target_history,47223,0.07417988533925131
ETTm1,target_history,47226,0.08640106267013521
ETTm1,target_history,47229,0.08985695867179688
ETTm1,target_history,47232,0.0824905276484688
ETTm1,target_history,47235,0.09226912777786594
ETTm1,target_history,47238,0.07401292014406817
ETTm1,target_history,47240,0.07042437514330835
ETTm1,target_history,47243,0.05268023487968565
ETTm1,target_history,47246,0.05733428023405282
ETTm1,target_history,47249,0.06388384433069998
ETTm1,target_history,47252,0.06515978937401457
ETTm1,target_history,47255,0.055141729854270266
ETTm1,target_history,47258,0.05387522587155621
ETTm1,target_history,47260,0.05394492748019262
ETTm1,target_history,47263,0.03969514369323885
ETTm1,target_history,47266,0.05008165676186271
ETTm1,target_history,47269,0.04786791429060641
ETTm1,target_history,47272,0.020777151898122403
ETTm1,target_history,47275,0.008458873766231998
ETTm1,target_history,47278,0.0099280009709969
ETTm1,target_history,47280,0.007241987817454187
ETTm1,target_history,47283,0.012360326586238377
ETTm1,target_history,47286,0.010864680061478895
ETTm1,target_history,47289,0.016556051796044892
ETTm1,target_history,47292,0.014309675408445922
ETTm1,target_history,47295,0.017688103739389994
ETTm1,target_history,47298,0.02042765487671626
ETTm1,target_history,47300,0.020214667091949034
ETTm1,target_history,47303,0.015868759356478607
ETTm1,target_history,47306,0.011574792115787312
ETTm1,target_history,47309,0.01095443385021564
ETTm1,target_history,47312,0.01265037852385755
ETTm1,target_history,47315,0.014781186007174188
ETTm1,target_history,47318,0.011396544350546814
ETTm1,target_history,47320,0.014467713081785799
ETTm1,target_history,47323,0.0162616162413514
ETTm1,target_history,47326,0.01698903338124336
ETTm1,target_history,47329,0.01604263973857537
ETTm1,target_history,47332,0.013011956892212144
ETTm1,target_history,47335,0.010006617384062479
ETTm1,target_history,47338,0.008291034600513695
ETTm1,target_history,47340,0.015328099133563642
ETTm1,target_history,47343,0.01121336371585039
ETTm1,target_history,47346,0.009943014648405352
ETTm1,target_history,47349,0.007034109710353305
ETTm1,target_history,47352,0.006408996090340048
ETTm1,target_history,47355,0.0061301689157543734
ETTm1,target_history,47358,0.0034774855920051925
ETTm1,target_history,47360,0.011126191661166547
ETTm1,target_history,47363,0.004498490456144907
ETTm1,target_history,47366,0.003262179394330786
ETTm1,target_history,47369,0.0033983826748716413
ETTm1,target_history,47372,0.003939570293615094
ETTm1,target_history,47375,0.005901237828115816
ETTm1,target_history,47378,0.0072606291108941795
ETTm1,target_history,47380,0.006576084009759318
ETTm1,target_history,47383,0.005375599285153562
ETTm1,target_history,47386,0.004992986760240334
ETTm1,target_history,47389,0.006146672483270252
ETTm1,target_history,47392,0.006658281478588434
ETTm1,target_history,47395,0.010393099709762701
ETTm1,target_history,47398,0.005452244754180438
ETTm1,target_history,47400,0.005091821254802179
ETTm1,target_history,47403,0.00562742175338139
ETTm1,target_history,47406,0.005164200380956473
ETTm1,target_history,47409,0.00844823699149807
ETTm1,target_history,47412,0.010942158984040265
