dataset,condition,seeds,mse_mean,mse_std,residual_mse_mean,separation_mse_mean,history_mse,relative_reduction_vs_history
exchange_rate,delayed50,10,0.21257131393269973,0.008366064324165586,0.11853225959136963,0.23706442933702224,0.24956375612341125,0.14822842373160328
exchange_rate,history,10,0.24956375612341125,0.009116520952142807,0.1546633727881723,0.3092906382176952,0.24956375612341125,0.0
exchange_rate,latent_oracle_upper_bound,10,0.09434821881360755,8.012344526598183e-18,0.0,0.0,0.24956375612341125,0.6219474322747747
exchange_rate,misleading_test,10,0.4594474751249373,0.013118204659931248,0.36364391059143714,0.7272878455885261,0.24956375612341125,-0.8410024046029219
exchange_rate,noisy,10,0.2082619712147012,0.006814972826398144,0.11336338003568154,0.2267270618562109,0.24956375612341125,0.16549592597206297
exchange_rate,shuffled,10,0.24964266911987426,0.009062498063753617,0.15474475876835575,0.3093055934951831,0.24956375612341125,-0.0003162037536572626
weather,clean,10,0.0894754012609644,0.0036184306288529213,0.08371056014719672,0.16742110802749396,0.1601245389457564,0.44121368373603886
weather,delayed50,10,0.1256947066849762,0.0027446338564065,0.11990770584877128,0.23981539577242325,0.1601245389457564,0.21501908756435895
weather,history,10,0.1601245389457564,0.003308009447733193,0.15427100934783128,0.3085131355549023,0.1601245389457564,0.0
weather,latent_oracle_upper_bound,10,0.0057060417997329,0.0,0.0,0.0,0.1601245389457564,0.9643649759287308
weather,misleading_test,10,0.37129907881250945,0.0071825147370376645,0.36550160561977757,0.7310031808838987,0.1601245389457564,-1.3188143507366492
weather,noisy,10,0.1174811364317166,0.003110730301327567,0.11177534824218475,0.2235506683242486,0.1601245389457564,0.26631397532695233
weather,shuffled,10,0.16021126676366632,0.003296112661700119,0.15435750778392715,0.3086495683617658,0.1601245389457564,-0.0005416272763745233
