dataset,seed,condition,base_alpha,residual_alpha,mse,residual_mse,none_mse,event_mse,separation_mse,n_test_pairs
weather,1,shuffled,1.0,100.0,0.16808724921297055,0.16164405674199722,0.006402686972824274,0.32977181145311674,0.3232250905097883,4000
weather,1,misleading_test,1.0,,0.38744561471127276,0.38120487597134184,0.005706087052019685,0.7691851423705262,0.7624097341242689,4000
weather,1,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,2,history,1.0,0.1,0.1575496418012638,0.15177111838436347,0.005984757969368511,0.30911452563315917,0.3035574011045753,4000
weather,2,clean,1.0,10.0,0.09089375279119942,0.085564744368803,0.005706185056983859,0.17608132052541509,0.17112950275941846,4000
weather,2,noisy,1.0,100.0,0.11871926200109427,0.1134408395084867,0.0057077732221893825,0.23173075077999905,0.22688183899977032,4000
weather,2,delayed50,1.0,100.0,0.12671771803009235,0.12124000416215339,0.0057083043754700205,0.2477271316847147,0.24248004376532162,4000
weather,2,shuffled,1.0,100.0,0.1576557773489335,0.15189056487845626,0.006036565536532509,0.3092749891613345,0.30374433446007415,4000
weather,2,misleading_test,1.0,,0.3671271412285897,0.3612557743913125,0.005706185056983859,0.7285480974001958,0.7225115511402966,4000
weather,2,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,3,history,1.0,0.1,0.16074982858971673,0.15380379595828864,0.006234525701876211,0.31526513147755736,0.30751467542352157,4000
weather,3,clean,1.0,0.1,0.09403528266247312,0.08763337477095975,0.005706042248511461,0.18236452307643478,0.17526674952175733,4000
weather,3,noisy,1.0,1.0,0.11894690923869479,0.11225259947245068,0.005706049674271216,0.23218776880311834,0.22450519748339975,4000
weather,3,delayed50,1.0,0.1,0.1295317367547347,0.1227139728727535,0.005706043408132017,0.25335743010133716,0.24542794538528073,4000
weather,3,shuffled,1.0,100.0,0.16086851137135694,0.15393022159822237,0.006331452543953925,0.31540557019875987,0.3077104720438859,4000
weather,3,misleading_test,1.0,,0.37003158095800964,0.3630487261242087,0.005706042248511461,0.7343571196675082,0.7260974521151738,4000
weather,3,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,4,history,1.0,0.1,0.15915165423820377,0.15311969802607192,0.006103327690070489,0.31219998078633704,0.3061691543908199,4000
weather,4,clean,1.0,100.0,0.08634421658550734,0.08064516397204824,0.005706813411130947,0.1669816197598837,0.16129026298226293,4000
weather,4,noisy,1.0,100.0,0.1160617489201637,0.11044321105161573,0.005707297310194364,0.22641620053013295,0.2208863196275189,4000
weather,4,delayed50,1.0,10.0,0.12065709958611624,0.1146092872278628,0.00570653813071162,0.23560766104152087,0.229218469010414,4000
weather,4,shuffled,1.0,100.0,0.1591326760756443,0.15310071263799122,0.006138293586460165,0.31212705856482825,0.30607603563072316,4000
weather,4,misleading_test,1.0,,0.37329238878616156,0.3670968789139636,0.005706813411130947,0.7408779641611922,0.734193462378546,4000
weather,4,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,5,history,1.0,0.1,0.16076813868337783,0.1546001019392035,0.005859967149436865,0.3156763102173188,0.3091932517717064,4000
weather,5,clean,1.0,0.1,0.09080691736259904,0.08475190143360027,0.005706043242034378,0.17590779148316368,0.1695038028794808,4000
weather,5,noisy,1.0,100.0,0.11886868823987722,0.11301589630875261,0.00570636600908142,0.23203101047067312,0.22603181232761893,4000
weather,5,delayed50,1.0,0.1,0.1269876936377733,0.12130038105376725,0.005706040761562059,0.24826934651398452,0.24260076199317318,4000
weather,5,shuffled,1.0,100.0,0.1610542071461241,0.15488724430516573,0.006006004295613482,0.31610240999663475,0.3096791211822124,4000
weather,5,misleading_test,1.0,,0.3718244679177661,0.3657054251699342,0.005706043242034378,0.7379428925934974,0.7314108502276991,4000
weather,5,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,6,history,1.0,0.1,0.15874630497861406,0.15261573661102412,0.0059114526525021905,0.31158115730472596,0.3052244170124982,4000
weather,6,clean,1.0,0.1,0.0896575283385377,0.0838681047928574,0.005706042092043094,0.17360901458503225,0.16773620958339597,4000
weather,6,noisy,1.0,100.0,0.11702323565904879,0.11133373191163466,0.005705929581205062,0.2283405417368925,0.22266746093966294,4000
weather,6,delayed50,1.0,1.0,0.12662407801314396,0.1204728791808036,0.005706049392939919,0.247542106633348,0.2409457572519384,4000
weather,6,shuffled,1.0,100.0,0.1588058267393598,0.1526774956986544,0.00603761328062009,0.31157404019809976,0.3054633771915735,4000
weather,6,misleading_test,1.0,,0.3645182681087574,0.3584460985245781,0.005706042092043094,0.7233304941254719,0.7168921970124985,4000
weather,6,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,7,history,1.0,0.1,0.15560666187316793,0.15080939313569522,0.005670965012333972,0.3055423587340019,0.30160846202791713,4000
weather,7,clean,1.0,100.0,0.0890236327386362,0.08345134585938115,0.005706479810238651,0.1723407856670337,0.1669027087755368,4000
weather,7,noisy,1.0,100.0,0.1170149937589589,0.11215250680236204,0.00570504809836875,0.2283249394195491,0.22430488459878928,4000
weather,7,delayed50,1.0,100.0,0.12327032577427754,0.11804391750947034,0.00570611328987126,0.2408345382586839,0.23608778615779893,4000
weather,7,shuffled,1.0,100.0,0.1557839807271992,0.15096181656418237,0.005843308705217905,0.3057246527491805,0.30158808958972844,4000
weather,7,misleading_test,1.0,,0.3609021495805006,0.3566761217045529,0.005706479810238651,0.7160978193507629,0.7133523432498726,4000
weather,7,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,8,history,1.0,0.1,0.1583260143294302,0.1532762363814305,0.005502760455623208,0.3111492682032371,0.3065170693957496,4000
weather,8,clean,1.0,100.0,0.08508631944881943,0.07992682778968901,0.005705450503138896,0.1644671883944999,0.15985358553848172,4000
weather,8,noisy,1.0,100.0,0.11255990353668803,0.10744732803808241,0.0057048305640339724,0.21941497650934208,0.2148944853661053,4000
weather,8,delayed50,1.0,10.0,0.12312293650668378,0.11784728477977573,0.005705961144116161,0.24053991186925142,0.2356945581452058,4000
weather,8,shuffled,1.0,100.0,0.15839116850692125,0.15335786374412566,0.005588756578019222,0.3111935804358233,0.30676953992092143,4000
weather,8,misleading_test,1.0,,0.36962822340891605,0.3644246550358679,0.005705450503138896,0.7335509963146931,0.7288492225665979,4000
weather,8,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
weather,9,history,1.0,0.1,0.16083739417264165,0.15540489168959448,0.005848221650155785,0.31582656669512754,0.3108297953636948,4000
weather,9,clean,1.0,1.0,0.08479920491676424,0.07909160034179284,0.0057060523607812665,0.16389235747274714,0.15818320091280036,4000
weather,9,noisy,1.0,0.1,0.11394211010261832,0.1082609487800869,0.005706043890952092,0.2221781763142845,0.2165218975473778,4000
weather,9,delayed50,1.0,10.0,0.1271698748134291,0.12146620766504947,0.005706285114305448,0.2486334645125528,0.24293242079487554,4000
weather,9,shuffled,1.0,100.0,0.16085248027460747,0.1554107349235301,0.005920402537901569,0.31578455801131333,0.310830169406918,4000
weather,9,misleading_test,1.0,,0.3760662249429691,0.370625431585728,0.0057060523607812665,0.7464263975251568,0.7412508639506044,4000
weather,9,latent_oracle_upper_bound,1.0,,0.0057060417997329,0.0,0.005706041799732901,0.005706041799732901,0.0,4000
ETTh2,0,history,0.1,0.1,0.2860440675723726,0.15772805234963863,0.12856461702035224,0.4435235181243935,0.3154635231483268,2785
ETTh2,0,clean,0.1,10.0,0.20767926344595247,0.081332357371818,0.12792811453079014,0.2874304123611149,0.16266472108755045,2785
ETTh2,0,noisy,0.1,100.0,0.2392755460458151,0.11284437003123376,0.12793070633984174,0.35062038575178855,0.22568882089711603,2785
ETTh2,0,delayed50,0.1,10.0,0.24808676988178333,0.11990617729138375,0.12792871631522446,0.36824482344834214,0.23981231835119232,2785
ETTh2,0,shuffled,0.1,100.0,0.286065527069976,0.15785242157361068,0.12855537582398271,0.44357567831596906,0.3157753504957241,2785
ETTh2,0,misleading_test,0.1,,0.5029553416004005,0.37319320319039345,0.12792811453079014,0.8779825686700107,0.7463863990801404,2785
ETTh2,0,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh2,1,history,0.1,0.1,0.2853994218205921,0.1587421756512352,0.1278566572997336,0.4429421863414504,0.31748104675667393,2785
ETTh2,1,clean,0.1,100.0,0.21363384376104722,0.08512678621508643,0.12792884634245252,0.2993388411796421,0.17025356393468577,2785
ETTh2,1,noisy,0.1,100.0,0.2431687027133459,0.11715028083823206,0.12793303904003928,0.3584043663866526,0.23430087259429483,2785
ETTh2,1,delayed50,0.1,100.0,0.2499510010935453,0.1219033667887067,0.1279328463309207,0.37196915585616985,0.24380660158279885,2785
ETTh2,1,shuffled,0.1,100.0,0.28549323488167005,0.15880581270236316,0.12801369780121777,0.4429727719621225,0.3178193306131469,2785
ETTh2,1,misleading_test,0.1,,0.4967690086052005,0.37079667662374927,0.12792884634245252,0.8656091708679486,0.7415932429378974,2785
ETTh2,1,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh2,2,history,0.1,0.1,0.28197196864649565,0.15523302222782231,0.1284149741230948,0.43552896316989637,0.31044146978621295,2785
ETTh2,2,clean,0.1,10.0,0.20542685797778532,0.07857119505011136,0.1279283143383895,0.28292540161718127,0.1571423964514264,2785
ETTh2,2,noisy,0.1,100.0,0.2378226060826487,0.110099414343089,0.12793234294536995,0.3477128692199274,0.22019850702996566,2785
ETTh2,2,delayed50,0.1,100.0,0.24520913851393464,0.11871925138451735,0.12793119402347314,0.3624870830043961,0.2374384537793518,2785
ETTh2,2,shuffled,0.1,100.0,0.2821755199335771,0.15537603998690105,0.12854753502774588,0.43580350483940816,0.31077956821212177,2785
ETTh2,2,misleading_test,0.1,,0.5038256069614718,0.3774431538857763,0.1279283143383895,0.8797228995845541,0.7548862545617073,2785
