case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
RN,electricity,96,336,M,True,False,321,17981,4925,0.20655408604433292,0.29587943019016183,0.171,0.265,1.2079186318382042,1.116526151660988,4.948779917089269,<project-root>/checkpoints/extra_models/ridge_RN_electricity_s96_p336_M.npz
RN,electricity,96,720,M,True,False,321,17597,4541,0.24190935782429082,0.3290706480588532,0.21,0.297,1.1519493229728135,1.1079819799961388,7.8763128749560565,<project-root>/checkpoints/extra_models/ridge_RN_electricity_s96_p720_M.npz
RR,electricity,96,96,M,True,True,321,18221,5165,0.19151151901962962,0.27654473105094096,0.141,0.237,1.3582377235434726,1.166855405278232,2.209128666901961,<project-root>/checkpoints/extra_models/ridge_RR_electricity_s96_p96_M.npz
RR,electricity,96,192,M,True,True,321,18125,5069,0.19023025194512944,0.27914243790607823,0.154,0.248,1.2352613762670743,1.1255743463954768,3.087157999863848,<project-root>/checkpoints/extra_models/ridge_RR_electricity_s96_p192_M.npz
RR,electricity,96,336,M,True,True,321,17981,4925,0.20489170838771376,0.29516715507671604,0.171,0.265,1.1981971250743493,1.1138383210442113,4.116039749933407,<project-root>/checkpoints/extra_models/ridge_RR_electricity_s96_p336_M.npz
RR,electricity,96,720,M,True,True,321,17597,4541,0.2363799627233379,0.3228251104979496,0.21,0.297,1.125618870111133,1.0869532339998302,6.9114512908272445,<project-root>/checkpoints/extra_models/ridge_RR_electricity_s96_p720_M.npz
NN,exchange_rate,96,96,M,False,False,8,5120,1422,0.08023319528567738,0.20215936203909804,0.089,0.208,0.901496576243566,0.971920009803356,0.02680579200387001,<project-root>/checkpoints/extra_models/ridge_NN_exchange_rate_s96_p96_M.npz
NN,exchange_rate,96,192,M,False,False,8,5024,1326,0.16594732721186917,0.30029693549570213,0.18,0.3,0.9219295956214955,1.000989784985674,0.029087333008646965,<project-root>/checkpoints/extra_models/ridge_NN_exchange_rate_s96_p192_M.npz
NN,exchange_rate,96,336,M,False,False,8,4880,1182,0.3024451687764409,0.41208692146479015,0.331,0.415,0.9137316277233863,0.9929805336500968,0.03459966694936156,<project-root>/checkpoints/extra_models/ridge_NN_exchange_rate_s96_p336_M.npz
NN,exchange_rate,96,720,M,False,False,8,4496,798,0.829740115691997,0.6821377073259481,1.033,0.78,0.8032334130609846,0.874535522212754,0.050522583071142435,<project-root>/checkpoints/extra_models/ridge_NN_exchange_rate_s96_p720_M.npz
NR,exchange_rate,96,96,M,False,True,8,5120,1422,0.10070774915261167,0.22045642543004915,0.089,0.208,1.1315477432877716,1.0598866607213902,0.024027124978601933,<project-root>/checkpoints/extra_models/ridge_NR_exchange_rate_s96_p96_M.npz
NR,exchange_rate,96,192,M,False,True,8,5024,1326,0.25523812732525847,0.3609683818692619,0.18,0.3,1.417989596251436,1.2032279395642063,0.027829624945297837,<project-root>/checkpoints/extra_models/ridge_NR_exchange_rate_s96_p192_M.npz
