model,dataset,case,seq_len,pred_len,channel_count,selected_count,mean_mse_normalized,mean_mae_normalized,result_relative_path
DLinear,electricity,NN,96,96,321,160,0.194534778540571,0.2771640182516285,long_term/DLinear/electricity/NN/seq96_pred96/channel_metrics.csv
DLinear,electricity,NN,96,336,321,160,0.20631847329977376,0.2955784981495866,long_term/DLinear/electricity/NN/seq96_pred336/channel_metrics.csv
DLinear,electricity,NN,336,96,321,160,0.14009685543923553,0.23752798288596383,long_term/DLinear/electricity/NN/seq336_pred96/channel_metrics.csv
DLinear,electricity,NN,336,336,321,160,0.16882937033827533,0.2674592956204281,long_term/DLinear/electricity/NN/seq336_pred336/channel_metrics.csv
DLinear,electricity,RN,96,96,321,160,0.19467416246975786,0.27584525717660274,long_term/DLinear/electricity/RN/seq96_pred96/channel_metrics.csv
DLinear,electricity,RN,96,336,321,160,0.2061269944889117,0.2953487021552625,long_term/DLinear/electricity/RN/seq96_pred336/channel_metrics.csv
DLinear,electricity,RN,336,96,321,160,0.14002104348980318,0.23737298801680592,long_term/DLinear/electricity/RN/seq336_pred96/channel_metrics.csv
DLinear,electricity,RN,336,336,321,160,0.16875968473771952,0.26775774167055655,long_term/DLinear/electricity/RN/seq336_pred336/channel_metrics.csv
DLinear,electricity,NR,96,96,321,160,0.19261007221282175,0.2764232678692846,long_term/DLinear/electricity/NR/seq96_pred96/channel_metrics.csv
DLinear,electricity,NR,96,336,321,160,0.2048953533879078,0.29481697002443197,long_term/DLinear/electricity/NR/seq96_pred336/channel_metrics.csv
DLinear,electricity,NR,336,96,321,160,0.13388698984926123,0.23476892801993918,long_term/DLinear/electricity/NR/seq336_pred96/channel_metrics.csv
DLinear,electricity,NR,336,336,321,160,0.16399227046861814,0.2656798281262968,long_term/DLinear/electricity/NR/seq336_pred336/channel_metrics.csv
DLinear,electricity,RR,96,96,321,160,0.19298514244697892,0.2754562630947691,long_term/DLinear/electricity/RR/seq96_pred96/channel_metrics.csv
DLinear,electricity,RR,96,336,321,160,0.20479229304248994,0.2946544917085646,long_term/DLinear/electricity/RR/seq96_pred336/channel_metrics.csv
DLinear,electricity,RR,336,96,321,160,0.1338786882436486,0.2348920058261754,long_term/DLinear/electricity/RR/seq336_pred96/channel_metrics.csv
DLinear,electricity,RR,336,336,321,160,0.16392475231354792,0.26570224719023405,long_term/DLinear/electricity/RR/seq336_pred336/channel_metrics.csv
DLinear,exchange_rate,NN,96,96,8,4,0.0770220551639795,0.19530457444488997,long_term/DLinear/exchange_rate/NN/seq96_pred96/channel_metrics.csv
DLinear,exchange_rate,NN,96,336,8,4,0.2843108386732638,0.4051032103598118,long_term/DLinear/exchange_rate/NN/seq96_pred336/channel_metrics.csv
DLinear,exchange_rate,NN,336,96,8,4,0.11674625938758254,0.2435166453942656,long_term/DLinear/exchange_rate/NN/seq336_pred96/channel_metrics.csv
