source,model,case,lr_tag,group,series_count,smape,mase,naive_smape,naive_mase,forecast_dir,owa
deep_tsl,PatchTST,NR,lr0p0001,Hourly,414,35.195682,10.497703,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001,3.148846
deep_tsl,PatchTST,RN,lr0p0001,Yearly,23000,110.092567,22.760224,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001,6.23174
deep_tsl,PatchTST,RN,lr0p0001,Quarterly,24000,82.557757,11.226589,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001,7.841848
deep_tsl,PatchTST,RN,lr0p0001,Monthly,48000,62.119413,7.276348,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001,5.574309
deep_tsl,PatchTST,RN,lr0p0001,Weekly,359,80.978977,77.198278,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001,18.317734
deep_tsl,PatchTST,RN,lr0p0001,Daily,4227,53.769567,57.396737,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001,17.582135
deep_tsl,PatchTST,RN,lr0p0001,Hourly,414,43.409328,16.633409,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001,4.65317
deep_tsl,PatchTST,RR,lr0p0001,Yearly,23000,110.092567,22.760224,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001,6.23174
deep_tsl,PatchTST,RR,lr0p0001,Quarterly,24000,82.557757,11.226589,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001,7.841848
deep_tsl,PatchTST,RR,lr0p0001,Monthly,48000,62.119413,7.276348,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001,5.574309
deep_tsl,PatchTST,RR,lr0p0001,Weekly,359,80.978977,77.198278,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001,18.317734
deep_tsl,PatchTST,RR,lr0p0001,Daily,4227,53.769567,57.396737,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001,17.582135
deep_tsl,PatchTST,RR,lr0p0001,Hourly,414,43.308312,17.718109,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001,4.876869
deep_tsl,TimeFilter,NN,lr0p0001,Yearly,23000,14.723566,3.300375,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001,0.865686
deep_tsl,TimeFilter,NN,lr0p0001,Quarterly,24000,11.655411,1.447964,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001,1.057156
deep_tsl,TimeFilter,NN,lr0p0001,Monthly,48000,13.572533,1.047292,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001,0.962837
deep_tsl,TimeFilter,NN,lr0p0001,Weekly,359,13.090116,5.213751,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001,1.653064
deep_tsl,TimeFilter,NN,lr0p0001,Daily,4227,4.000886,4.363846,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001,1.322446
deep_tsl,TimeFilter,NN,lr0p0001,Hourly,414,34.187087,10.356988,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001,3.092036
deep_tsl,TimeFilter,NR,lr0p0001,Yearly,23000,14.723566,3.300375,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001,0.865686
deep_tsl,TimeFilter,NR,lr0p0001,Quarterly,24000,11.655411,1.447964,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001,1.057156
deep_tsl,TimeFilter,NR,lr0p0001,Monthly,48000,13.576851,1.048458,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001,0.963535
deep_tsl,TimeFilter,NR,lr0p0001,Weekly,359,13.090116,5.213751,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001,1.653064
deep_tsl,TimeFilter,NR,lr0p0001,Daily,4227,4.000886,4.363846,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001,1.322446
deep_tsl,TimeFilter,NR,lr0p0001,Hourly,414,34.187087,10.356988,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001,3.092036
deep_tsl,TimeFilter,RN,lr0p0001,Yearly,23000,107.959735,21.015883,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001,5.947035
deep_tsl,TimeFilter,RN,lr0p0001,Quarterly,24000,82.854658,11.222623,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001,7.853883
deep_tsl,TimeFilter,RN,lr0p0001,Monthly,48000,62.893611,7.29403,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001,5.609455
deep_tsl,TimeFilter,RN,lr0p0001,Weekly,359,81.243938,77.17535,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001,18.328068
deep_tsl,TimeFilter,RN,lr0p0001,Daily,4227,52.798044,56.772727,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001,17.327451
deep_tsl,TimeFilter,RN,lr0p0001,Hourly,414,41.006803,15.743409,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001,4.402022
deep_tsl,TimeFilter,RR,lr0p0001,Yearly,23000,107.959735,21.015883,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001,5.947035
deep_tsl,TimeFilter,RR,lr0p0001,Quarterly,24000,82.854658,11.222623,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001,7.853883
deep_tsl,TimeFilter,RR,lr0p0001,Monthly,48000,62.893611,7.29403,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001,5.609455
deep_tsl,TimeFilter,RR,lr0p0001,Weekly,359,81.243938,77.17535,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001,18.328068
deep_tsl,TimeFilter,RR,lr0p0001,Daily,4227,52.798044,56.772727,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001,17.327451
deep_tsl,TimeFilter,RR,lr0p0001,Hourly,414,41.007317,15.803,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001,4.414477
deep_tsl,TimeMixer,NN,lr0p01,Yearly,23000,13.575647,3.046074,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01,0.798572
deep_tsl,TimeMixer,NN,lr0p01,Quarterly,24000,10.471466,1.241013,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01,0.927944
deep_tsl,TimeMixer,NN,lr0p01,Monthly,48000,12.943802,0.96253,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01,0.901191
deep_tsl,TimeMixer,NN,lr0p01,Weekly,359,13.282425,4.88926,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01,1.605141
deep_tsl,TimeMixer,NN,lr0p01,Daily,4227,3.310657,3.59336,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01,1.091608
deep_tsl,TimeMixer,NN,lr0p01,Hourly,414,23.136724,4.973581,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01,1.66761
deep_tsl,TimeMixer,NR,lr0p01,Yearly,23000,13.576978,3.049073,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01,0.79899
deep_tsl,TimeMixer,NR,lr0p01,Quarterly,24000,10.530308,1.261308,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01,0.938015
deep_tsl,TimeMixer,NR,lr0p01,Monthly,48000,13.194792,0.991935,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01,0.923716
deep_tsl,TimeMixer,NR,lr0p01,Weekly,359,13.282425,4.88926,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01,1.605141
deep_tsl,TimeMixer,NR,lr0p01,Daily,4227,3.310825,3.597118,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01,1.092209
deep_tsl,TimeMixer,NR,lr0p01,Hourly,414,24.914002,6.132627,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01,1.957918
deep_tsl,TimeMixer,RN,lr0p01,Yearly,23000,108.740664,21.253747,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01,6.000853
deep_tsl,TimeMixer,RN,lr0p01,Quarterly,24000,83.435069,11.312038,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01,7.912838
deep_tsl,TimeMixer,RN,lr0p01,Monthly,48000,62.552608,7.305519,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01,5.603039
deep_tsl,TimeMixer,RN,lr0p01,Weekly,359,81.204445,77.236111,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01,18.336851
deep_tsl,TimeMixer,RN,lr0p01,Daily,4227,53.84528,57.401006,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01,17.595217
deep_tsl,TimeMixer,RN,lr0p01,Hourly,414,40.144765,16.505135,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01,4.537597
deep_tsl,TimeMixer,RR,lr0p01,Yearly,23000,108.740664,21.253747,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01,6.000853
deep_tsl,TimeMixer,RR,lr0p01,Quarterly,24000,83.435069,11.312038,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01,7.912838
deep_tsl,TimeMixer,RR,lr0p01,Monthly,48000,62.552608,7.305519,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01,5.603039
deep_tsl,TimeMixer,RR,lr0p01,Weekly,359,81.204445,77.236111,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01,18.336851
deep_tsl,TimeMixer,RR,lr0p01,Daily,4227,53.84528,57.401006,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01,17.595217
