dataset,pred_len,NN_OLS_mse,NN_OLS_mae,NN_OLS-revin_mse,NN_OLS-revin_mae,NR_OLS_mse,NR_OLS_mae,NR_OLS-revin_mse,NR_OLS-revin_mae,RN_OLS_mse,RN_OLS_mae,RN_OLS-revin_mse,RN_OLS-revin_mae,RR_OLS_mse,RR_OLS_mae,RR_OLS-revin_mse,RR_OLS-revin_mae
traffic,336,0.6051667731221522,0.3732005572455075,0.6222315624580077,0.3661174792883762,0.6141508529920391,0.3753494778253166,0.6301505165133358,0.3676649068058989,0.6047808930339744,0.3723321973289808,0.6191658141103293,0.3623932533214005,0.6143027170452885,0.3747267045781906,0.6282621237131671,0.3653198087451033
traffic,720,0.6456079473866364,0.3949643513422158,0.6624479812428113,0.3895436904417834,0.664711540934359,0.4015074408281461,0.6877220375199763,0.3977330889104523,0.6453045998816452,0.3936585384859138,0.6572136825127052,0.3826880626687258,0.664829196922981,0.4004566658166878,0.6830981418711702,0.3920738477589087
weather,96,0.195037645364608,0.2533440101144976,0.5738931798999866,0.4134418010145401,0.1943434650864698,0.2513551742508625,0.5689352634936843,0.4105600663528392,0.1942468881161027,0.2513892270677259,0.4699913205448044,0.3693541812274784,0.1936322870333997,0.2495028987770713,0.466489742263951,0.3665086968822096
weather,192,0.2354719921656459,0.2923500575944353,0.8135634919385747,0.5106220360908225,0.2337256266089449,0.2909818211339663,0.7950940767821306,0.5026082480609766,0.2343707042745374,0.289852430937258,0.63354510928876,0.4450174225954502,0.2327570122780564,0.2886032196196126,0.6210470809626031,0.4377523552424023
weather,336,0.2812729100756499,0.3303264939738943,1.055237778449016,0.5982329396752418,0.2749141255043434,0.3298627735778339,1.0100610645972967,0.5840068146349557,0.2797619322727223,0.3274345989650091,0.846040886392218,0.5337201015536255,0.2736733512229941,0.327061065617157,0.8105464841605284,0.5210320892365637
weather,720,0.3450693811500002,0.3806315498267627,1.255182331081302,0.6838956195834777,0.3284954342946988,0.3779209325230208,1.1991169202838827,0.6513729269638612,0.3422565031222454,0.3763703304431792,1.1519426719226886,0.6527990506180118,0.3267928583390224,0.3741215511428444,1.0984084866696833,0.6210633199228546
illness,24,2.1952276006802394,1.0237821211113034,2.0041221562967184,0.8834315353971625,0.6480650432335563,0.5638163550725419,1.4131043905956808,0.8555414017047708,2.2874501164990253,1.0470157095061086,2.096033523902503,0.9864895652645296,0.661330867893932,0.5612086059463105,1.0011597340620764,0.6702657479250428
illness,36,2.221240641577469,1.0468768526077767,1.8303462060284357,0.8765634410511124,0.6523722742391049,0.5776524154605897,1.5426222879833806,0.9179386971087002,2.355466011335429,1.0802279831097088,2.0771716260469573,1.0029133009252162,0.6512002886524757,0.5705719919231085,0.9863345599525444,0.6837392034098585
illness,48,2.2623476904067825,1.0686957001628437,1.7507855288495469,0.8747196265983883,0.6513003638669457,0.5863676326226168,1.5906611922978726,0.9492497939395426,2.4582414386703997,1.1193750933636102,2.1045839272431692,1.0252667940230418,0.6308531161309939,0.5689495468105507,0.93074919923476,0.6788741062184956
illness,60,2.385154406727298,1.1037811236802175,1.66033396369807,0.8712941037188072,0.7009904924048795,0.6126794281636629,1.7272783008207475,1.004904036988581,2.654470007298234,1.1710540626607988,2.2001713828221336,1.0601838731819857,0.6613957751166054,0.5830303764427566,0.9389677377635764,0.696809285986876
