source,model,case,lr_tag,group,series_count,smape,mase,owa,naive_smape,naive_mase,forecast_dir
deep_tsl,PatchTST,NR,lr0p0001,Yearly,23000,26.810736,6.330994,1.616772,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_tsl,PatchTST,NR,lr0p0001,Quarterly,24000,10.334432,1.220543,0.914258,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_tsl,PatchTST,NR,lr0p0001,Monthly,48000,13.12543,0.977951,0.914737,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_tsl,PatchTST,NR,lr0p0001,Others,5000,6.450142,4.050952,1.317435,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_tsl,PatchTST,NR,lr0p0001,Average,100000,15.269446,2.421023,1.195939,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_tsl,PatchTST,RN,lr0p0001,Yearly,23000,110.092567,22.760224,6.23174,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_tsl,PatchTST,RN,lr0p0001,Quarterly,24000,82.557757,11.226589,7.841848,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_tsl,PatchTST,RN,lr0p0001,Monthly,48000,62.119413,7.276348,5.574309,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_tsl,PatchTST,RN,lr0p0001,Others,5000,54.865375,55.443284,14.516964,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_tsl,PatchTST,RN,lr0p0001,Average,100000,77.695739,14.194044,6.575641,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_tsl,PatchTST,RR,lr0p0001,Yearly,23000,110.092567,22.760224,6.23174,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_tsl,PatchTST,RR,lr0p0001,Quarterly,24000,82.557757,11.226589,7.841848,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_tsl,PatchTST,RR,lr0p0001,Monthly,48000,62.119413,7.276348,5.574309,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_tsl,PatchTST,RR,lr0p0001,Others,5000,54.857011,55.533098,14.530254,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_tsl,PatchTST,RR,lr0p0001,Average,100000,77.695321,14.198535,6.5768,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_tsl,TimeFilter,NN,lr0p0001,Yearly,23000,14.723566,3.300375,0.865686,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_tsl,TimeFilter,NN,lr0p0001,Quarterly,24000,11.655411,1.447964,1.057156,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_tsl,TimeFilter,NN,lr0p0001,Monthly,48000,13.572533,1.047292,0.962837,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_tsl,TimeFilter,NN,lr0p0001,Others,5000,7.15291,4.921102,1.528622,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_tsl,TimeFilter,NN,lr0p0001,Average,100000,13.05618,1.855353,0.966436,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_tsl,TimeFilter,NR,lr0p0001,Yearly,23000,14.723566,3.300375,0.865686,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_tsl,TimeFilter,NR,lr0p0001,Quarterly,24000,11.655411,1.447964,1.057156,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_tsl,TimeFilter,NR,lr0p0001,Monthly,48000,13.576851,1.048458,0.963535,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_tsl,TimeFilter,NR,lr0p0001,Others,5000,7.15291,4.921102,1.528622,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_tsl,TimeFilter,NR,lr0p0001,Average,100000,13.058253,1.855913,0.966659,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_tsl,TimeFilter,RN,lr0p0001,Yearly,23000,107.959735,21.015883,5.947035,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_tsl,TimeFilter,RN,lr0p0001,Quarterly,24000,82.854658,11.222623,7.853883,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_tsl,TimeFilter,RN,lr0p0001,Monthly,48000,62.893611,7.29403,5.609455,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_tsl,TimeFilter,RN,lr0p0001,Others,5000,53.864144,54.840407,14.316556,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_tsl,TimeFilter,RN,lr0p0001,Average,100000,77.597998,13.770237,6.461217,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_tsl,TimeFilter,RR,lr0p0001,Yearly,23000,107.959735,21.015883,5.947035,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_tsl,TimeFilter,RR,lr0p0001,Quarterly,24000,82.854658,11.222623,7.853883,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_tsl,TimeFilter,RR,lr0p0001,Monthly,48000,62.893611,7.29403,5.609455,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_tsl,TimeFilter,RR,lr0p0001,Others,5000,53.864187,54.845342,14.317339,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_tsl,TimeFilter,RR,lr0p0001,Average,100000,77.598,13.770484,6.461281,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_tsl,TimeMixer,NN,lr0p01,Yearly,23000,13.575647,3.046074,0.798572,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
