case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse_revin,mae_revin,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint,mse_ols,mae_ols,mse_revin_vs_ols,mae_revin_vs_ols
NN,ETTm1,96,192,M,False,False,7,34273,11329,1.1232996970776772,0.7182650078550796,0.335,0.365,3.353133424112469,1.967849336589259,0.7770572919398546,checkpoints/revin_ols/revin_ols_NN_ETTm1_s96_p192_M.npz,0.38086127153255,0.3897867997632719,2.949367082028647,1.8427124989643093
NN,ETTm1,96,336,M,False,False,7,34129,11185,1.6147451182894392,0.8927433788962155,0.369,0.386,4.376003030594687,2.3128066810782784,0.870194916962646,checkpoints/revin_ols/revin_ols_NN_ETTm1_s96_p336_M.npz,0.4124151215066102,0.4119688438154714,3.9153392639691513,2.167016735120125
NN,ETTm1,96,720,M,False,False,7,33745,10801,1.5093266770400935,0.8803305729593247,0.425,0.421,3.5513568871531613,2.091046491589845,1.326039250008762,checkpoints/revin_ols/revin_ols_NN_ETTm1_s96_p720_M.npz,0.4710537215784853,0.4483448827202737,3.204149777189723,1.9635120347934711
RN,ETTm1,96,96,M,True,False,7,34369,11425,0.6308674700157745,0.5183826059758597,0.299,0.343,2.109924648882189,1.511319550950028,0.8415610829833895,checkpoints/revin_ols/revin_ols_RN_ETTm1_s96_p96_M.npz,0.3448019857916967,0.3717919332787814,1.8296514985760464,1.3942814772884273
RN,ETTm1,96,192,M,True,False,7,34273,11329,1.407420088891209,0.8084408079347009,0.335,0.365,4.201253996690176,2.2149063231087696,0.9539387909462675,checkpoints/revin_ols/revin_ols_RN_ETTm1_s96_p192_M.npz,0.3809772292417238,0.3900958520154347,3.6942367702459826,2.0724158018032806
RN,ETTm1,96,336,M,True,False,7,34129,11185,1.9803252414277417,0.99691864321959,0.369,0.386,5.366735071619896,2.582690785542979,1.0391489170724526,checkpoints/revin_ols/revin_ols_RN_ETTm1_s96_p336_M.npz,0.4125262342583425,0.4120758812502939,4.8004831619692165,2.4192598707665303
RN,ETTm1,96,720,M,True,False,7,33745,10801,2.522943699855279,1.16942021080269,0.425,0.421,5.93633811730654,2.777720215683349,1.406503041042015,checkpoints/revin_ols/revin_ols_RN_ETTm1_s96_p720_M.npz,0.4705587983107813,0.4475337263388072,5.361590748939726,2.613032587218635
NR,ETTm1,96,96,M,False,True,7,34369,11425,0.5569451125354166,0.4815538439635479,0.299,0.343,1.8626926840649385,1.4039470669491192,0.6936542500043288,checkpoints/revin_ols/revin_ols_NR_ETTm1_s96_p96_M.npz,0.3467075546825424,0.3720516828205151,1.606382973239147,1.2943197577091965
NR,ETTm1,96,192,M,False,True,7,34273,11329,1.118306802104032,0.7146968547658188,0.335,0.365,3.338229260012036,1.9580735747008735,0.8040238749235868,checkpoints/revin_ols/revin_ols_NR_ETTm1_s96_p192_M.npz,0.3841789914454893,0.3917482160242351,2.9109004578734425,1.8243780712497355
NR,ETTm1,96,336,M,False,True,7,34129,11185,1.5953497568706765,0.8859064796891055,0.369,0.386,4.323441075530289,2.2950945069665947,0.9661130829481408,checkpoints/revin_ols/revin_ols_NR_ETTm1_s96_p336_M.npz,0.4191372080359899,0.4130985188523042,3.8062708971752492,2.1445404407413164
NR,ETTm1,96,720,M,False,True,7,33745,10801,1.4806386232974602,0.8660972177972941,0.425,0.421,3.4838555842293184,2.057238047024452,1.2112315419362858,checkpoints/revin_ols/revin_ols_NR_ETTm1_s96_p720_M.npz,0.4842606189434197,0.4480617918838175,3.057524327557298,1.9329861047867998
RR,ETTm1,96,96,M,True,True,7,34369,11425,0.6337182629632185,0.5203293420535068,0.299,0.343,2.1194590734555803,1.5169951663367542,0.7897000000812113,checkpoints/revin_ols/revin_ols_RR_ETTm1_s96_p96_M.npz,0.3470090945339764,0.3724262759688146,1.8262295511715179,1.39713381044327
RR,ETTm1,96,192,M,True,True,7,34273,11329,1.3984370988528347,0.8052812808131999,0.335,0.365,4.174439101053237,2.2062500844197257,0.8859726249938831,checkpoints/revin_ols/revin_ols_RR_ETTm1_s96_p192_M.npz,0.3843457080948239,0.3919946573641324,3.6384876151858037,2.0543169803081183
RR,ETTm1,96,336,M,True,True,7,34129,11185,1.9541166452425336,0.9887361306634672,0.369,0.386,5.295709065697923,2.5614925664856663,1.032232999918051,checkpoints/revin_ols/revin_ols_RR_ETTm1_s96_p336_M.npz,0.419232224250175,0.4130656967003002,4.661179490048988,2.3936534516465664
RR,ETTm1,96,720,M,True,True,7,33745,10801,2.4598152867240657,1.143963010712397,0.425,0.421,5.787800674644861,2.717251806917808,1.436366208945401,checkpoints/revin_ols/revin_ols_RR_ETTm1_s96_p720_M.npz,0.4835124034151342,0.447020265078995,5.087388181461225,2.5590853482005835
NN,ETTm2,96,96,M,False,False,7,34369,11425,0.1877804780116398,0.2661072143998608,0.167,0.26,1.1244340000696993,1.0234892861533107,0.6419389579677954,checkpoints/revin_ols/revin_ols_NN_ETTm2_s96_p96_M.npz,0.1979340029975327,0.2972914725463918,0.9487024723790412,0.89510544019501
NN,ETTm2,96,192,M,False,False,7,34273,11329,0.2629625745513069,0.3152020012033453,0.224,0.303,1.1739400649611915,1.040270631034143,0.7009849579771981,checkpoints/revin_ols/revin_ols_NN_ETTm2_s96_p192_M.npz,0.2882235720064894,0.3640000220046231,0.9123562404028017,0.8659395113974525
NN,ETTm2,96,336,M,False,False,7,34129,11185,0.3482448279244892,0.3715551942969416,0.281,0.342,1.2393054374536985,1.0864186967746832,0.7843565830262378,checkpoints/revin_ols/revin_ols_NN_ETTm2_s96_p336_M.npz,0.3892003210510681,0.4310135027743191,0.8947701455744559,0.8620500098148661
