dataset,case,revin_case_vs_nn,ols_case_vs_nn,delta,channels,train_rows,test_rows,known_period,trend_r2,trend_slope_abs,lag1_autocorr,period_autocorr,roughness_std_diff,train_test_mean_shift,train_test_scale_shift,forward_similarity,reverse_similarity,reverse_similarity_gain,NR_mse_ratio,NR_mae_ratio,RN_mse_ratio,RN_mae_ratio,RR_mse_ratio,RR_mae_ratio
exchange_rate,NR,1.108056079180784,1.6710656267915875,-0.5630095476108035,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764923,1.8866456320957252,1.3725396852849567
exchange_rate,RN,1.0120414635116708,1.0769772307017165,-0.06493576719004573,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764923,1.8866456320957252,1.3725396852849567
exchange_rate,RR,0.9197808166671647,1.8866456320957252,-0.9668648154285604,8,5311,1613,7,0.2402371764840259,1.8677563230496927,0.998746122694162,0.9932859283208512,0.0560024934301475,1.444859870170289,0.4779271956568266,-0.2583747962921048,0.5427004650353056,0.8010752613274104,1.6710656267915875,1.2817183070697125,1.0769772307017165,1.0458195621764923,1.8866456320957252,1.3725396852849567
illness,NR,0.8741909300729845,0.2926742353625471,0.5815166947104374,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.2876434485683165,0.5384460978700117
illness,RN,1.1769826461832174,1.0754851360140294,0.10149751016918784,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.2876434485683165,0.5384460978700117
illness,RR,0.5338941095846659,0.28764344856831653,0.24625066101634932,7,676,297,52,0.2965005252600819,2.3706673681743253,0.974236814915862,0.6309064293771919,0.3013248253212833,1.1915993336358386,0.4500428769552923,-0.394478116081552,0.2777007664012489,0.672178882482801,0.2926742353625471,0.5515636859831009,1.0754851360140294,1.0407302652058867,0.2876434485683165,0.5384460978700117
traffic,NR,1.0152133518412851,1.0151536053261432,5.974651514178975e-05,862,12280,3604,24,0.0087857537676137,0.2394151436086107,0.840167987955388,0.7408948895957533,0.5746659060939571,0.1494288623664177,0.1468840846993174,-0.2379293538866222,-0.2110746546285426,0.0268546992580795,1.0151536053261434,1.0049439672670486,0.9994193844342748,0.997742438239333,1.0152371987209414,1.003158815039685
traffic,RN,0.994903255228682,0.9994193844342749,-0.004516129205592995,862,12280,3604,24,0.0087857537676137,0.2394151436086107,0.840167987955388,0.7408948895957533,0.5746659060939571,0.1494288623664177,0.1468840846993174,-0.2379293538866222,-0.2110746546285426,0.0268546992580795,1.0151536053261434,1.0049439672670486,0.9994193844342748,0.997742438239333,1.0152371987209414,1.003158815039685
traffic,RR,1.0114117049863325,1.0152371987209414,-0.00382549373460897,862,12280,3604,24,0.0087857537676137,0.2394151436086107,0.840167987955388,0.7408948895957533,0.5746659060939571,0.1494288623664177,0.1468840846993174,-0.2379293538866222,-0.2110746546285426,0.0268546992580795,1.0151536053261434,1.0049439672670486,0.9994193844342748,0.997742438239333,1.0152371987209414,1.003158815039685
weather,NR,0.9702950021968013,0.9795966011254958,-0.009301598928694588,21,36887,10635,144,0.0392322322229802,0.5008875139319284,0.8918655796426539,0.6085359983796411,0.2601478953665244,0.4212725780518948,0.9068202844539272,-0.0490360717879096,-0.014719929719353,0.0343161420685566,0.9795966011254958,0.9947360850042938,0.9944362802894884,0.9909477541256064,0.9753203117992454,0.9862583693684244
weather,RN,0.8292960538402213,0.9944362802894884,-0.16514022644926712,21,36887,10635,144,0.0392322322229802,0.5008875139319284,0.8918655796426539,0.6085359983796411,0.2601478953665244,0.4212725780518948,0.9068202844539272,-0.0490360717879096,-0.014719929719353,0.0343161420685566,0.9795966011254958,0.9947360850042938,0.9944362802894884,0.9909477541256064,0.9753203117992454,0.9862583693684244
weather,RR,0.8048584403071145,0.9753203117992454,-0.17046187149213088,21,36887,10635,144,0.0392322322229802,0.5008875139319284,0.8918655796426539,0.6085359983796411,0.2601478953665244,0.4212725780518948,0.9068202844539272,-0.0490360717879096,-0.014719929719353,0.0343161420685566,0.9795966011254958,0.9947360850042938,0.9944362802894884,0.9909477541256064,0.9753203117992454,0.9862583693684244
